INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
100	34236	34236	2.32	2.2286	500	100	500	100	500	100	500	100	500	50	500	50	500	200	12392	5555	5926	593	1476	1902	7331	6231	6338	5657	1138	3115	146880	0	5000	3050	153450	2130	2130	10400	-1	-1	-1	-1	-1	-1	-1	110000	60	60	60	60	339	166000
101	73822	73822	2.3391	2.2435	500	100	500	100	500	100	500	100	500	50	500	50	500	200	12652	5667	6046	605	1518	1952	7491	6363	6472	5783	1164	3182	149040	0	5000	3080	156500	2170	2170	10500	-1	-1	-1	-1	-1	-1	-1	-1	61	61	61	61	344	166000
102	79885	79885	2.3582	2.2584	500	100	500	100	500	100	500	100	500	50	500	50	500	200	12917	5780	6166	617	1558	2002	7654	6498	6609	5911	1189	3249	151200	0	5000	3110	159580	2265	2265	10600	-1	-1	-1	-1	-1	-1	-1	-1	62	62	62	62	349	166000
103	86767	86767	2.3773	2.2734	500	100	500	100	500	100	500	100	500	50	500	50	500	200	13185	5895	6289	629	1602	2054	7820	6634	6748	6041	1216	3317	153360	0	5000	3140	162690	2370	2370	10700	-1	-1	-1	-1	-1	-1	-1	-1	63	63	63	63	354	166000
104	94152	94152	2.3965	2.2883	500	100	500	100	500	100	500	100	500	50	500	50	500	200	13458	6011	6413	641	1644	2106	7988	6773	6889	6173	1242	3387	155520	0	5000	3170	165830	2480	2480	10800	-1	-1	-1	-1	-1	-1	-1	-1	64	64	64	64	359	166000
105	101988	101988	2.4156	2.3032	500	100	500	100	500	100	500	100	500	50	500	50	500	200	13735	6130	6539	654	1690	2160	8159	6914	7032	6307	1269	3457	158400	0	5000	3200	169000	2595	2595	10900	-1	-1	-1	-1	-1	-1	-1	-1	65	65	65	65	365	166000
106	110439	110439	2.4347	2.3181	500	100	500	100	500	100	500	100	500	50	500	50	500	200	14016	6249	6667	667	1734	2214	8333	7057	7177	6444	1297	3528	160560	0	5000	3230	172200	2715	2715	11000	-1	-1	-1	-1	-1	-1	-1	-1	66	66	66	66	370	166000
107	119796	119796	2.4538	2.333	500	100	500	100	500	100	500	100	500	50	500	50	500	200	14301	6371	6797	680	1780	2270	8509	7202	7324	6582	1325	3601	162720	0	5000	3260	175430	2840	2840	11100	-1	-1	-1	-1	-1	-1	-1	-1	67	67	67	67	375	166000
108	129363	129363	2.4729	2.3478	500	100	500	100	500	100	500	100	500	50	500	50	500	200	14590	6494	6928	693	1828	2328	8689	7349	7474	6723	1353	3675	164880	0	5000	3290	178690	2965	2965	11200	-1	-1	-1	-1	-1	-1	-1	-1	68	68	68	68	380	166000
109	139867	139867	2.492	2.3627	500	100	500	100	500	100	500	100	500	50	500	50	500	200	14883	6618	7061	706	1876	2386	8871	7499	7626	6866	1382	3749	167040	0	5000	3320	181980	3095	3095	11300	-1	-1	-1	-1	-1	-1	-1	-1	69	69	69	69	386	166000
110	150996	150996	2.5112	2.3776	500	100	500	100	500	100	500	100	500	50	500	50	500	200	15181	6745	7196	720	1926	2444	9056	7651	7780	7012	1411	3825	169200	0	5000	3350	185300	3230	3230	11400	-1	-1	-1	-1	-1	-1	-1	-1	70	70	70	70	391	166000
111	162741	162741	2.5303	2.3925	500	100	500	100	500	100	500	100	500	50	500	50	500	200	15483	6873	7333	733	1976	2504	9244	7805	7937	7160	1441	3902	171360	0	5000	3380	188650	3370	3370	11500	-1	-1	-1	-1	-1	-1	-1	-1	71	71	71	71	396	166000
112	175552	175552	2.5494	2.4073	500	100	500	100	500	100	500	100	500	50	500	50	500	200	15789	7002	7472	747	2026	2566	9434	7961	8096	7310	1471	3980	174240	0	5000	3410	192030	3515	3515	11600	-1	-1	-1	-1	-1	-1	-1	-1	72	72	72	72	402	166000
113	188597	188597	2.5685	2.4222	500	100	500	100	500	100	500	100	500	50	500	50	500	200	16100	7134	7613	761	2078	2628	9628	8119	8257	7462	1502	4060	176400	0	5000	3440	195440	3665	3665	11700	-1	-1	-1	-1	-1	-1	-1	-1	73	73	73	73	407	166000
114	203186	203186	2.5876	2.437	500	100	500	100	500	100	500	100	500	50	500	50	500	200	16416	7267	7755	776	2132	2692	9825	8280	8420	7617	1533	4140	178560	0	5000	3470	198880	3815	3815	11800	-1	-1	-1	-1	-1	-1	-1	-1	74	74	74	74	413	166000
115	218517	218517	2.6068	2.4519	500	100	500	100	500	100	500	100	500	50	500	50	500	200	16735	7402	7900	790	2186	2756	10024	8444	8586	7775	1564	4222	181440	0	5000	3500	202350	3975	3975	11900	-1	-1	-1	-1	-1	-1	-1	-1	75	75	75	75	419	166000
116	234056	234056	2.6259	2.4667	500	100	500	100	500	100	500	100	500	50	500	50	500	200	17060	7539	8046	805	2240	2822	10227	8609	8754	7934	1597	4305	183600	0	5000	3530	205850	4135	4135	12000	-1	-1	-1	-1	-1	-1	-1	-1	76	76	76	76	424	166000
117	251301	251301	2.645	2.4815	500	100	500	100	500	100	500	100	500	50	500	50	500	200	17388	7677	8194	819	2298	2890	10433	8777	8925	8097	1629	4389	186480	0	5000	3560	209380	4305	4305	12100	-1	-1	-1	-1	-1	-1	-1	-1	77	77	77	77	430	166000
118	268734	268734	2.6641	2.4964	500	100	500	100	500	100	500	100	500	50	500	50	500	200	17722	7817	8344	834	2354	2958	10641	8948	9098	8261	1662	4474	188640	0	5000	3590	212940	4475	4475	12200	-1	-1	-1	-1	-1	-1	-1	-1	78	78	78	78	435	166000
119	287571	287571	2.6833	2.5112	500	100	500	100	500	100	500	100	500	50	500	50	500	200	18060	7959	8497	850	2414	3028	10853	9120	9274	8429	1696	4560	190800	0	5000	3620	216530	4655	4655	12300	-1	-1	-1	-1	-1	-1	-1	-1	79	79	79	79	441	166000
120	307671	307671	2.7024	2.526	500	100	500	100	500	100	500	100	500	50	500	50	500	200	18403	8103	8651	865	2472	3098	11068	9296	9452	8599	1730	4648	193680	0	5000	3650	220150	4835	4835	12400	-1	-1	-1	-1	-1	-1	-1	-1	80	80	80	80	447	166000
121	328637	328637	2.7215	2.5408	500	100	500	100	500	100	500	100	500	50	500	50	500	200	18750	8248	8807	881	2534	3172	11287	9473	9632	8771	1765	4737	195840	0	5000	3680	223800	5025	5025	12500	-1	-1	-1	-1	-1	-1	-1	-1	81	81	81	81	453	166000
122	350924	350924	2.7407	2.5556	500	100	500	100	500	100	500	100	500	50	500	50	500	200	19102	8395	8965	897	2596	3244	11508	9653	9815	8946	1800	4827	198720	0	5000	3710	227480	5220	5220	12600	-1	-1	-1	-1	-1	-1	-1	-1	82	82	82	82	459	166000
123	374122	374122	2.7598	2.5704	500	100	500	100	500	100	500	100	500	50	500	50	500	200	19459	8545	9125	913	2658	3320	11733	9836	10001	9124	1836	4918	201600	0	5000	3740	231190	5415	5415	12700	-1	-1	-1	-1	-1	-1	-1	-1	83	83	83	83	465	166000
124	398249	398249	2.7789	2.5852	500	100	500	100	500	100	500	100	500	50	500	50	500	200	19821	8696	9288	929	2724	3396	11961	10021	10189	9304	1872	5011	203760	0	5000	3770	234930	5620	5620	12800	-1	-1	-1	-1	-1	-1	-1	-1	84	84	84	84	471	166000
125	423778	423778	2.798	2.6	500	100	500	100	500	100	500	100	500	50	500	50	500	200	20188	8848	9452	945	2788	3474	12192	10209	10380	9487	1909	5105	206640	0	5000	3800	238700	5830	5830	12900	-1	-1	-1	-1	-1	-1	-1	-1	85	85	85	85	477	166000
126	450280	450280	2.8172	2.6148	500	100	500	100	500	100	500	100	500	50	500	50	500	200	20559	9003	9618	962	2856	3552	12426	10400	10574	9673	1946	5200	208800	0	5000	3830	242500	6050	6050	13000	-1	-1	-1	-1	-1	-1	-1	-1	86	86	86	86	483	166000
127	478241	478241	2.8363	2.6296	500	100	500	100	500	100	500	100	500	50	500	50	500	200	20936	9160	9787	979	2924	3634	12664	10593	10770	9861	1984	5296	211680	0	5000	3860	246330	6270	6270	13100	-1	-1	-1	-1	-1	-1	-1	-1	87	87	87	87	489	166000
128	507694	507694	2.8554	2.6443	500	100	500	100	500	100	500	100	500	50	500	50	500	200	21317	9318	9957	996	2992	3714	12906	10788	10968	10053	2023	5394	214560	0	5000	3890	250190	6500	6500	13200	-1	-1	-1	-1	-1	-1	-1	-1	88	88	88	88	495	166000
129	537718	537718	2.8746	2.6591	500	100	500	100	500	100	500	100	500	50	500	50	500	200	21704	9478	10130	1013	3064	3798	13150	10987	11170	10247	2062	5493	216720	0	5000	3920	254080	6735	6735	13300	-1	-1	-1	-1	-1	-1	-1	-1	89	89	89	89	501	166000
130	569764	569764	2.8937	2.6739	500	100	500	100	500	100	500	100	500	50	500	50	500	200	22095	9641	10305	1030	3136	3882	13399	11187	11374	10443	2102	5594	219600	0	5000	3950	258000	6975	6975	13400	-1	-1	-1	-1	-1	-1	-1	-1	90	90	90	90	507	166000
131	602904	602904	2.9128	2.6886	500	100	500	100	500	100	500	100	500	50	500	50	500	200	22492	9805	10482	1048	3208	3968	13650	11391	11581	10643	2142	5696	221760	0	5000	3980	261950	7220	7220	13500	-1	-1	-1	-1	-1	-1	-1	-1	91	91	91	91	512	166000
132	637650	637650	2.932	2.7034	500	100	500	100	500	100	500	100	500	50	500	50	500	200	22894	9971	10661	1066	3282	4056	13905	11597	11790	10846	2183	5799	224640	0	5000	4010	265930	7475	7475	13600	-1	-1	-1	-1	-1	-1	-1	-1	92	92	92	92	517	166000
133	674818	674818	2.9511	2.7182	500	100	500	100	500	100	500	100	500	50	500	50	500	200	23301	10139	10842	1084	3358	4146	14164	11806	12003	11051	2224	5903	227520	0	5000	4040	269940	7735	7735	13700	-1	-1	-1	-1	-1	-1	-1	-1	93	93	93	93	522	166000
134	712425	712425	2.9703	2.7329	500	100	500	100	500	100	500	100	500	50	500	50	500	200	23713	10309	11026	1103	3436	4236	14426	12018	12218	11260	2266	6009	230400	0	5000	4070	273980	8005	8005	13800	-1	-1	-1	-1	-1	-1	-1	-1	94	94	94	94	527	166000
135	753126	753126	2.9894	2.7477	500	100	500	100	500	100	500	100	500	50	500	50	500	200	24130	10481	11211	1121	3514	4328	14692	12233	12436	11471	2308	6116	233280	0	5000	4100	278050	8280	8280	13900	-1	-1	-1	-1	-1	-1	-1	-1	95	95	95	95	532	166000
136	793708	793708	3.0085	2.7624	500	100	500	100	500	100	500	100	500	50	500	50	500	200	24553	10654	11399	1140	3594	4422	14962	12450	12657	11686	2352	6225	236160	0	5000	4130	282150	8560	8560	14000	-1	-1	-1	-1	-1	-1	-1	-1	96	96	96	96	537	166000
137	836048	836048	3.0277	2.7771	500	100	500	100	500	100	500	100	500	50	500	50	500	200	24981	10830	11589	1159	3676	4518	15235	12671	12880	11903	2395	6335	238320	0	5000	4160	286280	8850	8850	14100	-1	-1	-1	-1	-1	-1	-1	-1	97	97	97	97	542	166000
138	881228	881228	3.0468	2.7919	500	100	500	100	500	100	500	100	500	50	500	50	500	200	25415	11008	11782	1178	3758	4614	15512	12894	13107	12123	2440	6447	241200	0	5000	4190	290440	9150	9150	14200	-1	-1	-1	-1	-1	-1	-1	-1	98	98	98	98	547	166000
139	927248	927248	3.066	2.8066	500	100	500	100	500	100	500	100	500	50	500	50	500	200	25854	11188	11976	1198	3842	4712	15793	13120	13336	12347	2485	6560	244080	0	5000	4220	294630	9450	9450	14300	-1	-1	-1	-1	-1	-1	-1	-1	99	99	99	99	552	166000
140	976296	976296	3.0851	2.8213	500	100	500	100	500	100	500	100	500	50	500	50	500	200	26298	11370	12173	1217	3928	4814	16077	13348	13569	12574	2530	6674	246960	0	5000	4250	298850	9765	9765	14400	-1	-1	-1	-1	-1	-1	-1	-1	100	100	100	100	557	166000
141	1027365	1027365	3.1042	2.8361	500	100	500	100	500	100	500	100	500	50	500	50	500	200	26748	11554	12373	1237	4014	4914	16366	13580	13804	12803	2576	6790	249840	0	5000	4280	303100	10085	10085	14500	-1	-1	-1	-1	-1	-1	-1	-1	101	101	101	101	562	166000
142	1078653	1078653	3.1234	2.8508	500	100	500	100	500	100	500	100	500	50	500	50	500	200	27204	11740	12574	1257	4104	5018	16658	13815	14043	13036	2623	6907	252720	0	5000	4310	307380	10410	10410	14600	-1	-1	-1	-1	-1	-1	-1	-1	102	102	102	102	567	166000
143	1133252	1133252	3.1425	2.8655	500	100	500	100	500	100	500	100	500	50	500	50	500	200	27665	11928	12778	1278	4194	5124	16954	14053	14284	13272	2671	7026	255600	0	5000	4340	311690	10678	10678	14700	-1	-1	-1	-1	-1	-1	-1	-1	103	103	103	103	572	166000
144	1189977	1189977	3.1617	2.8802	500	100	500	100	500	100	500	100	500	50	500	50	500	200	28132	12118	12985	1298	4284	5230	17254	14293	14528	13512	2719	7147	258480	0	5000	4370	316030	10770	10770	14800	-1	-1	-1	-1	-1	-1	-1	-1	104	104	104	104	577	166000
145	1248869	1248869	3.1808	2.8949	500	100	500	100	500	100	500	100	500	50	500	50	500	200	28604	12310	13193	1319	4378	5338	17557	14537	14776	13754	2768	7268	262080	0	5000	4400	320400	10864	10864	14900	-1	-1	-1	-1	-1	-1	-1	-1	105	105	105	105	582	166000
146	1307831	1307831	3.1999	2.9096	500	100	500	100	500	100	500	100	500	50	500	50	500	200	29082	12504	13404	1340	4472	5450	17865	14784	15026	14000	2817	7392	264240	0	5000	4430	324800	10955	10955	15000	-1	-1	-1	-1	-1	-1	-1	-1	106	106	106	106	587	166000
147	1371098	1371098	3.2191	2.9243	500	100	500	100	500	100	500	100	500	50	500	50	500	200	29566	12700	13618	1362	4568	5562	18177	15033	15280	14249	2867	7517	267120	0	5000	4460	329230	11048	11048	15100	-1	-1	-1	-1	-1	-1	-1	-1	107	107	107	107	592	166000
148	1436651	1436651	3.2382	2.939	500	100	500	100	500	100	500	100	500	50	500	50	500	200	30055	12899	13833	1383	4666	5676	18493	15286	15537	14502	2918	7643	270720	0	5000	4490	333690	11137	11137	15200	-1	-1	-1	-1	-1	-1	-1	-1	108	108	108	108	597	166000
149	1503926	1503926	3.2574	2.9537	500	100	500	100	500	100	500	100	500	50	500	50	500	200	30551	13099	14052	1405	4766	5790	18813	15542	15797	14758	2970	7771	273600	0	5000	4520	338180	11232	11232	15300	-1	-1	-1	-1	-1	-1	-1	-1	109	109	109	109	602	166000
150	1526936	1526936	3.2765	2.9684	500	100	500	100	500	100	500	100	500	50	500	50	500	200	31052	13302	14272	1427	4868	5908	19137	15801	16060	15017	3022	7901	276480	0	5000	4550	342700	11324	11324	15400	-1	-1	-1	-1	-1	-1	-1	-1	110	110	110	110	1072	166000
151	1529475	1529475	3.2957	2.9831	500	100	500	100	500	100	500	100	500	50	500	50	500	200	31559	13506	14496	1450	4970	6028	19465	16063	16326	15282	3075	8032	279360	0	5000	4580	347250	11417	11417	15500	-1	-1	-1	-1	-1	-1	-1	-1	111	111	111	111	1100	166000
152	1629209	1629209	3.3148	2.9978	500	100	500	100	500	100	500	100	500	50	500	50	500	200	32072	13713	14721	1472	5076	6150	19797	16328	16595	15551	3129	8164	282240	0	5000	4610	351830	11511	11511	15600	-1	-1	-1	-1	-1	-1	-1	-1	112	112	112	112	1128	166000
153	1724661	1724661	3.334	3.0125	500	100	500	100	500	100	500	100	500	50	500	50	500	200	32591	13922	14949	1495	5182	6274	20134	16597	16868	15823	3184	8298	285840	0	5000	4640	356440	11606	11606	15700	-1	-1	-1	-1	-1	-1	-1	-1	113	113	113	113	1155	166000
154	1814814	1814814	3.3531	3.0272	500	100	500	100	500	100	500	100	500	50	500	50	500	200	33116	14133	15180	1518	5292	6400	20474	16869	17144	16099	3240	8434	288720	0	5000	4670	361080	11701	11701	15800	-1	-1	-1	-1	-1	-1	-1	-1	114	114	114	114	1184	166000
155	1902031	1902031	3.3723	3.0418	500	100	500	100	500	100	500	100	500	50	500	50	500	200	33647	14347	15413	1541	5402	6528	20819	17144	17423	16378	3296	8572	292320	0	5000	4700	365750	11796	11796	15900	-1	-1	-1	-1	-1	-1	-1	-1	115	115	115	115	1214	166000
156	1980824	1980824	3.3914	3.0565	500	100	500	100	500	100	500	100	500	50	500	50	500	200	34185	14562	15649	1565	5514	6658	21169	17422	17705	16661	3353	8711	295200	0	5000	4730	370450	11892	11892	16000	-1	-1	-1	-1	-1	-1	-1	-1	116	116	116	116	1243	166000
157	2052899	2052899	3.4106	3.0712	500	100	500	100	500	100	500	100	500	50	500	50	500	200	34728	14780	15887	1589	5628	6790	21522	17703	17991	16948	3410	8852	298080	0	5000	4760	375180	11988	11988	16100	-1	-1	-1	-1	-1	-1	-1	-1	117	117	117	117	1273	166000
158	2175795	2175795	3.4297	3.0859	500	100	500	100	500	100	500	100	500	50	500	50	500	200	35277	15000	16128	1613	5744	6924	21880	17988	18280	17238	3469	8994	300960	0	5000	4790	379940	12084	12084	16200	-1	-1	-1	-1	-1	-1	-1	-1	118	118	118	118	1302	166000
159	2334127	2334127	3.4489	3.1005	500	100	500	100	500	100	500	100	500	50	500	50	500	200	35833	15222	16371	1637	5862	7060	22243	18276	18573	17533	3528	9138	304560	0	5000	4820	384730	12180	12180	16300	-1	-1	-1	-1	-1	-1	-1	-1	119	119	119	119	1334	166000
160	2494021	2494021	3.468	3.1152	500	100	500	100	500	100	500	100	500	50	500	50	500	200	36395	15446	16617	1662	5982	7198	22609	18568	18869	17831	3588	9284	307440	0	5000	4850	389550	12279	12279	16400	-1	-1	-1	-1	-1	-1	-1	-1	120	120	120	120	1364	166000
161	2659172	2659172	3.4872	3.1299	500	100	500	100	500	100	500	100	500	50	500	50	500	200	36964	15673	16866	1687	6104	7338	22981	18863	19168	18133	3649	9431	310320	0	5000	4880	394400	12375	12375	16500	-1	-1	-1	-1	-1	-1	-1	-1	121	121	121	121	1395	166000
162	2833034	2833034	3.5063	3.1445	500	100	500	100	500	100	500	100	500	50	500	50	500	200	37538	15901	17117	1712	6226	7482	23357	19161	19471	18438	3710	9581	313920	0	5000	4910	399280	12473	12473	16600	-1	-1	-1	-1	-1	-1	-1	-1	122	122	122	122	1428	166000
163	3008598	3008598	3.5255	3.1592	500	100	500	100	500	100	500	100	500	50	500	50	500	200	38120	16132	17371	1737	6352	7626	23737	19463	19778	18748	3773	9731	316800	0	5000	4940	404190	12571	12571	16700	-1	-1	-1	-1	-1	-1	-1	-1	123	123	123	123	1459	166000
164	3193413	3193413	3.5446	3.1738	500	100	500	100	500	100	500	100	500	50	500	50	500	200	38707	16366	17628	1763	6480	7772	24122	19768	20087	19062	3836	9884	320400	0	5000	4970	409130	12672	12672	16800	-1	-1	-1	-1	-1	-1	-1	-1	124	124	124	124	1480	166000
165	3384186	3384186	3.5638	3.1885	500	100	500	100	500	100	500	100	500	50	500	50	500	200	39301	16601	17887	1789	6608	7920	24512	20077	20401	19379	3900	10038	324000	0	5000	5000	414100	12772	12772	16900	-1	-1	-1	-1	-1	-1	-1	-1	125	125	125	125	1497	166000
166	3575738	3575738	3.5829	3.2031	500	100	500	100	500	100	500	100	500	50	500	50	500	200	39902	16839	18149	1815	6740	8072	24906	20389	20718	19701	3965	10194	326880	0	5000	5030	419100	12871	12871	17000	-1	-1	-1	-1	-1	-1	-1	-1	126	126	126	126	1511	166000
167	3777916	3777916	3.6021	3.2178	500	100	500	100	500	100	500	100	500	50	500	50	500	200	40509	17079	18414	1841	6874	8226	25305	20705	21038	20027	4030	10352	330480	0	5000	5060	424130	12969	12969	17100	-1	-1	-1	-1	-1	-1	-1	-1	127	127	127	127	1527	166000
168	3981138	3981138	3.6212	3.2324	500	100	500	100	500	100	500	100	500	50	500	50	500	200	41123	17322	18681	1868	7008	8380	25709	21024	21362	20356	4096	10512	333360	0	5000	5090	429190	13070	13070	17200	-1	-1	-1	-1	-1	-1	-1	-1	128	128	128	128	1540	166000
169	4195581	4195581	3.6404	3.2471	500	100	500	100	500	100	500	100	500	50	500	50	500	200	41743	17566	18951	1895	7146	8538	26117	21347	21690	20690	4164	10673	336960	0	5000	5120	434280	13172	13172	17300	-1	-1	-1	-1	-1	-1	-1	-1	129	129	129	129	1557	166000
170	4416393	4416393	3.6595	3.2617	500	100	500	100	500	100	500	100	500	50	500	50	500	200	42370	17814	19224	1922	7286	8698	26530	21673	22022	21028	4232	10837	340560	0	5000	5150	439400	13273	13273	17400	-1	-1	-1	-1	-1	-1	-1	-1	130	130	130	130	1573	166000
171	4643091	4643091	3.6787	3.2764	500	100	500	100	500	100	500	100	500	50	500	50	500	200	43004	18063	19500	1950	7428	8860	26949	22003	22357	21370	4300	11002	344160	0	5000	5180	444550	13373	13373	17500	-1	-1	-1	-1	-1	-1	-1	-1	131	131	131	131	1589	166000
172	4876318	4876318	3.6978	3.291	500	100	500	100	500	100	500	100	500	50	500	50	500	200	43645	18315	19778	1978	7570	9026	27371	22337	22696	21716	4370	11169	347040	0	5000	5210	449730	13474	13474	17600	-1	-1	-1	-1	-1	-1	-1	-1	132	132	132	132	1605	166000
173	5116160	5116160	3.717	3.3056	500	100	500	100	500	100	500	100	500	50	500	50	500	200	44292	18569	20060	2006	7716	9192	27799	22674	23038	22067	4441	11337	350640	0	5000	5240	454940	13577	13577	17700	-1	-1	-1	-1	-1	-1	-1	-1	133	133	133	133	1621	166000
174	5362702	5362702	3.7361	3.3203	500	100	500	100	500	100	500	100	500	50	500	50	500	200	44946	18825	20344	2034	7864	9362	28232	23016	23384	22422	4512	11508	354240	0	5000	5270	460180	13681	13681	17800	-1	-1	-1	-1	-1	-1	-1	-1	134	134	134	134	1637	166000
175	5616030	5616030	3.7553	3.3349	500	100	500	100	500	100	500	100	500	50	500	50	500	200	45608	19084	20631	2063	8014	9534	28670	23360	23734	22781	4584	11680	357840	0	5000	5300	465450	13783	13783	17900	-1	-1	-1	-1	-1	-1	-1	-1	135	135	135	135	1653	166000
176	5875635	5875635	3.7745	3.3495	500	100	500	100	500	100	500	100	500	50	500	50	500	200	46276	19345	20921	2092	8168	9708	29113	23709	24088	23144	4658	11855	361440	0	5000	5330	470750	13887	13887	18000	-1	-1	-1	-1	-1	-1	-1	-1	136	136	136	136	1669	166000
177	6142788	6142788	3.7936	3.3641	500	100	500	100	500	100	500	100	500	50	500	50	500	200	46951	19609	21213	2121	8322	9886	29561	24061	24446	23512	4732	12031	364320	0	5000	5360	476080	13991	13991	18100	-1	-1	-1	-1	-1	-1	-1	-1	137	137	137	137	1685	166000
178	6416985	6416985	3.8128	3.3788	500	100	500	100	500	100	500	100	500	50	500	50	500	200	47633	19875	21509	2151	8478	10064	30014	24418	24807	23885	4806	12209	367920	0	5000	5390	481440	14096	14096	18200	-1	-1	-1	-1	-1	-1	-1	-1	138	138	138	138	1701	166000
179	6698312	6698312	3.8319	3.3934	500	100	500	100	500	100	500	100	500	50	500	50	500	200	48322	20143	21807	2181	8638	10246	30472	24778	25173	24261	4882	12389	371520	0	5000	5420	486830	14200	14200	18300	-1	-1	-1	-1	-1	-1	-1	-1	139	139	139	139	1717	166000
180	6986855	6986855	3.8511	3.408	500	100	500	100	500	100	500	100	500	50	500	50	500	200	49018	20414	22109	2211	8800	10430	30935	25142	25542	24643	4959	12571	375120	0	5000	5450	492250	14306	14306	18400	-1	-1	-1	-1	-1	-1	-1	-1	140	140	140	140	1734	166000
181	7282699	7282699	3.8702	3.4226	500	100	500	100	500	100	500	100	500	50	500	50	500	200	49722	20688	22413	2241	8964	10618	31404	25509	25915	25028	5037	12755	378720	0	5000	5480	497700	14412	14412	18500	-1	-1	-1	-1	-1	-1	-1	-1	141	141	141	141	1750	166000
182	7586562	7586562	3.8894	3.4372	500	100	500	100	500	100	500	100	500	50	500	50	500	200	50432	20963	22720	2272	9130	10808	31877	25881	26293	25419	5115	12940	381600	0	5000	5510	503180	14517	14517	18600	-1	-1	-1	-1	-1	-1	-1	-1	142	142	142	142	1766	166000
183	7906127	7906127	3.9086	3.4518	500	100	500	100	500	100	500	100	500	50	500	50	500	200	51150	21241	23031	2303	9298	11000	32356	26257	26674	25814	5195	13128	385920	0	5000	5540	508690	14624	14624	18700	-1	-1	-1	-1	-1	-1	-1	-1	143	143	143	143	1784	166000
184	8225316	8225316	3.9277	3.4665	500	100	500	100	500	100	500	100	500	50	500	50	500	200	51875	21522	23344	2334	9470	11194	32841	26636	27059	26213	5275	13318	389520	0	5000	5570	514230	14732	14732	18800	-1	-1	-1	-1	-1	-1	-1	-1	144	144	144	144	1800	166000
185	8561574	8561574	3.9469	3.4811	500	100	500	100	500	100	500	100	500	50	500	50	500	200	52608	21805	23660	2366	9644	11392	33330	27020	27448	26617	5356	13510	393120	0	5000	5600	519800	14839	14839	18900	-1	-1	-1	-1	-1	-1	-1	-1	145	145	145	145	1818	166000
186	8896452	8896452	3.966	3.4957	500	100	500	100	500	100	500	100	500	50	500	50	500	200	53348	22091	23980	2398	9820	11592	33825	27407	27842	27026	5439	13704	396720	0	5000	5630	525400	14946	14946	19000	-1	-1	-1	-1	-1	-1	-1	-1	146	146	146	146	1834	166000
187	9239826	9239826	3.9852	3.5103	500	100	500	100	500	100	500	100	500	50	500	50	500	200	54095	22379	24302	2430	9998	11796	34326	27799	28239	27440	5522	13899	400320	0	5000	5660	531030	15054	15054	19100	-1	-1	-1	-1	-1	-1	-1	-1	147	147	147	147	1850	166000
188	9601404	9601404	4.0043	3.5249	500	100	500	100	500	100	500	100	500	50	500	50	500	200	54850	22669	24627	2463	10178	12000	34832	28194	28640	27859	5606	14097	403920	0	5000	5690	536690	15163	15163	19200	-1	-1	-1	-1	-1	-1	-1	-1	148	148	148	148	1868	166000
189	9961698	9961698	4.0235	3.5395	500	100	500	100	500	100	500	100	500	50	500	50	500	200	55612	22962	24956	2496	10362	12210	35343	28594	29046	28282	5691	14297	407520	0	5000	5720	542380	15271	15271	19300	-1	-1	-1	-1	-1	-1	-1	-1	149	149	149	149	1884	166000
190	10340974	10340974	4.0427	3.5541	500	100	500	100	500	100	500	100	500	50	500	50	500	200	56381	23257	25287	2529	10548	12420	35860	28998	29456	28710	5778	14499	411120	0	5000	5750	548100	15382	15382	19400	-1	-1	-1	-1	-1	-1	-1	-1	150	150	150	150	1902	166000
191	10729061	10729061	4.0618	3.5687	500	100	500	100	500	100	500	100	500	50	500	50	500	200	57158	23555	25622	2562	10736	12634	36383	29406	29870	29143	5865	14703	415440	0	5000	5780	553850	15492	15492	19500	-1	-1	-1	-1	-1	-1	-1	-1	151	151	151	151	1920	166000
192	11115276	11115276	4.081	3.5833	500	100	500	100	500	100	500	100	500	50	500	50	500	200	57943	23856	25960	2596	10928	12852	36911	29818	30288	29581	5953	14909	418320	0	5000	5810	559630	15601	15601	19600	-1	-1	-1	-1	-1	-1	-1	-1	152	152	152	152	1936	166000
193	11521668	11521668	4.1001	3.5979	500	100	500	100	500	100	500	100	500	50	500	50	500	200	58736	24159	26301	2630	11122	13072	37445	30234	30710	30024	6042	15117	422640	0	5000	5840	565440	15712	15712	19700	-1	-1	-1	-1	-1	-1	-1	-1	153	153	153	153	1954	166000
194	11937874	11937874	4.1193	3.6125	500	100	500	100	500	100	500	100	500	50	500	50	500	200	59536	24465	26645	2664	11318	13294	37984	30654	31137	30472	6132	15327	426240	0	5000	5870	571280	15824	15824	19800	-1	-1	-1	-1	-1	-1	-1	-1	154	154	154	154	1972	166000
195	12364011	12364011	4.1385	3.6271	500	100	500	100	500	100	500	100	500	50	500	50	500	200	60344	24773	26992	2699	11516	13520	38530	31079	31568	30925	6223	15540	430560	0	5000	5900	577150	15935	15935	19900	-1	-1	-1	-1	-1	-1	-1	-1	155	155	155	155	1990	166000
