INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
80008	7	青铜成员	100	329	10	-1	10	17	40	2	20000	-1	-1	976	977
80009	7	白银成员	100	329	50	-1	10	17	60	2	30000	-1	-1	978	979
80010	7	黄金成员	100	329	99	-1	10	17	60	2	30000	-1	-1	980	981
80011	7	水晶成员	100	329	500	-1	10	17	80	2	40000	-1	-1	982	983
80012	7	钻石成员	9999	-1	-1	-1	10	17	120	2	60000	-1	-1	984	985
80013	7	皇冠成员	9999	-1	-1	-1	10	17	160	2	80000	-1	-1	986	987
80014	7	超级成员	9999	-1	-1	-1	10	17	220	2	110000	-1	-1	988	989
80015	7	新人老板	9999	-1	5	-1	10	17	80	2	40000	-1	-1	1347	1348
80016	7	黑铁老板	9999	-1	10	-1	10	17	80	2	40000	-1	-1	1349	1350
80017	7	青铜老板	9999	-1	20	-1	10	17	100	2	50000	-1	-1	1351	1352
80018	7	白银老板	9999	-1	50	-1	10	17	100	2	50000	-1	-1	1353	1354
80019	7	黄金老板	9999	-1	100	-1	10	17	120	2	60000	-1	-1	1355	1356
80020	7	水晶老板	9999	-1	200	-1	10	17	160	2	80000	-1	-1	1357	1358
80021	7	钻石老板	9999	-1	300	-1	10	17	160	2	80000	-1	-1	1359	1360
80022	7	皇冠老板	9999	-1	500	-1	10	17	220	2	110000	-1	-1	1361	1362
80023	7	超级老板	9999	-1	1000	-1	10	17	260	2	130000	-1	-1	1363	1364
80024	7	神级老板	9999	-1	2000	-1	10	17	320	2	160000	-1	-1	1365	1366
80025	7	新人买家	9999	-1	-1	-1	10	17	80	2	40000	-1	-1	1367	1368
80026	7	黑铁买家	9999	-1	10	-1	10	17	80	2	40000	-1	-1	1369	1370
80027	7	青铜买家	9999	-1	20	-1	10	17	100	2	50000	-1	-1	1371	1372
80028	7	白银买家	9999	-1	50	-1	10	17	120	2	60000	-1	-1	1373	1374
80029	7	黄金买家	9999	-1	100	-1	10	17	120	2	60000	-1	-1	1375	1376
80030	7	水晶买家	9999	-1	200	-1	10	17	160	2	80000	-1	-1	1377	1378
80031	7	钻石买家	9999	-1	300	-1	10	17	220	2	110000	-1	-1	1379	1380
80032	7	皇冠买家	9999	-1	500	-1	10	17	220	2	110000	-1	-1	1381	1382
80033	7	超级买家	9999	-1	1000	-1	10	17	320	2	160000	-1	-1	1383	1384
90009	8	新手竞技	100	49	10	-1	20	17	60	2	30000	-1	-1	1259	1260
90010	8	勇者竞技	100	49	50	-1	20	17	60	2	30000	-1	-1	1261	1262
90011	8	先锋竞技	100	49	100	-1	20	17	60	2	30000	-1	-1	1263	1264
90012	8	精英竞技	100	49	500	-1	20	17	60	2	30000	-1	-1	1265	1266
90013	8	统领竞技	9999	-1	-1	-1	20	17	80	2	40000	-1	-1	1267	1268
90014	8	领袖竞技	9999	-1	-1	-1	10	17	80	2	40000	-1	-1	1269	1270
90015	8	神绶竞技	9999	-1	-1	-1	10	17	120	2	60000	-1	-1	1271	1272
90016	8	守护竞技	9999	-1	-1	-1	10	17	220	2	110000	-1	-1	1273	1274
90017	8	白手起家	1	48	1000000	-1	10	17	20	2	10000	-1	-1	1657	1658
90018	8	一心赚钱	1	48	5000000	-1	10	17	20	2	10000	-1	-1	1659	1660
90019	8	小有财富	1	48	10000000	-1	10	17	20	2	10000	-1	-1	1661	1662
90020	8	晋升土豪	1	48	50000000	-1	10	17	20	2	10000	-1	-1	1663	1664
90021	8	财富上榜	1	48	100000000	-1	10	17	60	2	30000	-1	-1	1665	1666
90022	8	一方富豪	9999	-1	-1	-1	10	17	100	2	50000	-1	-1	1667	1668
90023	8	定个小目标	9999	-1	-1	-1	10	17	160	2	80000	-1	-1	1669	1670
90024	8	钻石新人	1	95	500	-1	10	17	20	2	10000	-1	-1	1671	1672
90025	8	钻石达人	1	95	1000	-1	10	17	20	2	10000	-1	-1	1673	1674
90026	8	钻石精英	1	95	2000	-1	10	17	60	2	30000	-1	-1	1675	1676
90027	8	钻石专家	1	95	5000	-1	10	17	100	2	50000	-1	-1	1677	1678
90028	8	钻石王者	1	95	88888	-1	10	17	160	2	80000	-1	-1	1679	1680
90029	8	竞技场角斗士	1	49	10	-1	10	17	60	2	30000	-1	-1	1681	1682
90030	8	竞技场精英	1	49	100	-1	10	17	80	2	40000	-1	-1	1683	1684
90031	8	竞技场大师	1	49	500	-1	10	17	120	2	60000	-1	-1	1685	1686
90032	8	竞技场宗师	1	49	1000	-1	10	17	160	2	80000	-1	-1	1687	1688
90033	8	竞技场挑战王	1	49	5000	-1	10	17	220	2	110000	-1	-1	1689	1690
100000	9	霉运达人	1	85	99	-1	10	17	20	22000	1	-1	-1	834	835
100001	9	霉运精英	1	85	30	-1	10	17	20	22000	2	-1	-1	836	837
100002	9	霉运专家	1	85	50	-1	10	17	20	22000	3	-1	-1	838	839
100003	9	霉运大师	1	85	100	-1	10	17	40	22000	4	-1	-1	840	841
100005	8	手留余香	30	598	1	-1	10	17	20	20401	1	-1	-1	2273	2272
100006	8	香气四溢	30	598	10	-1	10	17	50	20402	1	-1	-1	2275	2274
100007	8	山花烂漫	30	598	99	-1	10	17	100	20403	1	-1	-1	2277	2276
100008	8	倾国倾城	30	598	666	-1	15	17	200	20404	1	-1	-1	2279	2278
100009	8	花神下凡	30	598	999	-1	20	17	300	20405	1	-1	-1	2281	2280
400008	3	除魔神坻	9999	-1	100000	-1	10	17	320	2	90000	-1	-1	2126	2125
400009	3	除魔神坻	1	45	150000	-1	10	17	360	2	100000	-1	-1	2128	2127
400010	3	除魔神坻	1	45	200000	-1	10	17	400	2	110000	-1	-1	2130	2129
400011	3	除魔神坻	1	45	250000	-1	10	17	440	2	120000	-1	-1	2132	2131
400012	3	除魔神坻	1	45	300000	-1	10	17	480	2	130000	-1	-1	2134	2133
400013	3	除魔神坻	1	45	350000	-1	10	17	520	2	140000	-1	-1	2136	2135
400014	3	除魔神坻	1	45	400000	-1	10	17	560	2	150000	-1	-1	2138	2137
400015	3	除魔神坻	1	45	450000	-1	10	17	600	2	160000	-1	-1	2140	2139
400016	3	除魔神坻	1	45	500000	-1	10	17	640	2	170000	-1	-1	2142	2141
400017	3	除魔神坻	1	45	600000	-1	10	17	680	2	180000	-1	-1	2144	2143
400018	3	除魔神坻	1	45	800000	-1	10	17	720	2	190000	-1	-1	2146	2145
400019	3	除魔神坻	1	45	1000000	-1	10	17	760	2	200000	-1	-1	2148	2147
410000	3	累计消费金币1	1	83	1000000	-1	20	17	20	2	10000	-1	-1	2200	2201
410001	3	累计消费金币2	1	83	5000000	-1	20	17	40	2	20000	-1	-1	2202	2203
410002	3	累计消费金币3	1	83	10000000	-1	20	17	80	2	30000	-1	-1	2204	2205
410003	3	累计消费金币4	1	83	50000000	-1	20	17	120	2	40000	-1	-1	2206	2207
410004	3	累计消费金币5	1	83	100000000	-1	20	17	160	2	50000	-1	-1	2208	2209
410005	3	累计消费金币6	1	83	200000000	-1	20	17	200	2	60000	-1	-1	2210	2211
410006	3	累计消费金币7	1	83	500000000	-1	20	17	240	2	70000	-1	-1	2212	2213
410007	3	累计消费金币8	9999	-1	-1	-1	10	17	280	2	80000	-1	-1	2214	2215
410008	3	累计消费金币9	9999	-1	-1	-1	10	17	320	2	90000	-1	-1	2216	2217
410009	3	累计消费金币10	9999	-1	-1	-1	10	17	360	2	100000	-1	-1	2218	2219
410010	3	累计消费金币11	9999	-1	-1	-1	10	17	400	2	110000	-1	-1	2220	2221
410011	3	累计消费金币12	9999	-1	-1	-1	10	17	440	2	120000	-1	-1	2222	2223
420000	3	一掷千金1	1	84	100	-1	20	17	20	2	100000	-1	-1	2224	2225
420001	3	一掷千金2	1	84	300	-1	20	17	40	2	200000	-1	-1	2226	2227
420002	3	一掷千金3	1	84	500	-1	20	17	80	2	300000	-1	-1	2228	2229
420003	3	一掷千金4	1	84	1000	-1	20	17	120	2	400000	-1	-1	2230	2231
420004	3	一掷千金5	1	84	1500	-1	20	17	160	2	500000	-1	-1	2232	2233
420005	3	一掷千金6	1	84	2000	-1	20	17	200	2	600000	-1	-1	2234	2235
420006	3	一掷千金7	1	84	3000	-1	20	17	240	2	700000	-1	-1	2236	2237
420007	3	一掷千金8	1	84	5000	-1	20	17	280	2	800000	-1	-1	2238	2239
420008	3	一掷千金9	1	84	10000	-1	20	17	320	2	900000	-1	-1	2240	2241
420009	3	一掷千金10	1	84	20000	-1	20	17	360	2	1000000	-1	-1	2242	2243
420010	3	一掷千金11	1	84	30000	-1	20	17	400	2	1100000	-1	-1	2244	2245
420011	3	一掷千金12	1	84	40000	-1	20	17	440	2	1200000	-1	-1	2246	2247
420012	3	一掷千金13	1	84	50000	-1	20	17	480	2	1300000	-1	-1	2248	2249
420013	3	一掷千金14	1	84	100000	-1	20	17	520	2	1400000	-1	-1	2250	2251
420014	3	一掷千金15	1	84	150000	-1	20	17	560	2	1500000	-1	-1	2252	2253
420015	3	一掷千金16	1	84	200000	-1	20	17	600	2	1600000	-1	-1	2254	2255
420016	3	一掷千金17	1	84	300000	-1	20	17	640	2	1700000	-1	-1	2256	2257
420017	3	一掷千金18	1	84	500000	-1	20	17	680	2	1800000	-1	-1	2258	2259
420018	3	一掷千金19	1	84	1000000	-1	20	17	720	2	1900000	-1	-1	2260	2261
420019	3	一掷千金20	1	84	1500000	-1	20	17	760	2	2000000	-1	-1	2262	2263
420020	3	一掷千金21	1	84	2000000	-1	20	17	800	2	2100000	-1	-1	2264	2265
420021	3	一掷千金22	1	84	3000000	-1	20	17	840	2	2200000	-1	-1	2266	2267
420022	3	一掷千金23	1	84	5000000	-1	20	17	880	2	2300000	-1	-1	2268	2269
420023	3	一掷千金24	1	84	10000000	-1	20	17	920	2	2400000	-1	-1	2270	2271
