INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
175	亚伦·拜尔德	94	1	21996	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	817	1053	1967	257	300	370
176	苏·娜塔莉	92	2	20316	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	769	964	2451	173	288	265
177	大卫·肯尼斯	94	1	21704	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	851	973	2183	279	305	352
178	苏·露露	92	2	20008	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	750	900	2498	171	307	286
179	肖特·柯利弗	90	0	19324	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	673	822	2991	176	387	226
180	史密斯·詹姆士	94	1	21360	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	788	957	2203	256	337	355
181	艾米丽·赫墨拉	90	2	19528	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	707	922	2389	164	281	284
182	妮可·马德琳	90	2	19552	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	922	2396	169	303	268
183	怀特·亚度尼斯	97	1	22232	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	810	1047	2011	283	335	372
184	艾登·斯图尔特	92	0	20704	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	719	919	3192	179	393	229
185	霍尔·肯	92	0	20244	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	709	879	3030	171	413	218
186	布朗·肯尼迪	90	0	19312	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	670	831	3080	184	368	228
187	伊芙·艾斯妮	90	2	19528	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	742	874	2421	179	311	263
188	乔治·布里奇特	97	1	22108	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	838	1041	2069	279	314	350
189	怀特·柯帝士	94	1	21916	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	805	1009	1950	277	332	385
190	保拉·尼迪亚	90	2	19540	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	707	907	2540	176	299	267
191	斯特林·贾斯特	90	0	19696	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	689	885	2987	187	367	213
192	乔治·亚尔林	92	0	20088	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	700	879	3143	177	392	217
193	斯特林·赫瑟尔	94	1	21716	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	777	1025	1977	276	324	377
194	安·尤杜拉	92	2	20124	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	740	961	2431	168	309	254
195	卡特·奥古斯特	90	0	19712	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	675	879	3096	174	382	210
196	巴奈特·强尼	92	0	20052	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	717	856	3189	175	394	212
197	斯特林·卢卡斯	92	0	20236	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	732	856	2991	170	410	224
198	芬格·本森	97	1	22288	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	849	1040	2111	259	314	359
199	特纳·杜克	90	0	19724	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	692	829	3130	172	396	227
200	郎曼·哈乐德	90	0	19796	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	686	860	3154	170	382	223
201	卡门·玛莎	92	2	20180	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	775	931	2538	162	288	267
202	保拉·安妮	90	2	19228	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	713	891	2365	167	280	275
203	贝克·奥德里奇	90	0	19920	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	746	820	2963	179	413	206
204	珀尔·菲奥纳	90	2	19688	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	722	938	2362	164	279	278
205	珀尔·狄安娜	90	2	19488	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	751	871	2429	167	302	261
206	乔治·马修	92	0	20160	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	707	859	3170	188	398	230
207	凯拉·夏洛特	90	2	19568	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	737	883	2528	168	291	274
208	艾玛·贝基	90	2	19348	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	762	863	2467	162	279	260
209	汉德·亚历山大	97	1	22488	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	840	1028	2185	255	326	386
210	伯德·卡尔文	94	1	21168	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	779	967	1974	258	331	359
211	韦尔·卢克	97	1	22028	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	843	1025	2045	282	305	362
212	艾比·拉克丝	90	2	19172	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	709	861	2562	167	289	273
213	享特·比其尔	94	1	21484	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	804	974	2058	258	330	359
214	巴罗·夏洛特	92	1	20936	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	783	951	2031	280	305	361
215	韦尔·萨姆	90	0	19984	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	736	867	2932	176	371	222
216	米勒·尤利塞斯	97	1	22104	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	817	1033	2096	269	332	358
217	米勒·斐迪南	97	1	22300	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	860	1025	2069	255	333	350
218	帕姬·米洛娃	90	2	19364	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	724	912	2481	175	275	253
219	郎曼·约瑟芬	94	1	21204	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	794	960	2018	258	307	375
220	艾比·索尼亚	90	2	19940	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	758	917	2465	161	281	282
221	亚伦·查德	90	0	19920	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	723	862	2922	182	376	228
222	亚当·萨	97	1	22244	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	847	1045	1997	264	327	349
223	艾丹·玛德琳	97	1	22288	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	851	1042	1951	265	328	357
224	凯尔西·艾梦儿	90	2	19752	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	760	876	2542	178	305	265
225	伍德·戴纳	90	0	19808	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	689	865	2927	174	397	224
226	艾玛·汉娜	90	2	19316	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	716	870	2465	169	306	268
227	克顿·杰拉尔	92	0	20172	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	723	898	2861	171	391	215
228	布鲁克·华纳	94	1	21992	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	854	989	2091	281	323	360
229	玛乔丽·伊迈尔	90	2	19728	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	779	870	2515	177	277	280
230	克顿·克莱斯特	94	1	21924	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	836	993	2117	262	303	384
231	本·乔治	90	0	19844	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	734	826	2906	184	401	220
232	布朗·卡尔	92	1	20876	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	773	949	2016	281	307	365
233	芭迪·南茜	90	2	19708	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	748	908	2337	164	293	273
234	凯尔西·艾美丽	90	2	19664	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	726	930	2400	162	295	259
235	玛莎·朱迪丝	90	2	19284	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	740	861	2320	179	301	268
236	本·亚度尼斯	90	0	19820	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	715	866	2959	174	375	217
237	帕姬·锐克丝	90	2	19972	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	772	905	2440	170	303	264
238	亚伦·费力克斯	94	1	21776	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	843	946	2092	279	327	383
239	怀特·格吉尔	90	0	19448	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	671	831	3003	181	401	219
240	肖特·杰明	94	1	21040	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	799	945	1986	254	322	353
241	亚伦·卡萝	90	0	19740	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	688	861	3037	183	379	227
242	韦尔·格纳	94	1	21512	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	803	990	1993	256	319	365
243	米尔·马库斯	90	0	19508	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	672	823	3051	173	407	223
244	布鲁克·梅森	90	0	19828	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	683	869	3131	175	391	214
245	巴罗·亚摩斯	90	0	19716	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	735	841	3009	181	369	210
246	伍德·弗兰克	92	0	20004	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	733	843	3007	179	406	209
247	史密斯·狄克	94	1	21628	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	838	998	2017	276	300	352
248	安娜·卡米拉	90	2	19744	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	738	910	2558	165	293	263
249	里德·费力克斯	94	1	21160	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	808	945	2038	253	316	360
250	杰瑞·爱得拉	90	0	19664	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	710	838	2909	188	402	208
251	卡门·锐雯	87	2	18848	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	702	856	2341	165	287	269
252	玛乔丽·曼蒂	90	2	19636	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	744	892	2304	162	304	276
253	布鲁克·泰德	94	1	21820	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	834	986	1964	268	324	374
254	艾米丽·贝斯	90	2	19348	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	714	907	2421	172	277	270
255	乔治·卢克	90	0	19680	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	713	833	2891	181	406	210
256	伍德·亚伦	90	0	19492	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	691	825	3112	174	378	223
257	芭比·维吉妮亚	90	2	19752	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	714	935	2409	164	297	274
258	妮可·普里西拉	90	2	19416	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	726	897	2359	171	289	271
259	菲尔德·亚恒	94	1	21636	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	808	1020	2027	262	307	354
260	苏珊·黛芙妮	90	2	19872	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	741	931	2509	171	276	277
261	米尔·克雷尔	92	0	20184	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	724	884	3136	177	383	210
262	艾达·艾薇	90	2	19032	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	700	871	2439	171	285	271
263	米尔·葛里菲兹	92	0	20252	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	699	898	3107	179	390	225
264	米勒·亚尔维斯	90	0	19356	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	678	844	2960	171	384	209
265	艾丽丝·露丝	90	2	19504	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	751	898	2341	164	279	268
266	凯拉·娅娃	90	2	19508	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	753	900	2332	170	290	254
267	享特·凯斯	90	0	19996	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	727	894	2859	178	375	209
268	斯托克·吉榭尔	92	0	20148	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	727	877	2950	173	403	208
269	布尔·艾伯特	90	0	19164	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	825	2875	180	400	206
270	享特·希尔顿	92	1	20860	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	778	949	1982	275	302	367
271	贝克·阿波罗	97	1	22024	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	842	1011	2144	258	321	352
272	帕姬·索尼亚	90	2	19612	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	760	881	2403	173	303	259
273	艾登·菲力克斯	90	0	19744	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	720	837	3094	174	383	210
274	芭比·赫柏	90	2	19496	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	758	882	2397	171	285	264
275	苏·玛克辛	90	2	19084	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	704	896	2351	176	286	256
276	里德·肯尼	90	0	19244	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	717	813	2901	172	371	206
277	玛乔丽·辛迪	90	2	19264	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	720	892	2332	160	286	269
278	霍克·乔蒂	94	1	21392	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	775	1000	2063	277	322	357
279	贝克·狄克	94	1	21472	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	778	1001	2056	270	314	372
280	贝克·雅各布	90	0	19280	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	676	844	2857	172	372	224
281	扬·柯利弗德	90	0	19844	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	729	845	2891	175	391	218
282	菲尔德·托尼	90	0	19524	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	723	835	2843	171	384	206
283	艾登·斐迪南	94	1	21536	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	782	1026	2002	277	314	356
284	巴克·海顿	90	0	19668	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	704	842	3056	184	385	213
285	福克斯·贾斯特	94	1	21392	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	799	990	2046	254	312	356
286	韦尔·艾西	94	1	21444	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	793	999	1989	257	320	357
287	布尔·多明尼克	94	1	21356	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	787	984	2006	266	313	372
288	斯特林·托德	90	0	19232	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	701	817	2916	173	374	212
289	凯拉·塞琳娜	90	2	19692	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	759	905	2349	161	297	258
290	米尔·潼恩	90	0	19168	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	674	835	2836	177	376	219
291	艾米丽·狄安娜	90	2	19564	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	752	890	2306	166	296	269
292	库克·德里克	90	0	19344	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	856	2902	185	372	223
293	布莱恩·克莱凸	94	1	21840	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	830	1010	2083	276	315	353
294	保拉·切莉	90	2	19976	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	765	915	2400	167	301	268
295	乔治·杰拉尔	90	0	19348	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	680	848	2973	170	370	215
296	巴克·杰奎琳	94	1	21152	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	800	943	2097	252	318	361
297	特纳·休伯特	90	0	19256	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	693	819	2930	182	387	206
298	希尔·圣扎迦利	90	0	19892	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	722	850	3090	171	374	223
299	伍德·布莱克	90	0	19316	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	716	823	2881	175	368	211
300	库克·科尔	90	0	19168	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	672	828	2969	185	376	214
301	肯特·克利夫兰	90	0	19880	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	707	853	3056	172	391	220
302	郎曼·巴尔克	90	0	19672	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	664	880	2900	185	397	219
303	卡门·玛格丽特	90	2	19552	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	760	887	2454	161	286	258
304	艾丹·范	94	1	21764	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	816	1028	2063	253	313	345
305	妮可·萝拉	90	2	19284	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	745	860	2477	164	288	262
306	玛乔丽·菲比	90	2	19176	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	719	855	2480	163	291	276
307	福克斯·卡尔文	94	1	21392	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	805	989	1978	272	318	351
308	苏·艾维尼亚	90	2	19188	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	732	882	2305	166	284	262
309	安·克莱拉	90	2	19268	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	727	882	2493	168	283	259
310	福克斯·达尼尔	94	1	21608	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	812	1015	1984	272	303	359
311	达茜·贝迪	90	2	19240	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	741	856	2389	167	289	272
312	克顿·杰西	90	0	19428	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	706	825	2927	179	373	223
313	安娜·朱丽叶	90	2	19300	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	736	893	2376	167	283	255
314	贝克·格林顿	94	1	21628	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	812	1009	2072	255	306	357
315	杰瑞·亚尔林	90	0	19304	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	699	820	2845	176	381	220
316	凯拉·依耶塔	90	2	19168	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	900	2440	164	279	262
317	布尔·贝齐	94	1	21828	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	810	1020	2002	269	318	367
318	本·艾尔玛	90	0	19460	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	678	823	3029	181	396	224
319	福克斯·罗伯特	90	0	19432	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	693	829	2980	183	378	222
320	希尔·伊莱哲	94	1	21480	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	829	955	2019	265	314	372
321	苏珊·珍妮特	90	2	19224	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	749	877	2329	165	277	259
322	卡特·肯尼斯	90	0	19340	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	700	817	2967	176	388	207
323	艾德·卡玛	90	0	19100	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	678	823	2903	173	381	207
324	珀尔·艾芙琳	90	2	19476	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	754	865	2503	173	289	268
325	艾登·阿姆斯壮	90	0	19400	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	671	854	2961	178	377	218
326	艾丹·弗罗拉	94	1	21292	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	788	974	2023	273	320	364
327	亚伯·艾布特	90	0	19692	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	687	876	2878	178	382	220
328	本·德	94	1	21348	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	797	985	2087	262	305	360
329	布鲁克·比尔	90	0	19572	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	703	833	2959	180	389	217
330	布莱恩·查德	94	1	21388	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	805	989	2038	274	316	346
331	伊娃·贝丝	90	2	19280	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	712	914	2420	160	279	255
332	艾登·加比	94	1	21316	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	808	955	2084	271	321	359
333	伊娃·芬妮	90	2	19708	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	751	917	2423	170	293	252
334	史密斯·贾斯特	87	0	18896	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	667	817	2864	180	370	213
335	肖特·米奇	90	0	19212	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	833	3038	177	382	206
336	艾德·菲力克斯	90	0	19832	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	719	853	2905	175	398	210
337	卡门·贝迪	90	2	19340	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	741	890	2381	170	278	262
338	伊芙·西尔维亚	87	2	18828	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	855	2494	166	280	258
339	贝克·葛里菲兹	90	0	19812	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	718	849	2996	178	391	210
340	大卫·卢卡斯	94	1	21400	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	818	956	1984	253	318	372
341	玛莎·罗兰	90	2	19348	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	738	883	2363	173	293	260
342	亚伦·亚尔维斯	90	0	19808	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	687	872	3046	176	396	208
343	库克·鲍比	94	1	21052	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	807	948	1979	257	306	360
344	贝克·阿奇尔	92	1	20928	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	775	949	2043	259	310	365
345	特纳·哈威	94	1	21140	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	797	961	2077	264	308	356
346	芭迪·西尔维亚	90	2	19292	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	718	872	2465	160	297	270
347	安·多拉	90	2	19452	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	730	909	2320	172	289	263
348	芭比·阿莎加尔	90	2	19152	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	706	875	2378	167	295	272
349	贝克·斯帕克	94	1	21700	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	799	1010	2089	261	318	364
350	达茜·弗里达	90	2	19308	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	701	912	2409	172	279	272
351	伊娃·格瑞塔	90	2	19268	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	740	858	2482	172	283	271
352	伍德·乔纳森	90	0	19328	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	687	823	3055	171	382	210
353	福克斯·伊甸	94	1	21112	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	771	988	1984	253	320	349
354	特纳·卡尔文	90	0	19596	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	686	874	2851	171	385	211
