INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
40018	黑暗魔王斯卡	2	40018	0	2	78	10	10	10	10	6404	6831	6404	6831	2000	207	207	36	3672180	500	0	12000	0	20000	305	434	0	0	0	0	450	0	0	0	0	0	0	0	1011	1004	4004	5012	5013	5014	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40019	魔化骷髅兵	2	40019	0	2	75	10	10	10	10	3645	4014	3645	4014	2000	193	193	33	447838	100	0	12000	0	20000	282	407	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40020	骷髅兵长	2	40020	0	2	75	10	10	10	10	3645	4014	3645	4014	2000	193	193	33	447838	100	0	12000	0	20000	282	407	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40021	恐怖巫师	2	40021	0	2	77	10	10	10	10	3824	4207	3824	4207	2000	202	202	35	475372	100	0	12000	0	20000	297	425	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40101	恶魔幼崽	2	40101	0	2	125	10	10	10	10	3651	4694	3651	4694	2000	356	297	67	194030	100	0	12000	0	20000	494	574	0	0	0	0	450	0	0	0	0	0	0	0	1000	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40102	噬魂巨人	2	40102	0	2	125	10	10	10	10	3651	4694	3651	4694	2000	356	297	67	194030	100	0	12000	0	20000	494	574	0	0	0	0	450	0	0	0	0	0	0	0	1000	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40103	暗影战士	2	40103	0	2	128	10	10	10	10	3866	4969	3866	4969	2000	374	312	72	209209	100	0	12000	0	20000	518	601	0	0	0	0	450	0	0	0	0	0	0	0	1000	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40104	魔王守卫	2	40104	0	2	128	10	10	10	10	3866	4969	3866	4969	2000	374	312	72	209209	100	0	12000	0	20000	518	601	0	0	0	0	450	0	0	0	0	0	0	0	1000	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40105	魔化双刀魔	2	40105	0	2	128	10	10	10	10	3866	4969	3866	4969	2000	374	312	72	209209	100	0	12000	0	20000	518	601	0	0	0	0	450	0	0	0	0	0	0	0	1000	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40106	地狱使者阿德斯	2	40106	0	2	130	10	10	10	10	6854	7200	6854	7200	2000	416	346	84	1594851	500	0	12000	0	20000	535	620	0	0	0	0	450	0	0	0	0	0	0	0	1000	1004	4000	5059	5060	5061	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40107	恶魔幼崽	2	40107	0	2	130	10	10	10	10	14325	15837	14325	15837	2000	694	694	168	430608	100	0	12000	0	20000	535	620	0	0	0	0	450	0	0	0	0	0	0	0	1000	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40108	噬魂巨人	2	40108	0	2	130	10	10	10	10	14325	15837	14325	15837	2000	694	694	168	430608	100	0	12000	0	20000	535	620	0	0	0	0	450	0	0	0	0	0	0	0	1000	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40109	暗影战士	2	40109	0	2	133	10	10	10	10	15148	16744	15148	16744	2000	728	728	179	463699	100	0	12000	0	20000	559	648	0	0	0	0	450	0	0	0	0	0	0	0	1000	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40110	魔王守卫	2	40110	0	2	133	10	10	10	10	15148	16744	15148	16744	2000	728	728	179	463699	100	0	12000	0	20000	559	648	0	0	0	0	450	0	0	0	0	0	0	0	1000	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40111	魔化双刀魔	2	40111	0	2	133	10	10	10	10	15148	16744	15148	16744	2000	728	728	179	463699	100	0	12000	0	20000	559	648	0	0	0	0	450	0	0	0	0	0	0	0	1000	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40112	地狱使者阿德斯	2	40112	0	2	135	10	10	10	10	23343	26929	23343	26929	2000	747	747	185	3876454	500	0	12000	0	20000	572	664	0	0	0	0	450	0	0	0	0	0	0	0	1000	1004	4002	5062	5063	5064	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40113	恶魔幼崽	2	40113	0	2	135	10	10	10	10	16459	18105	16459	18105	2000	747	747	185	1076792	100	0	12000	0	20000	572	664	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40114	噬魂巨人	2	40114	0	2	135	10	10	10	10	16459	18105	16459	18105	2000	747	747	185	1076792	100	0	12000	0	20000	572	664	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40115	暗影战士	2	40115	0	2	138	10	10	10	10	17218	18937	17218	18937	2000	777	777	194	1147968	100	0	12000	0	20000	591	689	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40116	魔王守卫	2	40116	0	2	138	10	10	10	10	17218	18937	17218	18937	2000	777	777	194	1147968	100	0	12000	0	20000	591	689	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40117	魔化双刀魔	2	40117	0	2	138	10	10	10	10	17218	18937	17218	18937	2000	777	777	194	1147968	100	0	12000	0	20000	591	689	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40118	地狱使者阿德斯	2	40118	0	2	140	10	10	10	10	31305	33393	31305	33393	2000	873	873	201	10094811	500	0	12000	0	20000	604	771	0	0	0	0	450	0	0	0	0	0	0	0	1000	1004	4004	5065	5066	5067	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40200	深海冰晶魔	2	40200	0	2	160	10	10	10	10	10369	11406	10369	11406	2000	669	558	136	1686924	100	0	12000	0	20000	738	964	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40201	水幽灵	2	40201	0	2	160	10	10	10	10	10369	11406	10369	11406	2000	669	558	136	1686924	100	0	12000	0	20000	738	964	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40202	海蜘蛛	2	40202	0	2	165	10	10	10	10	11037	12140	11037	12140	2000	710	592	146	1861606	100	0	12000	0	20000	773	1016	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40203	巨型海怪	2	40203	0	2	165	10	10	10	10	11037	12140	11037	12140	2000	710	592	146	1861606	100	0	12000	0	20000	773	1016	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40204	女王守卫	2	40204	0	2	168	10	10	10	10	11451	12597	11451	12597	2000	735	613	153	1972030	100	0	12000	0	20000	794	1048	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40205	深海魔后赫卡忒	2	40205	0	2	170	10	10	10	10	19202	20481	19202	20481	2000	753	627	157	15353681	500	0	12000	0	20000	808	1070	0	0	0	0	450	0	0	0	0	0	0	0	5227	4004	1004	5229	5228	5236	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40210	深海冰晶魔	2	40210	0	2	165	10	10	10	10	26492	29139	26492	29139	2000	1185	1185	293	2233928	100	0	12000	0	20000	773	1016	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40211	水幽灵	2	40211	0	2	165	10	10	10	10	26492	29139	26492	29139	2000	1185	1185	293	2233928	100	0	12000	0	20000	773	1016	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40212	海蜘蛛	2	40212	0	2	170	10	10	10	10	28162	30978	28162	30978	2000	1256	1256	315	2456587	100	0	12000	0	20000	808	1070	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40213	巨型海怪	2	40213	0	2	170	10	10	10	10	28162	30978	28162	30978	2000	1256	1256	315	2456587	100	0	12000	0	20000	808	1070	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40214	女王守卫	2	40214	0	2	173	10	10	10	10	29199	32119	29199	32119	2000	1299	1299	328	2597286	100	0	12000	0	20000	830	1103	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40215	深海魔后赫卡忒	2	40215	0	2	175	10	10	10	10	48939	52197	48939	52197	2000	1329	1329	338	20211408	500	0	12000	0	20000	845	1126	0	0	0	0	450	0	0	0	0	0	0	0	5230	4004	1004	5232	5231	5237	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40220	深海冰晶魔	2	40220	0	2	170	10	10	10	10	28162	30978	28162	30978	2000	1256	1256	315	2456587	100	0	12000	0	20000	808	1070	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40221	水幽灵	2	40221	0	2	170	10	10	10	10	28162	30978	28162	30978	2000	1256	1256	315	2456587	100	0	12000	0	20000	808	1070	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40222	海蜘蛛	2	40222	0	2	175	10	10	10	10	29901	32893	29901	32893	2000	1329	1329	338	2694854	100	0	12000	0	20000	845	1126	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40223	巨型海怪	2	40223	0	2	175	10	10	10	10	29901	32893	29901	32893	2000	1329	1329	338	2694854	100	0	12000	0	20000	845	1126	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40224	女王守卫	2	40224	0	2	178	10	10	10	10	30954	34052	30954	34052	2000	1374	1374	352	2847064	100	0	12000	0	20000	867	1160	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40225	深海魔后赫卡忒	2	40225	0	2	180	10	10	10	10	51822	55278	51822	55278	2000	1405	1405	362	22144284	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	5233	4004	1004	5235	5234	5238	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40226	沙漠仆从	2	40226	0	2	180	10	10	10	10	39897	43885	39897	43885	2000	1507	1507	346	3684880	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40227	守护侍卫	2	40227	0	2	180	10	10	10	10	39897	43885	39897	43885	2000	1507	1507	346	3684880	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40228	噬神巨鳄	2	40228	0	2	180	10	10	10	10	42360	46598	42360	46598	2000	1594	1594	371	4042281	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40229	蛇妖侍女	2	40229	0	2	180	10	10	10	10	42360	46598	42360	46598	2000	1594	1594	371	4042281	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40230	堕落法老	2	40230	0	2	180	10	10	10	10	43851	48240	43851	48240	2000	1648	1648	387	4270596	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	1000	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40231	堕落沙神瑟仁	2	40231	0	2	180	10	10	10	10	73414	78310	73414	78310	2000	1686	1686	398	33216426	500	0	12000	0	20000	881	1183	0	0	0	0	450	0	0	0	0	0	0	0	1061	4004	1004	1212	1216	1217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50000	天使领袖	1	50000	0	4	135	10	10	10	10	6140	7368	6140	7368	108	825	825	0	4312360	500	0	12000	0	20000	1340	1729	0	0	0	0	450	0	0	0	0	0	0	0	1089	1004	1033	1034	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50001	天使前锋	1	50001	0	4	130	10	10	10	10	6754	7368	6754	7368	86	825	825	0	1034965	500	0	12000	0	20000	1340	1729	0	0	0	0	450	0	0	0	0	0	0	0	1104	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50002	天使守卫塔	1	50002	0	4	130	10	10	10	10	7368	7982	7368	7982	108	825	825	0	431236	500	0	12000	0	20000	1340	1729	0	0	0	0	450	0	0	0	0	0	0	0	1094	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50003	天使领袖	1	50003	0	4	190	10	10	10	10	11064	13276	11064	13276	192	1445	1445	0	10894705	500	0	12000	0	20000	2069	2802	0	0	0	0	450	0	0	0	0	0	0	0	1089	1004	5132	5133	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50004	天使前锋	1	50004	0	4	180	10	10	10	10	12170	13276	12170	13276	153	1445	1445	0	2614729	500	0	12000	0	20000	2069	2802	0	0	0	0	450	0	0	0	0	0	0	0	1105	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50005	天使守卫塔	1	50005	0	4	180	10	10	10	10	13276	14383	13276	14383	192	1445	1445	0	1089470	500	0	12000	0	20000	2069	2802	0	0	0	0	450	0	0	0	0	0	0	0	1095	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50006	天使领袖	1	50006	0	4	250	10	10	10	10	16228	19473	16228	19473	279	2093	2093	0	20469602	500	0	12000	0	20000	2877	3822	0	0	0	0	450	0	0	0	0	0	0	0	1089	1004	5134	5135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50007	天使前锋	1	50007	0	4	250	10	10	10	10	17851	19473	17851	19473	223	2093	2093	0	4912704	500	0	12000	0	20000	2877	3822	0	0	0	0	450	0	0	0	0	0	0	0	1106	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50008	天使守卫塔	1	50008	0	4	250	10	10	10	10	19473	21097	19473	21097	279	2093	2093	0	2046960	500	0	12000	0	20000	2877	3822	0	0	0	0	450	0	0	0	0	0	0	0	1096	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50009	天使领袖	1	50009	0	4	300	10	10	10	10	23557	28269	23557	28269	402	3016	3016	0	38349757	500	0	12000	0	20000	3806	5173	0	0	0	0	450	0	0	0	0	0	0	0	1089	1004	5136	5137	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50010	天使前锋	1	50010	0	4	300	10	10	10	10	25914	28269	25914	28269	322	3016	3016	0	9203942	500	0	12000	0	20000	3806	5173	0	0	0	0	450	0	0	0	0	0	0	0	1107	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50011	天使守卫塔	1	50011	0	4	300	10	10	10	10	28269	30625	28269	30625	402	3016	3016	0	3834976	500	0	12000	0	20000	3806	5173	0	0	0	0	450	0	0	0	0	0	0	0	1097	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50012	天使领袖	1	50012	0	4	350	10	10	10	10	32762	39314	32762	39314	553	4158	4158	0	67435802	500	0	12000	0	20000	4838	6742	0	0	0	0	450	0	0	0	0	0	0	0	1089	1004	5138	5139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50013	天使前锋	1	50013	0	4	350	10	10	10	10	36038	39314	36038	39314	442	4158	4158	0	16184592	500	0	12000	0	20000	4838	6742	0	0	0	0	450	0	0	0	0	0	0	0	1108	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50014	天使守卫塔	1	50014	0	4	350	10	10	10	10	39314	42591	39314	42591	553	4158	4158	0	6743579	500	0	12000	0	20000	4838	6742	0	0	0	0	450	0	0	0	0	0	0	0	1098	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50015	火龙王	1	50015	0	5	135	10	10	10	10	6140	7368	6140	7368	108	825	825	0	4312360	500	0	12000	0	20000	1340	1729	0	0	0	0	450	0	0	0	0	0	0	0	1087	1004	1035	1036	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50016	火龙前锋	1	50016	0	5	130	10	10	10	10	6754	7368	6754	7368	86	825	825	0	1034965	500	0	12000	0	20000	1340	1729	0	0	0	0	450	0	0	0	0	0	0	0	1099	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50017	火龙守卫塔	1	50017	0	5	130	10	10	10	10	7368	7982	7368	7982	108	825	825	0	431236	500	0	12000	0	20000	1340	1729	0	0	0	0	450	0	0	0	0	0	0	0	1094	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50018	火龙王	1	50018	0	5	190	10	10	10	10	11064	13276	11064	13276	192	1445	1445	0	10894705	500	0	12000	0	20000	2069	2802	0	0	0	0	450	0	0	0	0	0	0	0	1087	1004	5140	5141	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50019	火龙前锋	1	50019	0	5	180	10	10	10	10	12170	13276	12170	13276	153	1445	1445	0	2614729	500	0	12000	0	20000	2069	2802	0	0	0	0	450	0	0	0	0	0	0	0	1100	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50020	火龙守卫塔	1	50020	0	5	180	10	10	10	10	13276	14383	13276	14383	192	1445	1445	0	1089470	500	0	12000	0	20000	2069	2802	0	0	0	0	450	0	0	0	0	0	0	0	1095	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50021	火龙王	1	50021	0	5	250	10	10	10	10	16228	19473	16228	19473	279	2093	2093	0	20469602	500	0	12000	0	20000	2877	3822	0	0	0	0	450	0	0	0	0	0	0	0	1087	1004	5142	5143	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50022	火龙前锋	1	50022	0	5	250	10	10	10	10	17851	19473	17851	19473	223	2093	2093	0	4912704	500	0	12000	0	20000	2877	3822	0	0	0	0	450	0	0	0	0	0	0	0	1101	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50023	火龙守卫塔	1	50023	0	5	250	10	10	10	10	19473	21097	19473	21097	279	2093	2093	0	2046960	500	0	12000	0	20000	2877	3822	0	0	0	0	450	0	0	0	0	0	0	0	1096	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50024	火龙王	1	50024	0	5	300	10	10	10	10	23557	28269	23557	28269	402	3016	3016	0	38349757	500	0	12000	0	20000	3806	5173	0	0	0	0	450	0	0	0	0	0	0	0	1087	1004	5144	5145	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50025	火龙前锋	1	50025	0	5	300	10	10	10	10	25914	28269	25914	28269	322	3016	3016	0	9203942	500	0	12000	0	20000	3806	5173	0	0	0	0	450	0	0	0	0	0	0	0	1102	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50026	火龙守卫塔	1	50026	0	5	300	10	10	10	10	28269	30625	28269	30625	402	3016	3016	0	3834976	500	0	12000	0	20000	3806	5173	0	0	0	0	450	0	0	0	0	0	0	0	1097	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50027	火龙王	1	50027	0	5	350	10	10	10	10	32762	39314	32762	39314	553	4158	4158	0	67435802	500	0	12000	0	20000	4838	6742	0	0	0	0	450	0	0	0	0	0	0	0	1087	1004	5146	5147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50028	火龙前锋	1	50028	0	5	350	10	10	10	10	36038	39314	36038	39314	442	4158	4158	0	16184592	500	0	12000	0	20000	4838	6742	0	0	0	0	450	0	0	0	0	0	0	0	1103	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50029	火龙守卫塔	1	50029	0	5	350	10	10	10	10	39314	42591	39314	42591	553	4158	4158	0	6743579	500	0	12000	0	20000	4838	6742	0	0	0	0	450	0	0	0	0	0	0	0	1098	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50030	神秘水晶	1	50030	0	1	140	10	10	10	10	5100	5368	5100	5368	63	0	0	0	140206	100	0	12000	0	20000	1209	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50031	古神之手	1	50031	0	1	140	10	10	10	10	5100	5368	5100	5368	63	0	0	0	140206	100	0	12000	0	20000	1209	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50032	神秘水晶	1	50032	0	1	200	10	10	10	10	10510	11064	10510	11064	128	0	0	0	435788	100	0	12000	0	20000	2069	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50033	古神之手	1	50033	0	1	200	10	10	10	10	10510	11064	10510	11064	128	0	0	0	435788	100	0	12000	0	20000	2069	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50034	神秘水晶	1	50034	0	1	250	10	10	10	10	15416	16228	15416	16228	186	0	0	0	818783	100	0	12000	0	20000	2877	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50035	古神之手	1	50035	0	1	250	10	10	10	10	15416	16228	15416	16228	186	0	0	0	818783	100	0	12000	0	20000	2877	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50036	神秘水晶	1	50036	0	1	300	10	10	10	10	22380	23557	22380	23557	268	0	0	0	1533990	100	0	12000	0	20000	3806	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50037	古神之手	1	50037	0	1	300	10	10	10	10	22380	23557	22380	23557	268	0	0	0	1533990	100	0	12000	0	20000	3806	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50038	神秘水晶	1	50038	0	1	350	10	10	10	10	31124	32762	31124	32762	368	0	0	0	2697432	100	0	12000	0	20000	4838	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50039	古神之手	1	50039	0	1	350	10	10	10	10	31124	32762	31124	32762	368	0	0	0	2697432	100	0	12000	0	20000	4838	0	0	0	0	0	450	0	0	0	0	0	0	0	-1	1004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
