INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
35006	蛮牛兽之魂	1100006	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30006	5	6007	24	35006	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35007	黑袍巫师之魂	1100007	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30007	5	6007	24	35007	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35008	毒尾兽之魂	1100008	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30008	10	6007	24	35008	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35009	甲虫兽之魂	1100009	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30009	10	6007	24	35009	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35010	地精战士之魂	1100010	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30010	10	6007	24	35010	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35011	地精队长之魂	1100011	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30011	10	6007	24	35011	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35012	盗贼之魂	1100012	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30012	10	6007	24	35012	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35013	树人之魂	1100013	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30013	10	6007	24	35013	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35014	半兽人之魂	1100014	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30014	10	6007	24	35014	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35015	岩石巨人之魂	1100015	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30015	10	6007	24	35015	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35016	雪魔虫之魂	1100016	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30016	15	6007	24	35016	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35017	冰晶兽之魂	1100017	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30017	15	6007	24	35017	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35018	蓝魔巨人之魂	1100018	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30018	15	6007	24	35018	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35019	暗影战士之魂	1100019	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30019	15	6007	24	35019	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35020	霜雪巨人之魂	1100020	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30020	15	6007	24	35020	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35021	霜雪巨人王之魂	1100021	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30021	15	6007	24	35021	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35022	#骷髅兵长之魂	1100022	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30022	20	6007	24	35022	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35023	#毒魔虫之魂	1100023	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30023	20	6007	24	35023	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35024	亡灵之魂	1100024	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30024	20	6007	24	35024	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35025	噬魂巨人之魂	1100025	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30025	20	6007	24	35025	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35026	骨兵弓手之魂	1100026	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30026	20	6007	24	35026	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35027	暗夜魔狼之魂	1100027	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30027	20	6007	24	35027	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35028	幻影蜘蛛之魂	1100028	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30028	20	6007	24	35028	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35029	骨兵剑士之魂	1100029	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30029	20	6007	24	35029	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35030	亡灵巫师之魂	1100030	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30030	20	6007	24	35030	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35031	#毒牛兽之魂	1100031	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30031	20	6007	24	35031	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35032	魔域战士之魂	1100032	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30032	20	6007	24	35032	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35033	银甲魔之魂	1100033	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30033	25	6007	24	35033	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35034	毒甲魔之魂	1100034	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30034	25	6007	24	35034	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35035	厄运巫师之魂	1100035	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30035	25	6007	24	35035	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35036	石骨兽之魂	1100036	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30036	25	6007	24	35036	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35037	地狱魔鬼之魂	1100037	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30037	25	6007	24	35037	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35038	魔骑士之魂	1100038	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30038	25	6007	24	35038	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35039	魔战士之魂	1100039	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30039	25	6007	24	35039	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35040	迷你魔鱼之魂	1100040	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30040	30	6007	24	35040	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35041	暴烈人鱼之魂	1100041	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30041	30	6007	24	35041	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35042	鬼面海怪之魂	1100042	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30042	30	6007	24	35042	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35043	巨大海兽之魂	1100043	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30043	30	6007	24	35043	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35044	尖啸海怪之魂	1100044	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30044	30	6007	24	35044	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35045	荒古魔蜥之魂	1100045	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30045	30	6007	24	35045	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35046	畸形怪之魂	1100046	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30046	35	6007	24	35046	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35047	沙漠巨蜥之魂	1100047	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30047	35	6007	24	35047	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35048	魔化沙兵之魂	1100048	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30048	35	6007	24	35048	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35049	人面毒蝎之魂	1100049	2	4194308	999	30000	2	1	-1	-1	0	-1	0	500	30049	35	6007	24	35049	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35050	蛇发女妖之魂	1100050	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30050	35	6007	24	35050	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35051	破坏骑士之魂	1100051	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30051	35	6007	24	35051	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35052	木乃伊之魂	1100052	2	4194308	999	30000	3	1	-1	-1	0	-1	0	500	30052	35	6007	24	35052	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35053	备用之魂	1100053	2	4194308	999	30000	1	1	-1	-1	0	-1	0	500	30053	40	6007	24	35053	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35054	备用之魂	1100054	2	4194308	999	30000	1	1	-1	-1	0	-1	0	500	30054	40	6007	24	35054	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35055	备用之魂	1100055	2	4194308	999	30000	1	1	-1	-1	0	-1	0	500	30055	40	6007	24	35055	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35056	备用之魂	1100056	2	4194308	999	30000	1	1	-1	-1	0	-1	0	500	30056	40	6007	24	35056	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35057	备用之魂	1100057	2	4194308	999	30000	1	1	-1	-1	0	-1	0	500	30057	40	6007	24	35057	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
35058	备用之魂	1100058	2	4194308	999	30000	1	1	-1	-1	0	-1	0	500	30058	40	6007	24	35058	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36000	黑袍巫魔之魂	1101500	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31000	20	6007	24	36000	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36001	盗贼魔头之魂	1101501	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31001	25	6007	24	36001	1	99	375	750	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36002	幻雪冰后之魂	1101502	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31002	30	6007	24	36002	1	99	375	750	100	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36003	魔王之影之魂	1101503	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31003	35	6007	24	36003	1	99	375	750	125	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36004	荒古魔魂之魂	1101504	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31004	40	6007	24	36004	1	99	375	750	150	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36005	魔灵塞伊丝之魂	1101505	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31005	45	6007	24	36005	1	99	375	750	175	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36006	沙魔阿卡门农之魂	1101506	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31006	50	6007	24	36006	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36007	星空领主瑟利斯之魂	1101527	2	4194308	999	30000	4	1	-1	-1	0	-1	0	500	31007	55	6007	24	36007	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
36020	火龙王之魂	1101508	2	4194308	999	30000	5	1	-1	-1	0	-1	0	500	31008	55	6007	24	36020	1	99	375	750	200	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40000	黄金幼龙	40000	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40000	-1	-1	3294	40000	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40001	小天使	40010	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40001	-1	-1	3265	40001	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40002	小恶魔	40009	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40002	-1	-1	3296	40002	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40003	(废弃,新加灵兽可用）	40009	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40003	-1	-1	-1	40003	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40004	(废弃,新加灵兽可用）	40009	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40004	-1	-1	-1	40004	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40005	(废弃,新加灵兽可用）	40006	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40005	-1	-1	-1	40005	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40006	(废弃,新加灵兽可用）	40011	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40006	-1	-1	-1	40006	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40007	(废弃,新加灵兽可用）	40007	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40007	-1	-1	-1	40007	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40008	(废弃,新加灵兽可用）	40012	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40008	-1	-1	-1	40008	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40009	(废弃,新加灵兽可用）	40002	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40009	-1	-1	-1	40009	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40010	(废弃,新加灵兽可用）	40005	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40010	-1	-1	-1	40010	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40011	(废弃,新加灵兽可用）	40013	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40011	-1	-1	-1	40011	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40092	(废弃,新加灵兽可用）	40013	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40092	-1	-1	-1	40092	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40093	(废弃,新加灵兽可用）	40000	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40093	-1	-1	-1	40093	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40094	(废弃,新加灵兽可用）	40006	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40094	-1	-1	-1	40094	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40095	(废弃,新加灵兽可用）	40011	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40095	-1	-1	-1	40095	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40096	(废弃,新加灵兽可用）	40007	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40096	-1	-1	-1	40096	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40097	(废弃,新加灵兽可用）	40012	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40097	-1	-1	-1	40097	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40098	(废弃,新加灵兽可用）	40002	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40098	-1	-1	-1	40098	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40099	(废弃,新加灵兽可用）	40005	4	16	1	40000	2	1	-1	-1	0	-1	0	500	40099	-1	-1	-1	40099	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40100	天马	40011	4	16	1	40000	3	1	-1	-1	0	-1	0	500	40100	-1	-1	6480	40100	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40101	大天使	40010	4	16	1	40000	3	1	-1	-1	0	-1	0	500	40101	-1	-1	6427	40101	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40102	大恶魔	40009	4	16	1	40000	3	1	-1	-1	0	-1	0	500	40102	-1	-1	6524	40102	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40103	飞天娜迦	40007	4	16	1	40000	3	1	-1	-1	0	-1	0	500	40103	-1	-1	6513	40103	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40104	玛雅风蛇	40013	4	16	1	40000	3	1	-1	-1	0	-1	0	500	40104	-1	-1	6372	40104	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40105	白银神龙	40005	4	16	1	40000	3	1	-1	-1	0	-1	0	500	40105	-1	-1	6552	40105	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40200	雷震子	40012	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40200	-1	-1	9676	40200	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40201	翡翠雏龙	40006	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40201	-1	-1	9830	40201	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40202	踏雪灵虎	40014	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40202	-1	-1	9830	40202	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40203	金凤凰	40002	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40203	-1	-1	9829	40203	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40204	水精灵	40015	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40204	-1	-1	10877	40204	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40205	土精灵	40016	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40205	-1	-1	9817	40205	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40206	熔岩幼蜥	40017	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40206	-1	-1	9588	40206	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40207	新5(暂留)	40014	4	16	1	40000	4	1	-1	-1	0	-1	0	500	40207	-1	-1	-1	40207	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
40300	冰雪之魄	40018	4	16	1	40000	5	1	-1	-1	0	-1	0	500	40300	-1	-1	12727	40300	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50001	碎裂的宝石	5	23	25165824	1	50000	3	1	-1	-1	0	-1	0	500	50001	-1	-1	-1	50001	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50002	红宝石	5	23	25165824	1	50000	1	1	-1	-1	0	-1	0	500	50002	-1	-1	-1	50002	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50003	欧泊	5	23	25165824	1	50000	1	1	-1	-1	0	-1	0	500	50003	-1	-1	-1	50003	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50004	虎眼石	5	23	25165824	1	50000	2	1	-1	-1	0	-1	0	500	50004	-1	-1	-1	50004	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50005	橄榄石	5	23	25165824	1	50000	2	1	-1	-1	0	-1	0	500	50005	-1	-1	-1	50005	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50006	祖母绿	5	23	25165824	1	50000	2	1	-1	-1	0	-1	0	500	50006	-1	-1	-1	50006	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50007	石榴石	5	23	25165824	1	50000	2	1	-1	-1	0	-1	0	500	50007	-1	-1	-1	50007	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50008	蓝宝石	5	23	25165824	1	50000	3	1	-1	-1	0	-1	0	500	50008	-1	-1	-1	50008	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50009	紫玉	5	23	25165824	1	50000	3	1	-1	-1	0	-1	0	500	50009	-1	-1	-1	50009	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50010	绿松石	5	23	25165824	1	50000	3	1	-1	-1	0	-1	0	500	50010	-1	-1	-1	50010	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50011	碧玺	5	23	25165824	1	50000	3	1	-1	-1	0	-1	0	500	50011	-1	-1	-1	50011	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50012	钻石	5	23	25165824	1	50000	4	1	-1	-1	0	-1	0	500	50012	-1	-1	-1	50012	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50101	碎裂的水晶	5	23	25165824	1	51000	1	1	-1	-1	0	-1	0	500	50101	-1	-1	-1	50101	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50102	红水晶	5	23	25165824	1	51000	1	1	-1	-1	0	-1	0	500	50102	-1	-1	-1	50102	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50103	白水晶	5	23	25165824	1	51000	1	1	-1	-1	0	-1	0	500	50103	-1	-1	-1	50103	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50104	茶水晶	5	23	25165824	1	51000	2	1	-1	-1	0	-1	0	500	50104	-1	-1	-1	50104	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50105	黄水晶	5	23	25165824	1	51000	2	1	-1	-1	0	-1	0	500	50105	-1	-1	-1	50105	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50106	绿幽灵	5	23	25165824	1	51000	2	1	-1	-1	0	-1	0	500	50106	-1	-1	-1	50106	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50107	紫水晶	5	23	25165824	1	51000	2	1	-1	-1	0	-1	0	500	50107	-1	-1	-1	50107	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50108	粉水晶	5	23	25165824	1	51000	3	1	-1	-1	0	-1	0	500	50108	-1	-1	-1	50108	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50109	紫黄晶	5	23	25165824	1	51000	3	1	-1	-1	0	-1	0	500	50109	-1	-1	-1	50109	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50110	金发晶	5	23	25165824	1	51000	3	1	-1	-1	0	-1	0	500	50110	-1	-1	-1	50110	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50111	海蓝宝	5	23	25165824	1	51000	3	1	-1	-1	0	-1	0	500	50111	-1	-1	-1	50111	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50112	钛晶	5	23	25165824	1	51000	4	1	-1	-1	0	-1	0	500	50112	-1	-1	-1	50112	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50201	碎裂的玛瑙	5	23	25165824	1	52000	1	1	-1	-1	0	-1	0	500	50201	-1	-1	-1	50201	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50202	红玛瑙	5	23	25165824	1	52000	1	1	-1	-1	0	-1	0	500	50202	-1	-1	-1	50202	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50203	白玛瑙	5	23	25165824	1	52000	1	1	-1	-1	0	-1	0	500	50203	-1	-1	-1	50203	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50204	黑玛瑙	5	23	25165824	1	52000	2	1	-1	-1	0	-1	0	500	50204	-1	-1	-1	50204	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50205	黄玛瑙	5	23	25165824	1	52000	2	1	-1	-1	0	-1	0	500	50205	-1	-1	-1	50205	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50206	绿玛瑙	5	23	25165824	1	52000	2	1	-1	-1	0	-1	0	500	50206	-1	-1	-1	50206	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50207	紫玛瑙	5	23	25165824	1	52000	2	1	-1	-1	0	-1	0	500	50207	-1	-1	-1	50207	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50208	蓝玛瑙	5	23	25165824	1	52000	3	1	-1	-1	0	-1	0	500	50208	-1	-1	-1	50208	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50209	缠丝玛瑙	5	23	25165824	1	52000	3	1	-1	-1	0	-1	0	500	50209	-1	-1	-1	50209	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50210	水草玛瑙	5	23	25165824	1	52000	3	1	-1	-1	0	-1	0	500	50210	-1	-1	-1	50210	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50211	水胆玛瑙	5	23	25165824	1	52000	3	1	-1	-1	0	-1	0	500	50211	-1	-1	-1	50211	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
50212	红缟玛瑙	5	23	25165824	1	52000	4	1	-1	-1	0	-1	0	500	50212	-1	-1	-1	50212	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
