INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
5001	2	-1	0	-1	0	1	1500	5000	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5002	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5002	-1	5002	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5003	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	40	-1	-1	1010	5003	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5004	2	-1	0	-1	0	1	1500	5001	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5005	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5005	-1	5005	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5006	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	40	-1	-1	1010	5006	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5007	2	-1	0	-1	0	1	1500	5002	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5008	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5008	-1	5008	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5009	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	40	-1	-1	1010	5009	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5010	2	-1	0	-1	0	1	1500	5003	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5011	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5011	-1	5011	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5012	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	40	-1	-1	1010	5012	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5013	2	-1	0	-1	0	1	1500	5004	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5014	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5014	-1	5014	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5015	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	10	-1	-1	1010	5015	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5016	2	-1	0	-1	0	1	1500	5005	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	10	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5017	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	5017	-1	5017	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5018	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	10	-1	-1	1010	5018	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5019	2	-1	0	-1	0	1	1500	5006	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	500	10	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5020	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	5020	-1	5020	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5021	2	-1	0	-1	0	1	2500	-1	1100	1800	4	3	800	200	200	5	5021	-1	4	3	12	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5022	5022	5022	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5022	2	-1	0	-1	0	1	2000	-1	1101	1500	5	1	2000	16	1	16	-1	-1	5	3	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1032	5023	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5023	2	-1	0	-1	0	1	1200	5007	1102	800	0	-1	-1	-1	-1	16	5024	-1	2	15	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5024	2	-1	0	-1	0	1	0	-1	-1	-1	3	5025	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5025	2	-1	0	-1	0	1	0	-1	-1	-1	3	5026	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5026	2	-1	0	-1	0	1	2500	-1	1100	1800	4	3	800	200	200	5	5029	-1	4	3	12	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5030	5030	5030	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5027	2	-1	0	-1	0	1	2000	-1	1101	1500	5	1	2000	16	1	16	-1	-1	5	3	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1032	5031	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5028	2	-1	0	-1	0	1	1200	5008	1102	800	0	-1	-1	-1	-1	16	5032	-1	2	15	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5029	2	-1	0	-1	0	1	0	-1	-1	-1	3	5033	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5030	2	-1	0	-1	0	1	0	-1	-1	-1	3	5034	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5031	2	-1	0	-1	0	1	2500	-1	1100	1800	4	3	800	200	200	5	-1	-1	4	3	12	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	5038	5038	5038	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5032	2	-1	0	-1	0	1	2000	-1	1101	1500	5	1	2000	16	1	16	-1	-1	5	3	20	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1032	5039	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5033	2	-1	0	-1	0	1	1200	5009	1102	800	0	-1	-1	-1	-1	16	5040	-1	2	15	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5034	2	-1	0	-1	0	1	0	-1	-1	-1	3	5041	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5035	2	-1	0	-1	0	1	0	-1	-1	-1	3	5042	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5036	2	-1	0	-1	0	1	2500	-1	1100	1800	4	3	800	200	200	5	-1	-1	4	3	12	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	5046	5046	5046	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5037	2	-1	0	-1	0	1	2000	-1	1101	1500	5	1	2000	16	1	16	-1	-1	5	3	20	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1032	5047	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5038	2	-1	0	-1	0	1	1200	5010	1102	800	0	-1	-1	-1	-1	16	5048	-1	2	15	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5039	2	-1	0	-1	0	1	0	-1	-1	-1	3	5049	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5040	2	-1	0	-1	0	1	0	-1	-1	-1	3	5050	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5041	2	-1	0	-1	0	1	2000	5011	1200	1000	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5042	2	-1	0	-1	0	1	8000	-1	1201	8000	7	4	2000	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5055	5054	5054	5055	5054	5055	0	0	-1	-1	-1	-1	-1	1	1	15
5043	2	-1	0	-1	0	1	2000	-1	1204	1500	7	1	1000	16	0	16	-1	-1	3	6	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5056	5057	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5044	2	-1	0	-1	0	1	2000	5012	1200	1000	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5045	2	-1	0	-1	0	1	8000	-1	1201	8000	7	4	2000	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5060	5059	5059	5060	5059	5060	0	0	-1	-1	-1	-1	-1	1	1	15
5046	2	-1	0	-1	0	1	2000	-1	1204	1500	7	1	1000	16	0	16	-1	-1	3	6	90	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5061	5062	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5047	2	-1	0	-1	0	1	2000	5013	1200	1000	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5048	2	-1	0	-1	0	1	8000	-1	1201	8000	7	4	2000	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	5065	5064	5064	5065	5064	5065	0	0	-1	-1	-1	-1	-1	1	1	15
5049	2	-1	0	-1	0	1	2000	-1	1204	1500	7	1	1000	16	0	16	-1	-1	3	6	90	-1	-1	-1	-1	0	-1	-1	10	-1	-1	5066	5067	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5050	2	-1	0	-1	0	1	2000	5014	1200	1000	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5051	2	-1	0	-1	0	1	8000	-1	1201	8000	7	4	2000	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	5070	5069	5069	5070	5069	5070	0	0	-1	-1	-1	-1	-1	1	1	15
5052	2	-1	0	-1	0	1	2000	-1	1204	1500	7	1	1000	16	0	16	-1	-1	3	6	90	-1	-1	-1	-1	0	-1	-1	10	-1	-1	5071	5072	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
5053	2	-1	0	-1	0	1	1500	-1	1300	1500	4	1	1100	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	40	-1	-1	-1	5073	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
5054	2	-1	0	-1	0	1	1500	-1	1301	1666	7	1	1000	16	1	16	-1	-1	2	5	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5074	5075	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5055	2	-1	0	-1	0	1	1500	-1	1302	1500	0	-1	-1	-1	-1	16	-1	-1	1	8	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5076	-1	5076	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5056	2	-1	0	-1	0	1	1500	-1	1300	1500	4	1	1100	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	40	-1	-1	-1	5077	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
5057	2	-1	0	-1	0	1	1500	-1	1301	1666	7	1	1000	16	1	16	-1	-1	2	5	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5078	5079	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5058	2	-1	0	-1	0	1	1500	-1	1302	1500	0	-1	-1	-1	-1	16	-1	-1	1	8	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5080	-1	5080	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5059	2	-1	0	-1	0	1	1500	-1	1300	1500	4	1	1100	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	40	-1	-1	-1	5081	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
5060	2	-1	0	-1	0	1	1500	-1	1301	1666	7	1	1000	16	1	16	-1	-1	2	5	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5082	5083	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5061	2	-1	0	-1	0	1	1500	-1	1302	1500	0	-1	-1	-1	-1	16	-1	-1	1	8	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5084	-1	5084	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5062	2	-1	0	-1	0	1	1500	-1	1300	1500	4	1	1100	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	40	-1	-1	-1	5085	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
5063	2	-1	0	-1	0	1	1500	-1	1301	1666	7	1	1000	16	1	16	-1	-1	2	5	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5086	5087	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5064	2	-1	0	-1	0	1	1500	-1	1302	1500	0	-1	-1	-1	-1	16	-1	-1	1	8	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5088	-1	5088	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5065	2	-1	0	-1	0	1	1500	-1	1300	1500	4	1	1100	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	40	-1	-1	-1	5089	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
5066	2	-1	0	-1	0	1	1500	-1	1301	1666	7	1	1000	16	1	16	-1	-1	2	5	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	5090	5091	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5067	2	-1	0	-1	0	1	1500	-1	1302	1500	0	-1	-1	-1	-1	16	-1	-1	1	8	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	-1	5092	-1	5092	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5068	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5111	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5069	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5112	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5070	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5114	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5113	5115	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5071	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5116	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5072	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5117	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5073	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5118	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5074	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5120	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5119	5121	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5075	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5122	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5076	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1056	5099	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5077	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1057	5100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5078	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5102	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	5101	5103	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5079	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1058	5104	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5080	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1056	5105	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5081	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1057	5106	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5082	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5108	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	5107	5109	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5083	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	10	-1	-1	1058	5110	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5084	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5123	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5085	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5124	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5086	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5126	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5125	5127	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5087	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5128	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5088	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5129	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5089	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5130	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5090	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5132	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5131	5133	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5091	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5134	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5092	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5135	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5093	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5136	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5094	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5138	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5137	5139	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5095	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5140	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5096	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5141	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5097	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5142	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5098	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5144	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5143	5145	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5099	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5146	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5100	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5147	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5101	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5148	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5102	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5150	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5149	5151	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5103	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5152	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5104	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5153	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5105	2	-1	0	-1	1667	1	4000	-1	1413	4000	7	1	2100	16	1	16	-1	-1	3	5	120	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1057	5154	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5106	2	-1	0	-1	2000	1	2000	-1	1412	2000	4	2	400	0	-1	16	5156	-1	1	7	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	-1	5155	5157	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	1	1	15
5107	2	-1	0	-1	1667	1	2000	-1	1410	1667	5	1	2000	16	1	16	-1	-1	5	4	20	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1058	5158	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
5108	2	-1	0	-1	2167	1	4000	-1	1411	4000	7	1	2750	16	1	16	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	40	-1	-1	1056	5159	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
