INT	INT	STRING	INT	INT	INT	INT	INT
82900	4	47|58|73|159|199|242|282|362|428|542|648|734|831|953|1085|1228|1382|1547|1724|2039|2436|2752|3100|3480|3893|4750|5258|6232|6772|7345|7956|8605|9294|10024|10797|11598|12443|13335|14276|15267|16122|17008|17926|18877|19862|20881|21935|23025|24151|25314|26649|28035|29474|30968|32516|34123|35789|37514|39301|41152|43068|45050|47100|49221|51412|53678|56018|58435|60931|63507|66165|68909|71738|74656|77663|80724|83877|87122|90463|93900|96844|99848|102914|106041|109231|112484|115801|119182|122628|126140|129718|133363|137075|140856|144705|148624|152612|156672|160801|165004	5	-1	-1	-1	-1
82901	4	51|63|80|175|219|266|311|399|470|597|713|807|914|1048|1193|1350|1520|1702|1897|2243|2680|3028|3410|3828|4282|5225|5784|6855|7449|8080|8752|9465|10223|11026|11877|12758|13687|14669|15703|16794|17734|18708|19718|20765|21848|22969|24129|25328|26566|27846|29313|30838|32421|34064|35768|37536|39367|41266|43231|45267|47375|49555|51811|54143|56554|59046|61620|64278|67023|69858|72782|75800|78912|82121|85429|88797|92264|95834|99509|103291|106528|109833|113205|116645|120154|123733|127381|131100|134891|138754|142690|146699|150783|154941|159176|163486|167873|172338|176882|181504	5	-1	-1	-1	-1
82902	4	47|58|73|159|199|242|282|362|428|542|648|734|831|953|1085|1228|1382|1547|1724|2039|2436|2752|3100|3480|3893|4750|5258|6232|6772|7345|7956|8605|9294|10024|10797|11598|12443|13335|14276|15267|16122|17008|17926|18877|19862|20881|21935|23025|24151|25314|26649|28035|29474|30968|32516|34123|35789|37514|39301|41152|43068|45050|47100|49221|51412|53678|56018|58435|60931|63507|66165|68909|71738|74656|77663|80724|83877|87122|90463|93900|96844|99848|102914|106041|109231|112484|115801|119182|122628|126140|129718|133363|137075|140856|144705|148624|152612|156672|160801|165004	5	-1	-1	-1	-1
82903	4	51|63|80|175|219|266|311|399|470|597|713|807|914|1048|1193|1350|1520|1702|1897|2243|2680|3028|3410|3828|4282|5225|5784|6855|7449|8080|8752|9465|10223|11026|11877|12758|13687|14669|15703|16794|17734|18708|19718|20765|21848|22969|24129|25328|26566|27846|29313|30838|32421|34064|35768|37536|39367|41266|43231|45267|47375|49555|51811|54143|56554|59046|61620|64278|67023|69858|72782|75800|78912|82121|85429|88797|92264|95834|99509|103291|106528|109833|113205|116645|120154|123733|127381|131100|134891|138754|142690|146699|150783|154941|159176|163486|167873|172338|176882|181504	5	-1	-1	-1	-1
82904	4	12|12|13|14|15|16|17|18|20|22|25|28|31|35|40|45|51|58|66|79|89|98|108|118|130|153|166|196|211|226|243|260|279|298|318|339|361|384|408|433|454|477|499|523|547|572|598|624|652|680|712|745|780|816|852|890|930|970|1012|1055|1100|1145|1192|1241|1291|1343|1395|1448|1503|1559|1616|1675|1736|1797|1861|1926|1993|2062|2132|2204|2267|2331|2397|2464|2532|2602|2672|2743|2816|2890|2966|3043|3120|3200|3280|3362|3445|3530|3616|3703	5	-1	-1	-1	-1
82905	4	12|12|13|14|15|16|17|18|20|22|25|28|31|35|40|45|51|58|66|79|89|98|108|118|130|153|166|196|211|226|243|260|279|298|318|339|361|384|408|433|454|477|499|523|547|572|598|624|652|680|712|745|780|816|852|890|930|970|1012|1055|1100|1145|1192|1241|1291|1343|1395|1448|1503|1559|1616|1675|1736|1797|1861|1926|1993|2062|2132|2204|2267|2331|2397|2464|2532|2602|2672|2743|2816|2890|2966|3043|3120|3200|3280|3362|3445|3530|3616|3703	5	-1	-1	-1	-1
82906	4	703|868|1095|2591|3252|3971|4661|6113|7278|9475|11328|12901|14686|16929|19378|22039|24918|28023|31357|36820|44379|49692|55449|61671|68356|83170|91227|105517|113452|121796|130561|139764|149418|159529|170115|180960|192285|204102|216427|229275|239892|250782|261947|273390|285113|297117|309404|321977|334837|347985|363253|378961|395117|411727|428799|446342|464361|482866|501864|521362|541369|561893|582942|604523|626646|649318|672548|696344|720715|745670|771218|797366|824125|851503|879510|907782|936674|966196|996356|1027161|1052432|1078030|1103955|1130208|1156790|1183700|1210940|1238508|1266406|1294634|1323192|1352080|1381299|1410849|1440731|1470944|1501488|1532364|1563573|1595114	5	-1	-1	-1	-1
89005	0	1290006|1290006|1290006|1290006|1290006	-1	-1	-1	-1	-1
89006	0	1290007|1290007|1290007|1290007|1290007	-1	-1	-1	-1	-1
89007	0	1290008|1290008|1290008|1290008|1290008	-1	-1	-1	-1	-1
89008	0	1290009|1290009|1290009|1290009|1290009	-1	-1	-1	-1	-1
89009	0	1290010|1290010|1290010|1290010|1290010	-1	-1	-1	-1	-1
89010	0	1290011|1290011|1290011|1290011|1290011	-1	-1	-1	-1	-1
89011	0	1290012|1290012|1290012|1290012|1290012	-1	-1	-1	-1	-1
89012	0	1290013|1290013|1290013|1290013|1290013	-1	-1	-1	-1	-1
89013	0	1290014|1290014|1290014|1290014|1290014	-1	-1	-1	-1	-1
89014	0	1290015|1290015|1290015|1290015|1290015	-1	-1	-1	-1	-1
89015	0	1290016|1290016|1290016|1290016|1290016	-1	-1	-1	-1	-1
89016	0	1290017|1290017|1290017|1290017|1290017	-1	-1	-1	-1	-1
90000	0	1300000|1300000|1300000|1300000|1300000|1300000|1300000|1300000|1300000|1300000	-1	-1	-1	-1	-1
90001	0	1300001|1300001|1300001|1300001|1300001|1300001|1300001|1300001|1300001|1300001	-1	-1	-1	-1	-1
90002	0	1300002|1300002|1300002|1300002|1300002|1300002|1300002|1300002|1300002|1300002	-1	-1	-1	-1	-1
90003	0	1300003|1300003|1300003|1300003|1300003|1300003|1300003|1300003|1300003|1300003	-1	-1	-1	-1	-1
90004	0	1300004|1300004|1300004|1300004|1300004|1300004|1300004|1300004|1300004|1300004	-1	-1	-1	-1	-1
90005	0	1300006|1300006|1300006|1300006|1300006	-1	-1	-1	-1	-1
90006	0	1300007|1300007|1300007|1300007|1300007	-1	-1	-1	-1	-1
90007	0	1300008|1300008|1300008|1300008|1300008	-1	-1	-1	-1	-1
90008	0	1300009|1300009|1300009|1300009|1300009	-1	-1	-1	-1	-1
90009	0	1300010|1300010|1300010|1300010|1300010	-1	-1	-1	-1	-1
90010	0	1300011|1300011|1300011|1300011|1300011	-1	-1	-1	-1	-1
90011	0	1300012|1300012|1300012|1300012|1300012	-1	-1	-1	-1	-1
90012	0	1300013|1300013|1300013|1300013|1300013	-1	-1	-1	-1	-1
90013	0	1300014|1300014|1300014|1300014|1300014	-1	-1	-1	-1	-1
90014	0	1300015|1300015|1300015|1300015|1300015	-1	-1	-1	-1	-1
90015	0	1300016|1300016|1300016|1300016|1300016	-1	-1	-1	-1	-1
90016	0	1300017|1300017|1300017|1300017|1300017	-1	-1	-1	-1	-1
90017	0	1300022|1300022|1300022|1300022|1300022	-1	-1	-1	-1	-1
90018	0	1300023|1300023|1300023|1300023|1300023	-1	-1	-1	-1	-1
90019	0	1300024|1300024|1300024|1300024|1300024	-1	-1	-1	-1	-1
90020	0	1300025|1300025|1300025|1300025|1300025	-1	-1	-1	-1	-1
90021	0	1300026|1300026|1300026|1300026|1300026	-1	-1	-1	-1	-1
90022	0	1300027|1300027|1300027|1300027|1300027	-1	-1	-1	-1	-1
90023	0	1300028|1300028|1300028|1300028|1300028	-1	-1	-1	-1	-1
90024	0	1300029|1300029|1300029|1300029|1300029	-1	-1	-1	-1	-1
90025	0	1300030|1300030|1300030|1300030|1300030	-1	-1	-1	-1	-1
90026	0	1300031|1300031|1300031|1300031|1300031	-1	-1	-1	-1	-1
90027	0	1300032|1300032|1300032|1300032|1300032	-1	-1	-1	-1	-1
90028	0	1300033|1300033|1300033|1300033|1300033	-1	-1	-1	-1	-1
90029	0	1300038|1300038|1300038|1300038|1300038	-1	-1	-1	-1	-1
90030	0	1300039|1300039|1300039|1300039|1300039	-1	-1	-1	-1	-1
90031	0	1300040|1300040|1300040|1300040|1300040	-1	-1	-1	-1	-1
90032	0	1300041|1300041|1300041|1300041|1300041	-1	-1	-1	-1	-1
90033	0	1300042|1300042|1300042|1300042|1300042	-1	-1	-1	-1	-1
90034	0	1300043|1300043|1300043|1300043|1300043	-1	-1	-1	-1	-1
90035	0	1300044|1300044|1300044|1300044|1300044	-1	-1	-1	-1	-1
90036	0	1300045|1300045|1300045|1300045|1300045	-1	-1	-1	-1	-1
90037	0	1300046|1300046|1300046|1300046|1300046	-1	-1	-1	-1	-1
90038	0	1300047|1300047|1300047|1300047|1300047	-1	-1	-1	-1	-1
90039	0	1300048|1300048|1300048|1300048|1300048	-1	-1	-1	-1	-1
90040	0	1300049|1300049|1300049|1300049|1300049	-1	-1	-1	-1	-1
90041	0	1300054|1300054|1300054|1300054|1300054	-1	-1	-1	-1	-1
90042	0	1300055|1300055|1300055|1300055|1300055	-1	-1	-1	-1	-1
90043	0	1300056|1300056|1300056|1300056|1300056	-1	-1	-1	-1	-1
90044	0	1300057|1300057|1300057|1300057|1300057	-1	-1	-1	-1	-1
90045	0	1300058|1300058|1300058|1300058|1300058	-1	-1	-1	-1	-1
90046	0	1300059|1300059|1300059|1300059|1300059	-1	-1	-1	-1	-1
90047	0	1300060|1300060|1300060|1300060|1300060	-1	-1	-1	-1	-1
90048	0	1300061|1300061|1300061|1300061|1300061	-1	-1	-1	-1	-1
90049	0	1300062|1300062|1300062|1300062|1300062	-1	-1	-1	-1	-1
90050	0	1300063|1300063|1300063|1300063|1300063	-1	-1	-1	-1	-1
90051	0	1300064|1300064|1300064|1300064|1300064	-1	-1	-1	-1	-1
90052	0	1300065|1300065|1300065|1300065|1300065	-1	-1	-1	-1	-1
90053	0	1300074|1300074|1300074|1300074|1300074|1300074|1300074|1300074|1300074|1300074	-1	-1	-1	-1	-1
90054	0	1300075|1300075|1300075|1300075|1300075|1300075|1300075|1300075|1300075|1300075	-1	-1	-1	-1	-1
90055	0	1300076|1300076|1300076|1300076|1300076|1300076|1300076|1300076|1300076|1300076	-1	-1	-1	-1	-1
90056	0	1300077|1300077|1300077|1300077|1300077|1300077|1300077|1300077|1300077|1300077	-1	-1	-1	-1	-1
90057	0	1300078|1300078|1300078|1300078|1300078|1300078|1300078|1300078|1300078|1300078	-1	-1	-1	-1	-1
90058	0	1300079|1300079|1300079|1300079|1300079|1300079|1300079|1300079|1300079|1300079	-1	-1	-1	-1	-1
90059	0	1300080|1300080|1300080|1300080|1300080|1300080|1300080|1300080|1300080|1300080	-1	-1	-1	-1	-1
90060	0	1300081|1300081|1300081|1300081|1300081|1300081|1300081|1300081|1300081|1300081	-1	-1	-1	-1	-1
90061	0	1300082|1300082|1300082|1300082|1300082|1300082|1300082|1300082|1300082|1300082	-1	-1	-1	-1	-1
90062	0	1300083|1300083|1300083|1300083|1300083|1300083|1300083|1300083|1300083|1300083	-1	-1	-1	-1	-1
90063	0	1300084|1300084|1300084|1300084|1300084|1300084|1300084|1300084|1300084|1300084	-1	-1	-1	-1	-1
90064	0	1300085|1300085|1300085|1300085|1300085|1300085|1300085|1300085|1300085|1300085	-1	-1	-1	-1	-1
90065	0	1300086|1300086|1300086|1300086|1300086|1300086|1300086|1300086|1300086|1300086	-1	-1	-1	-1	-1
90066	0	1300087|1300087|1300087|1300087|1300087|1300087|1300087|1300087|1300087|1300087	-1	-1	-1	-1	-1
90067	0	1300088|1300088|1300088|1300088|1300088|1300088|1300088|1300088|1300088|1300088	-1	-1	-1	-1	-1
90068	0	1300089|1300089|1300089|1300089|1300089|1300089|1300089|1300089|1300089|1300089	-1	-1	-1	-1	-1
90069	0	1300090|1300090|1300090|1300090|1300090|1300090|1300090|1300090|1300090|1300090	-1	-1	-1	-1	-1
90070	0	1300091|1300091|1300091|1300091|1300091|1300091|1300091|1300091|1300091|1300091	-1	-1	-1	-1	-1
90071	0	1300092|1300092|1300092|1300092|1300092|1300092|1300092|1300092|1300092|1300092	-1	-1	-1	-1	-1
90072	0	1300093|1300093|1300093|1300093|1300093|1300093|1300093|1300093|1300093|1300093	-1	-1	-1	-1	-1
90073	0	1300094|1300094|1300094|1300094|1300094|1300094|1300094|1300094|1300094|1300094	-1	-1	-1	-1	-1
90074	0	1300095|1300095|1300095|1300095|1300095|1300095|1300095|1300095|1300095|1300095	-1	-1	-1	-1	-1
90075	0	1300096|1300096|1300096|1300096|1300096|1300096|1300096|1300096|1300096|1300096	-1	-1	-1	-1	-1
90076	0	1300097|1300097|1300097|1300097|1300097|1300097|1300097|1300097|1300097|1300097	-1	-1	-1	-1	-1
91000	0	91001|91002|91003	-1	-1	-1	-1	-1
91001	3	0|50000|180|100000|240|200000|300|500000	-1	-1	-1	-1	-1
91002	3	0|75000|180|150000|240|300000|300|750000	-1	-1	-1	-1	-1
91003	3	0|100000|180|200000|240|400000|300|1000000	-1	-1	-1	-1	-1
91004	0	91005|91006|91007	-1	-1	-1	-1	-1
91005	3	0|800|180|1200|240|1800|300|2000	-1	-1	-1	-1	-1
91006	3	0|1200|180|1800|240|2400|300|3000	-1	-1	-1	-1	-1
91007	3	0|1600|180|2400|240|3600|300|4000	-1	-1	-1	-1	-1
91008	0	91009|91010|91011	-1	-1	-1	-1	-1
91009	3	0|80|180|120|240|180|300|200	-1	-1	-1	-1	-1
91010	3	0|120|180|180|240|240|300|300	-1	-1	-1	-1	-1
91011	3	0|160|180|240|240|360|300|400	-1	-1	-1	-1	-1
91012	0	91013|91014|91015	-1	-1	-1	-1	-1
91013	3	0|80|18|120|240|180|300|200	-1	-1	-1	-1	-1
91014	3	0|120|180|180|240|240|300|300	-1	-1	-1	-1	-1
91015	3	0|160|180|240|240|360|300|400	-1	-1	-1	-1	-1
91016	0	91017|91018|91019	-1	-1	-1	-1	-1
91017	4	93600|122400|158400|201600|252000|309600|374400|446400|525600|612000|859950|957600|1057275|1158300|1260000|1634040|1755270|1874880|1992060|2106000|2585205|2707740|2823660|2932020|3031875|3568320|3659760|3738240|3802680|3852000|4600800|4876200|5159700|5451300|5751000|6732000|7083000|7443000|7812000|8190000|9434700|9870300|10315800|10771200|11236500|12776400|13305600|13845600|14396400|14958000	10	-1	-1	-1	-1
91018	4	140400|183600|237600|302400|378000|464400|561600|669600|788400|918000|1289925|1436400|1585912|1737450|1890000|2451060|2632905|2812320|2988090|3159000|3877807|4061610|4235490|4398030|4547812|5352480|5489640|5607360|5704020|5778000|6901200|7314300|7739550|8176950|8626500|10098000|10624500|11164500|11718000|12285000|14152050|14805450|15473700|16156800|16854750|19164600|19958400|20768400|21594600|22437000	10	-1	-1	-1	-1
91019	4	187200|244800|316800|403200|504000|619200|748800|892800|1051200|1224000|1719900|1915200|2114550|2316600|2520000|3268080|3510540|3749760|3984120|4212000|5170410|5415480|5647320|5864040|6063750|7136640|7319520|7476480|7605360|7704000|9201600|9752400|10319400|10902600|11502000|13464000|14166000|14886000|15624000|16380000|18869400|19740600|20631600|21542400|22473000|25552800|26611200|27691200|28792800|29916000	10	-1	-1	-1	-1
91020	0	91021|91022|91023	-1	-1	-1	-1	-1
91021	4	1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|4|4|4|4|4|4|4|4|4|4|5|5|5|5|5|5|5|5|5|5	10	-1	-1	-1	-1
91022	4	2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|4|4|4|4|4|4|4|4|4|4|5|5|5|5|5|5|5|5|5|5|6|6|6|6|6|6|6|6|6|6	10	-1	-1	-1	-1
91023	4	3|3|3|3|3|3|4|4|4|4|4|4|4|4|4|4|5|5|5|5|5|5|5|5|5|5|6|6|6|6|6|6|6|6|6|6|7|7|7|7|7|7|7|7|7|7	10	-1	-1	-1	-1
92000	0	92001|92002|92003	-1	-1	-1	-1	-1
92001	1		156600	0	-1	-1	-1
92002	1		209800	0	-1	-1	-1
92003	1		251110	0	-1	-1	-1
92010	0	92011|92012|92013	-1	-1	-1	-1	-1
92011	1		773010	0	-1	-1	-1
92012	1		1030680	0	-1	-1	-1
92013	1		1288350	0	-1	-1	-1
92020	0	92021|92022|92023	-1	-1	-1	-1	-1
92021	1		1380240	0	-1	-1	-1
92022	1		1840320	0	-1	-1	-1
92023	1		2300400	0	-1	-1	-1
92030	0	92031|92032|92033	-1	-1	-1	-1	-1
92031	1		2014470	0	-1	-1	-1
92032	1		2685960	0	-1	-1	-1
92033	1		3357450	0	-1	-1	-1
99999	3	1|0|2|0|4|0|11|0	-1	-1	-1	-1	-1
100000	3	1|200|2|160|3|100|5|60|11|20	-1	-1	-1	-1	-1
100001	3	1|300|2|240|3|150|5|90|11|30	-1	-1	-1	-1	-1
100002	3	1|1000|2|800|3|500|5|300|11|100	-1	-1	-1	-1	-1
100003	3	1|400|2|320|3|200|5|120|11|40	-1	-1	-1	-1	-1
100004	3	1|600|2|480|3|300|5|180|11|60	-1	-1	-1	-1	-1
100005	3	1|2000|2|1600|3|1000|5|600|11|200	-1	-1	-1	-1	-1
100006	3	1|600|2|480|3|300|5|180|11|60	-1	-1	-1	-1	-1
100007	3	1|900|2|720|3|450|5|270|11|90	-1	-1	-1	-1	-1
100008	3	1|3000|2|2400|3|1500|5|900|11|300	-1	-1	-1	-1	-1
100009	3	1|24000|2|12000|4|2400|11|1200	-1	-1	-1	-1	-1
100010	3	1|36000|2|18000|4|3600|11|1800	-1	-1	-1	-1	-1
100011	3	1|60000|2|30000|4|6000|11|3000	-1	-1	-1	-1	-1
100012	3	1|48000|2|24000|4|4800|11|2400	-1	-1	-1	-1	-1
100013	3	1|72000|2|36000|4|7200|11|3600	-1	-1	-1	-1	-1
100014	3	1|120000|2|60000|4|12000|11|6000	-1	-1	-1	-1	-1
100015	3	1|72000|2|36000|4|7200|11|3600	-1	-1	-1	-1	-1
100016	3	1|108000|2|54000|4|10800|11|5400	-1	-1	-1	-1	-1
100017	3	1|180000|2|90000|4|18000|11|9000	-1	-1	-1	-1	-1
100018	3	1|20000|2|10000|4|2000|11|1000	-1	-1	-1	-1	-1
100019	3	1|30000|2|15000|4|3000|11|1500	-1	-1	-1	-1	-1
100020	3	1|50000|2|25000|4|5000|11|2500	-1	-1	-1	-1	-1
100021	3	1|40000|2|20000|4|4000|11|2000	-1	-1	-1	-1	-1
100022	3	1|60000|2|30000|4|6000|11|3000	-1	-1	-1	-1	-1
100023	3	1|100000|2|50000|4|10000|11|5000	-1	-1	-1	-1	-1
100024	3	1|60000|2|30000|4|6000|11|3000	-1	-1	-1	-1	-1
100025	3	1|90000|2|45000|4|9000|11|4500	-1	-1	-1	-1	-1
100026	3	1|150000|2|75000|4|15000|11|7500	-1	-1	-1	-1	-1
100027	3	1|1|2|0	-1	-1	-1	-1	-1
100028	3	1|1|2|0	-1	-1	-1	-1	-1
100029	3	1|1|2|0	-1	-1	-1	-1	-1
100030	3	1|1|2|0	-1	-1	-1	-1	-1
100031	3	1|1|2|0	-1	-1	-1	-1	-1
100032	3	1|4000|2|3200|3|2000|5|1200|11|400	-1	-1	-1	-1	-1
100033	3	1|180000|2|90000|4|18000|11|9000	-1	-1	-1	-1	-1
100034	3	1|150000|2|75000|4|15000|11|7500	-1	-1	-1	-1	-1
100035	3	1|1|2|0	-1	-1	-1	-1	-1
101000	3	1|5000|2|3500|3|2000|5|500	-1	-1	-1	-1	-1
101001	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
101002	3	1|10000|2|7000|3|4000|5|1000	-1	-1	-1	-1	-1
101003	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
101004	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
101005	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
101006	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
101007	3	1|20000|2|16000|4|10000|11|4000	-1	-1	-1	-1	-1
101008	3	1|30000|2|24000|4|15000|11|6000	-1	-1	-1	-1	-1
101009	3	1|40000|2|32000|4|20000|11|8000	-1	-1	-1	-1	-1
101010	3	1|50000|2|40000|4|25000|11|10000	-1	-1	-1	-1	-1
101011	3	1|60000|2|48000|4|30000|11|12000	-1	-1	-1	-1	-1
101012	3	1|70000|2|56000|4|35000|11|14000	-1	-1	-1	-1	-1
101013	3	1|80000|2|64000|4|40000|11|16000	-1	-1	-1	-1	-1
101014	3	1|20000|2|16000|4|10000|11|4000	-1	-1	-1	-1	-1
101015	3	1|30000|2|24000|4|15000|11|6000	-1	-1	-1	-1	-1
101016	3	1|40000|2|32000|4|20000|11|8000	-1	-1	-1	-1	-1
101017	3	1|50000|2|40000|4|25000|11|10000	-1	-1	-1	-1	-1
101018	3	1|60000|2|48000|4|30000|11|12000	-1	-1	-1	-1	-1
101019	3	1|70000|2|56000|4|35000|11|14000	-1	-1	-1	-1	-1
101020	3	1|80000|2|64000|4|40000|11|16000	-1	-1	-1	-1	-1
101021	3	1|3000|2|2100|3|1200|5|300	-1	-1	-1	-1	-1
101022	3	1|4500|2|3150|3|1800|5|450	-1	-1	-1	-1	-1
101023	3	1|6000|2|4200|3|2400|5|600	-1	-1	-1	-1	-1
101024	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
101025	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
101026	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
101027	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
102000	3	1|5000|2|3500|3|2000|5|500	-1	-1	-1	-1	-1
102001	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
102002	3	1|10000|2|7000|3|4000|5|1000	-1	-1	-1	-1	-1
102003	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
102004	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
102005	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
102006	3	1|12500|2|8750|3|5000|5|1250	-1	-1	-1	-1	-1
102007	3	1|20000|2|16000|4|10000|11|4000	-1	-1	-1	-1	-1
102008	3	1|30000|2|24000|4|15000|11|6000	-1	-1	-1	-1	-1
102009	3	1|40000|2|32000|4|20000|11|8000	-1	-1	-1	-1	-1
102010	3	1|50000|2|40000|4|25000|11|10000	-1	-1	-1	-1	-1
102011	3	1|60000|2|48000|4|30000|11|12000	-1	-1	-1	-1	-1
102012	3	1|70000|2|56000|4|35000|11|14000	-1	-1	-1	-1	-1
102013	3	1|80000|2|64000|4|40000|11|16000	-1	-1	-1	-1	-1
102014	3	1|20000|2|16000|4|10000|11|4000	-1	-1	-1	-1	-1
102015	3	1|30000|2|24000|4|15000|11|6000	-1	-1	-1	-1	-1
102016	3	1|40000|2|32000|4|20000|11|8000	-1	-1	-1	-1	-1
102017	3	1|50000|2|40000|4|25000|11|10000	-1	-1	-1	-1	-1
102018	3	1|60000|2|48000|4|30000|11|12000	-1	-1	-1	-1	-1
102019	3	1|70000|2|56000|4|35000|11|14000	-1	-1	-1	-1	-1
102020	3	1|80000|2|64000|4|40000|11|16000	-1	-1	-1	-1	-1
102021	3	1|3000|2|2100|3|1200|5|300	-1	-1	-1	-1	-1
102022	3	1|4500|2|3150|3|1800|5|450	-1	-1	-1	-1	-1
102023	3	1|6000|2|4200|3|2400|5|600	-1	-1	-1	-1	-1
102024	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
102025	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
102026	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
102027	3	1|7500|2|5250|3|3000|5|750	-1	-1	-1	-1	-1
103000	0	103100|103101|103102	-1	-1	-1	-1	-1
103001	0	103200|103201|103202	-1	-1	-1	-1	-1
103002	0	103300|103301|103302	-1	-1	-1	-1	-1
103100	3	0|50000|130|100000|180|150000|230|200000|280|250000|330|300000|380|350000|430|400000	-1	-1	-1	-1	-1
103101	3	0|75000|130|150000|180|225000|230|300000|280|375000|330|450000|380|525000|430|600000	-1	-1	-1	-1	-1
103102	3	0|100000|130|200000|180|300000|230|400000|280|500000|330|600000|380|700000|430|800000	-1	-1	-1	-1	-1
103200	3	0|150|100|240|140|450|160|720|180|810|200|900|220|990|240|1080|260|1170|280|1260|300|1350|320|1440|340|1530|360|1620|380|1710|400|1800|420|1890|440|1980|460|2070|480|2160|500|2250	-1	-1	-1	-1	-1
103201	3	0|225|100|360|140|675|160|1080|180|1215|200|1350|220|1485|240|1620|260|1755|280|1890|300|2025|320|2160|340|2295|360|2430|380|2565|400|2700|420|2835|440|2970|460|3105|480|3240|500|3375	-1	-1	-1	-1	-1
103202	3	0|300|100|480|140|900|160|1440|180|1620|200|1800|220|1980|240|2160|260|2340|280|2520|300|2700|320|2880|340|3060|360|3240|380|3420|400|3600|420|3780|440|3960|460|4140|480|4320|500|4500	-1	-1	-1	-1	-1
103300	3	0|5000|130|7500|180|10000|230|12500|280|15000|330|17500|380|20000|430|22500	-1	-1	-1	-1	-1
103301	3	0|7500|130|11250|180|15000|230|18750|280|22500|330|26250|380|30000|430|33750	-1	-1	-1	-1	-1
103302	3	0|10000|130|15000|180|20000|230|25000|280|30000|330|35000|380|40000|430|45000	-1	-1	-1	-1	-1
104000	3	1|1000|2|800|3|600|4|200|11|100	-1	-1	-1	-1	-1
104001	3	1|1500|2|1200|3|1000|4|700|11|300	-1	-1	-1	-1	-1
104002	3	1|2000|2|1600|3|1400|4|1100|11|500	-1	-1	-1	-1	-1
104003	3	1|2500|2|2000|3|1800|4|1500|11|700	-1	-1	-1	-1	-1
104004	3	1|3000|2|2400|3|2200|4|1900|11|900	-1	-1	-1	-1	-1
104005	3	1|3500|2|2800|3|2600|4|2300|11|1100	-1	-1	-1	-1	-1
110000	0	331|401|455|514|579|711|788|927|1005|1087|1174|1264|1360|1459|1562|1669|1781|1890|1986|2084|2185|2288|2394|2502|2613|2726|2859|2995|3136|3281|3430|3583|3740|3902|4069|4241|4416|4597|4782|4972|5168|5368|5573|5783|5999|6221|6446|6672|6903|7139	-1	-1	-1	-1	-1
110001	0	425|515|585|662|745|914|1013|1192|1292|1397|1508|1626|1749|1876|2008|2146|2290|2430|2554|2680|2809|2942|3078|3217|3359|3505|3676|3851|4032|4218|4409|4607|4810|5018|5232|5452|5678|5910|6149|6393|6644|6901|7165|7436|7714|7998|8288|8578|8875|9179	-1	-1	-1	-1	-1
110002	0	290|351|398|450|507|622|689|811|879|951|1027|1106|1190|1277|1367|1461|1559|1654|1738|1824|1912|2002|2095|2189|2286|2386|2502|2621|2744|2871|3001|3135|3273|3415|3561|3711|3864|4022|4184|4351|4522|4697|4876|5060|5249|5443|5640|5838|6040|6247	-1	-1	-1	-1	-1
110003	0	372|450|512|579|652|800|886|1043|1130|1223|1320|1423|1530|1642|1757|1877|2004|2126|2234|2345|2458|2574|2693|2815|2939|3067|3216|3370|3528|3691|3858|4031|4208|4391|4578|4771|4968|5171|5380|5594|5814|6039|6270|6507|6749|6998|7252|7506|7766|8032	-1	-1	-1	-1	-1
110004	0	1050|1540|1920|2373|2905|3975|4760|5525|6300|7220|8150|9240|10395|11615|12960|14438|15990|17550|19110|20808|22500|24335|26240|28298|30430|32638|35100|37833|40565|43583|46700|49918|53340|56868|60610|64463|68540|72850|77280|81953|86750|91800|96980|102423|108135|113988|120120|126398|132965|139830	-1	-1	-1	-1	-1
110005	0	527|587|642|700|761|890|958|1115|1184|1253|1327|1403|1478|1554|1634|1710|1790|1861|1917|1972|2027|2080|2131|2181|2230|2276|2336|2393|2448|2503|2555|2605|2654|2700|2744|2784|2822|2856|2888|2916|2937|3014|3093|3171|3249|3328|3407|3485|3563|3642	-1	-1	-1	-1	-1
