INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10184	-1	0	5星蓝魔龙	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10185	-1	0	1星恶灵	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10186	-1	0	2星恶灵	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10187	-1	0	3星恶灵	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10188	-1	0	4星恶灵	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10189	-1	0	5星恶灵	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10190	-1	0	1星猎犬怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10191	-1	0	2星猎犬怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10192	-1	0	3星猎犬怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10193	-1	0	4星猎犬怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10194	-1	0	5星猎犬怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10195	-1	0	1星蛮牛怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10196	-1	0	2星蛮牛怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10197	-1	0	3星蛮牛怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10198	-1	0	4星蛮牛怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10199	-1	0	5星蛮牛怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10200	-1	0	1星黑巫师	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10201	-1	0	2星黑巫师	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10202	-1	0	3星黑巫师	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10203	-1	0	4星黑巫师	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10204	-1	0	5星黑巫师	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10205	-1	0	1星黄金幼龙	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10206	-1	0	2星黄金幼龙	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10207	-1	0	3星黄金幼龙	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10208	-1	0	4星黄金幼龙	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10209	-1	0	5星黄金幼龙	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10210	-1	0	1星亚昆	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10211	-1	0	2星亚昆	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10212	-1	0	3星亚昆	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10213	-1	0	4星亚昆	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10214	-1	0	5星亚昆	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10215	-1	0	1星瓢虫怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10216	-1	0	2星瓢虫怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10217	-1	0	3星瓢虫怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10218	-1	0	4星瓢虫怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10219	-1	0	5星瓢虫怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10220	-1	0	1星黄金哥布林	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10221	-1	0	2星黄金哥布林	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10222	-1	0	3星黄金哥布林	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10223	-1	0	4星黄金哥布林	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10224	-1	0	5星黄金哥布林	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10225	-1	0	1星雪人王	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10226	-1	0	2星雪人王	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10227	-1	0	3星雪人王	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10228	-1	0	4星雪人王	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10229	-1	0	5星雪人王	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10230	-1	0	1星暗杀者	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10231	-1	0	2星暗杀者	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10232	-1	0	3星暗杀者	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10233	-1	0	4星暗杀者	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10234	-1	0	5星暗杀者	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10235	-1	0	1星黄金雪人王	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10236	-1	0	2星黄金雪人王	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10237	-1	0	3星黄金雪人王	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10238	-1	0	4星黄金雪人王	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10239	-1	0	5星黄金雪人王	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10240	-1	0	1星地狱蜘蛛	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10241	-1	0	2星地狱蜘蛛	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10242	-1	0	3星地狱蜘蛛	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10243	-1	0	4星地狱蜘蛛	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10244	-1	0	5星地狱蜘蛛	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10245	-1	0	1星骷髅战士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10246	-1	0	2星骷髅战士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10247	-1	0	3星骷髅战士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10248	-1	0	4星骷髅战士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10249	-1	0	5星骷髅战士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10250	-1	0	1星毒牛怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10251	-1	0	2星毒牛怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10252	-1	0	3星毒牛怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10253	-1	0	4星毒牛怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10254	-1	0	5星毒牛怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10255	-1	0	1星独眼巨人	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10256	-1	0	2星独眼巨人	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10257	-1	0	3星独眼巨人	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10258	-1	0	4星独眼巨人	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10259	-1	0	5星独眼巨人	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10260	-1	0	1星毒虫	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10261	-1	0	2星毒虫	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10262	-1	0	3星毒虫	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10263	-1	0	4星毒虫	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10264	-1	0	5星毒虫	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10265	-1	0	1星黄金地狱蜘蛛	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10266	-1	0	2星黄金地狱蜘蛛	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10267	-1	0	3星黄金地狱蜘蛛	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10268	-1	0	4星黄金地狱蜘蛛	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10269	-1	0	5星黄金地狱蜘蛛	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10270	-1	0	1星剧毒鬼魅	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10271	-1	0	2星剧毒鬼魅	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10272	-1	0	3星剧毒鬼魅	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10273	-1	0	4星剧毒鬼魅	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10274	-1	0	5星剧毒鬼魅	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10275	-1	0	1星死神戈登	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10276	-1	0	2星死神戈登	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10277	-1	0	3星死神戈登	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10278	-1	0	4星死神戈登	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10279	-1	0	5星死神戈登	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10280	-1	0	1星黄金恶魔	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10281	-1	0	2星黄金恶魔	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10282	-1	0	3星黄金恶魔	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10283	-1	0	4星黄金恶魔	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10284	-1	0	5星黄金恶魔	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10285	-1	0	1星黄金巫师王	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10286	-1	0	2星黄金巫师王	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10287	-1	0	3星黄金巫师王	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10288	-1	0	4星黄金巫师王	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10289	-1	0	5星黄金巫师王	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10290	-1	0	1星铁轮战士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10291	-1	0	2星铁轮战士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10292	-1	0	3星铁轮战士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10293	-1	0	4星铁轮战士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10294	-1	0	5星铁轮战士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10295	-1	0	1星黄金破坏骑士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10296	-1	0	2星黄金破坏骑士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10297	-1	0	3星黄金破坏骑士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10298	-1	0	4星黄金破坏骑士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10299	-1	0	5星黄金破坏骑士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10300	-1	0	1星恶灵王	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10301	-1	0	2星恶灵王	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10302	-1	0	3星恶灵王	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10303	-1	0	4星恶灵王	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10304	-1	0	5星恶灵王	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10305	-1	0	1星阿卡莫斯	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10306	-1	0	2星阿卡莫斯	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10307	-1	0	3星阿卡莫斯	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10308	-1	0	4星阿卡莫斯	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10309	-1	0	5星阿卡莫斯	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10310	-1	0	1星黄金幻影骑士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10311	-1	0	2星黄金幻影骑士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10312	-1	0	3星黄金幻影骑士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10313	-1	0	4星黄金幻影骑士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10314	-1	0	5星黄金幻影骑士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
40000	-1	0	小天使	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
40001	-1	0	小恶魔	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	5	0	0	0	0	0	0	0	0	0
40002	-1	0	强化天使	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
40003	-1	0	强化恶魔	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	10	0	0	0	0	0	0	0	0	0
40004	-1	0	黄金幼龙	0	0	0	0	0	0	0	0	0	0	150	0	0	0	50	0	10	10	0	0	0	0	0	0	0	0
40005	-1	0	鬼龙	0	0	0	0	0	0	80	80	0	40	350	0	0	0	0	0	10	0	0	0	0	0	25	0	0	0
40006	-1	0	骨龙	0	0	0	0	80	80	0	0	40	0	350	0	0	0	0	0	10	0	0	0	0	0	25	0	0	0
40007	-1	0	花仙子	0	0	0	0	0	0	0	0	40	40	750	0	0	0	0	0	0	10	0	0	0	0	40	0	0	0
40008	-1	0	浴火凤凰	0	0	0	0	0	0	0	0	0	0	500	0	0	0	100	0	10	0	0	0	0	0	30	0	0	0
40009	-1	0	暗黑天龙	0	0	0	0	0	0	0	0	0	0	250	0	0	0	125	0	20	0	0	0	0	0	20	0	0	0
3000001	-1	0	1星黑蜘蛛	0	0	0	0	0	0	0	0	29	29	1059	0	9	11	57	0	0	0	0	0	0	0	0	0	0	0
3000002	-1	0	2星黑蜘蛛	0	0	0	0	0	0	0	0	43	43	1589	0	13	17	86	0	0	0	0	0	0	0	0	0	0	0
3000003	-1	0	3星黑蜘蛛	0	0	0	0	0	0	0	0	57	57	2119	0	17	23	114	0	0	0	0	0	0	0	0	0	0	0
3000004	-1	0	4星黑蜘蛛	0	0	0	0	0	0	0	0	72	72	2649	0	21	29	143	0	0	0	0	0	0	0	0	0	0	0
3000005	-1	0	5星黑蜘蛛	0	0	0	0	0	0	0	0	100	100	3708	0	30	40	200	0	0	0	0	0	0	0	0	0	0	0
3000101	-1	0	1星赤炎幼龙	0	0	0	0	0	0	0	0	33	33	1208	0	10	13	65	0	0	0	0	0	0	0	0	0	0	0
3000102	-1	0	2星赤炎幼龙	0	0	0	0	0	0	0	0	49	49	1812	0	15	20	98	0	0	0	0	0	0	0	0	0	0	0
3000103	-1	0	3星赤炎幼龙	0	0	0	0	0	0	0	0	65	65	2415	0	20	26	130	0	0	0	0	0	0	0	0	0	0	0
3000104	-1	0	4星赤炎幼龙	0	0	0	0	0	0	0	0	82	82	3019	0	24	33	163	0	0	0	0	0	0	0	0	0	0	0
3000105	-1	0	5星赤炎幼龙	0	0	0	0	0	0	0	0	114	114	4227	0	34	46	228	0	0	0	0	0	0	0	0	0	0	0
3000201	-1	0	1星犀牛兽	0	0	0	0	0	0	0	0	37	37	1356	0	11	15	73	0	0	0	0	0	0	0	0	0	0	0
3000202	-1	0	2星犀牛兽	0	0	0	0	0	0	0	0	55	55	2034	0	16	22	110	0	0	0	0	0	0	0	0	0	0	0
3000203	-1	0	3星犀牛兽	0	0	0	0	0	0	0	0	73	73	2712	0	22	29	146	0	0	0	0	0	0	0	0	0	0	0
3000204	-1	0	4星犀牛兽	0	0	0	0	0	0	0	0	92	92	3390	0	27	37	183	0	0	0	0	0	0	0	0	0	0	0
3000205	-1	0	5星犀牛兽	0	0	0	0	0	0	0	0	128	128	4746	0	38	51	256	0	0	0	0	0	0	0	0	0	0	0
3000301	-1	0	1星魔狼	0	0	0	0	0	0	0	0	41	41	1504	0	12	16	81	0	0	0	0	0	0	0	0	0	0	0
3000302	-1	0	2星魔狼	0	0	0	0	0	0	0	0	61	61	2257	0	18	24	122	0	0	0	0	0	0	0	0	0	0	0
3000303	-1	0	3星魔狼	0	0	0	0	0	0	0	0	81	81	3009	0	24	33	162	0	0	0	0	0	0	0	0	0	0	0
3000304	-1	0	4星魔狼	0	0	0	0	0	0	0	0	102	102	3761	0	30	41	203	0	0	0	0	0	0	0	0	0	0	0
3000305	-1	0	5星魔狼	0	0	0	0	0	0	0	0	142	142	5265	0	43	57	284	0	0	0	0	0	0	0	0	0	0	0
3000401	-1	0	1星蛮荒巨人	0	0	0	0	0	0	0	0	45	45	1653	0	13	18	89	0	0	0	0	0	0	0	0	0	0	0
3000402	-1	0	2星蛮荒巨人	0	0	0	0	0	0	0	0	67	67	2479	0	20	27	134	0	0	0	0	0	0	0	0	0	0	0
3000403	-1	0	3星蛮荒巨人	0	0	0	0	0	0	0	0	89	89	3305	0	27	36	179	0	0	0	0	0	0	0	0	0	0	0
3000404	-1	0	4星蛮荒巨人	0	0	0	0	0	0	0	0	112	112	4132	0	33	45	223	0	0	0	0	0	0	0	0	0	0	0
3000405	-1	0	5星蛮荒巨人	0	0	0	0	0	0	0	0	156	156	5784	0	47	62	312	0	0	0	0	0	0	0	0	0	0	0
3000501	-1	0	1星骨兵	0	0	0	0	0	0	0	0	49	49	1801	0	15	19	97	0	0	0	0	0	0	0	0	0	0	0
3000502	-1	0	2星骨兵	0	0	0	0	0	0	0	0	73	73	2702	0	22	29	146	0	0	0	0	0	0	0	0	0	0	0
3000503	-1	0	3星骨兵	0	0	0	0	0	0	0	0	97	97	3602	0	29	39	195	0	0	0	0	0	0	0	0	0	0	0
3000504	-1	0	4星骨兵	0	0	0	0	0	0	0	0	122	122	4503	0	36	49	243	0	0	0	0	0	0	0	0	0	0	0
3000505	-1	0	5星骨兵	0	0	0	0	0	0	0	0	170	170	6304	0	51	68	340	0	0	0	0	0	0	0	0	0	0	0
3000601	-1	0	1星蛮牛兽	0	0	0	0	0	0	0	0	53	53	1949	0	16	21	105	0	0	0	0	0	0	0	0	0	0	0
3000602	-1	0	2星蛮牛兽	0	0	0	0	0	0	0	0	79	79	2924	0	24	32	158	0	0	0	0	0	0	0	0	0	0	0
3000603	-1	0	3星蛮牛兽	0	0	0	0	0	0	0	0	105	105	3899	0	32	42	211	0	0	0	0	0	0	0	0	0	0	0
3000604	-1	0	4星蛮牛兽	0	0	0	0	0	0	0	0	132	132	4873	0	39	53	263	0	0	0	0	0	0	0	0	0	0	0
3000605	-1	0	5星蛮牛兽	0	0	0	0	0	0	0	0	184	184	6823	0	55	74	368	0	0	0	0	0	0	0	0	0	0	0
3000701	-1	0	1星黑袍巫师	0	0	0	0	0	0	0	0	57	57	2098	0	17	23	113	0	0	0	0	0	0	0	0	0	0	0
3000702	-1	0	2星黑袍巫师	0	0	0	0	0	0	0	0	85	85	3146	0	25	34	170	0	0	0	0	0	0	0	0	0	0	0
3000703	-1	0	3星黑袍巫师	0	0	0	0	0	0	0	0	113	113	4195	0	34	45	227	0	0	0	0	0	0	0	0	0	0	0
3000704	-1	0	4星黑袍巫师	0	0	0	0	0	0	0	0	142	142	5244	0	42	57	283	0	0	0	0	0	0	0	0	0	0	0
3000705	-1	0	5星黑袍巫师	0	0	0	0	0	0	0	0	198	198	7342	0	59	79	396	0	0	0	0	0	0	0	0	0	0	0
3000801	-1	0	1星毒尾兽	0	0	0	0	0	0	0	0	61	61	2246	0	18	24	121	0	0	0	0	0	0	0	0	0	0	0
3000802	-1	0	2星毒尾兽	0	0	0	0	0	0	0	0	91	91	3369	0	27	36	182	0	0	0	0	0	0	0	0	0	0	0
3000803	-1	0	3星毒尾兽	0	0	0	0	0	0	0	0	121	121	4492	0	36	49	243	0	0	0	0	0	0	0	0	0	0	0
3000804	-1	0	4星毒尾兽	0	0	0	0	0	0	0	0	152	152	5615	0	45	61	303	0	0	0	0	0	0	0	0	0	0	0
3000805	-1	0	5星毒尾兽	0	0	0	0	0	0	0	0	212	212	7861	0	64	85	425	0	0	0	0	0	0	0	0	0	0	0
3000901	-1	0	1星甲虫兽	0	0	0	0	0	0	0	0	65	65	2394	0	19	26	129	0	0	0	0	0	0	0	0	0	0	0
3000902	-1	0	2星甲虫兽	0	0	0	0	0	0	0	0	97	97	3591	0	29	39	194	0	0	0	0	0	0	0	0	0	0	0
3000903	-1	0	3星甲虫兽	0	0	0	0	0	0	0	0	129	129	4789	0	39	52	259	0	0	0	0	0	0	0	0	0	0	0
3000904	-1	0	4星甲虫兽	0	0	0	0	0	0	0	0	162	162	5986	0	48	65	323	0	0	0	0	0	0	0	0	0	0	0
3000905	-1	0	5星甲虫兽	0	0	0	0	0	0	0	0	226	226	8380	0	68	91	453	0	0	0	0	0	0	0	0	0	0	0
3001001	-1	0	1星地精战士	0	0	0	0	0	0	0	0	69	69	2543	0	21	27	137	0	0	0	0	0	0	0	0	0	0	0
3001002	-1	0	2星地精战士	0	0	0	0	0	0	0	0	103	103	3814	0	31	41	206	0	0	0	0	0	0	0	0	0	0	0
3001003	-1	0	3星地精战士	0	0	0	0	0	0	0	0	137	137	5085	0	41	55	275	0	0	0	0	0	0	0	0	0	0	0
3001004	-1	0	4星地精战士	0	0	0	0	0	0	0	0	172	172	6357	0	51	69	343	0	0	0	0	0	0	0	0	0	0	0
3001005	-1	0	5星地精战士	0	0	0	0	0	0	0	0	240	240	8899	0	72	96	481	0	0	0	0	0	0	0	0	0	0	0
3001101	-1	0	1星地精队长	0	0	0	0	0	0	0	0	73	73	2691	0	22	29	145	0	0	0	0	0	0	0	0	0	0	0
3001102	-1	0	2星地精队长	0	0	0	0	0	0	0	0	109	109	4036	0	33	44	218	0	0	0	0	0	0	0	0	0	0	0
