INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10311	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	8000	8	200	-1	-1	-1	-1	-1
10312	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	8000	8	200	-1	-1	-1	-1	-1
10313	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	8000	8	200	-1	-1	-1	-1	-1
10314	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	8000	8	200	-1	-1	-1	-1	-1
10401	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	50000	8	12000	-1	-1	-1	-1	-1
10402	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	45000	8	7200	-1	-1	-1	-1	-1
10403	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	40000	8	4800	-1	-1	-1	-1	-1
10404	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	35000	8	2400	-1	-1	-1	-1	-1
10405	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	30000	8	1920	-1	-1	-1	-1	-1
10406	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	25000	8	1440	-1	-1	-1	-1	-1
10407	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	20000	8	960	-1	-1	-1	-1	-1
10408	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	480	-1	-1	-1	-1	-1
10409	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	240	-1	-1	-1	-1	-1
10410	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10000	8	240	-1	-1	-1	-1	-1
10411	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10000	8	240	-1	-1	-1	-1	-1
10412	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10000	8	240	-1	-1	-1	-1	-1
10413	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10000	8	240	-1	-1	-1	-1	-1
10414	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10000	8	240	-1	-1	-1	-1	-1
10501	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	60000	8	14000	-1	-1	-1	-1	-1
10502	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	54000	8	8400	-1	-1	-1	-1	-1
10503	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	48000	8	5600	-1	-1	-1	-1	-1
10504	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	42000	8	2800	-1	-1	-1	-1	-1
10505	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	36000	8	2240	-1	-1	-1	-1	-1
10506	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	30000	8	1680	-1	-1	-1	-1	-1
10507	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1120	-1	-1	-1	-1	-1
10508	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	560	-1	-1	-1	-1	-1
10509	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	280	-1	-1	-1	-1	-1
10510	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	280	-1	-1	-1	-1	-1
10511	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	280	-1	-1	-1	-1	-1
10512	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	280	-1	-1	-1	-1	-1
10513	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	280	-1	-1	-1	-1	-1
10514	玛雅女神	灭世之战完胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	280	-1	-1	-1	-1	-1
10601	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	75000	8	20000	-1	-1	-1	-1	-1
10602	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	67500	8	12000	-1	-1	-1	-1	-1
10603	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	60000	8	8000	-1	-1	-1	-1	-1
10604	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	52500	8	4000	-1	-1	-1	-1	-1
10605	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	45000	8	3200	-1	-1	-1	-1	-1
10606	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	37500	8	2400	-1	-1	-1	-1	-1
10607	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	30000	8	1600	-1	-1	-1	-1	-1
10608	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	22500	8	800	-1	-1	-1	-1	-1
10609	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	400	-1	-1	-1	-1	-1
10610	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	400	-1	-1	-1	-1	-1
10611	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	400	-1	-1	-1	-1	-1
10612	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	400	-1	-1	-1	-1	-1
10613	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	400	-1	-1	-1	-1	-1
10614	玛雅女神	灭世之战碾压排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	400	-1	-1	-1	-1	-1
20101	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	18000	8	9000	-1	-1	-1	-1	-1
20102	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	16200	8	5400	-1	-1	-1	-1	-1
20103	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	14400	8	3600	-1	-1	-1	-1	-1
20104	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	12600	8	1800	-1	-1	-1	-1	-1
20105	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	10800	8	1440	-1	-1	-1	-1	-1
20106	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	1080	-1	-1	-1	-1	-1
20107	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	7200	8	720	-1	-1	-1	-1	-1
20108	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	5400	8	360	-1	-1	-1	-1	-1
20109	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	4320	8	180	-1	-1	-1	-1	-1
20110	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	3600	8	180	-1	-1	-1	-1	-1
20111	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	3600	8	180	-1	-1	-1	-1	-1
20112	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	3600	8	180	-1	-1	-1	-1	-1
20113	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	3600	8	180	-1	-1	-1	-1	-1
20114	玛雅女神	灭世之战险胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	3600	8	180	-1	-1	-1	-1	-1
20201	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	30000	8	12000	-1	-1	-1	-1	-1
20202	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	27000	8	7200	-1	-1	-1	-1	-1
20203	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	24000	8	4800	-1	-1	-1	-1	-1
20204	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	21000	8	2400	-1	-1	-1	-1	-1
20205	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	18000	8	1920	-1	-1	-1	-1	-1
20206	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	15000	8	1440	-1	-1	-1	-1	-1
20207	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	12000	8	960	-1	-1	-1	-1	-1
20208	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9000	8	480	-1	-1	-1	-1	-1
20209	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	7200	8	240	-1	-1	-1	-1	-1
20210	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	6000	8	240	-1	-1	-1	-1	-1
20211	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	6000	8	240	-1	-1	-1	-1	-1
20212	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	6000	8	240	-1	-1	-1	-1	-1
20213	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	6000	8	240	-1	-1	-1	-1	-1
20214	玛雅女神	灭世之战小胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	6000	8	240	-1	-1	-1	-1	-1
20301	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	48000	8	15000	-1	-1	-1	-1	-1
20302	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	43200	8	9000	-1	-1	-1	-1	-1
20303	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	38400	8	6000	-1	-1	-1	-1	-1
20304	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	33600	8	3000	-1	-1	-1	-1	-1
20305	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	28800	8	2400	-1	-1	-1	-1	-1
20306	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	24000	8	1800	-1	-1	-1	-1	-1
20307	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	19200	8	1200	-1	-1	-1	-1	-1
20308	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	14400	8	600	-1	-1	-1	-1	-1
20309	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	11520	8	300	-1	-1	-1	-1	-1
20310	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9600	8	300	-1	-1	-1	-1	-1
20311	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9600	8	300	-1	-1	-1	-1	-1
20312	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9600	8	300	-1	-1	-1	-1	-1
20313	玛雅女神	灭世之战胜利排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9600	8	300	-1	-1	-1	-1	-1
20314	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	9600	8	300	-1	-1	-1	-1	-1
20401	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	22007	1	11	60000	8	18000	-1	-1	-1	-1	-1
20402	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	5	11	54000	8	10800	-1	-1	-1	-1	-1
20403	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	3	11	48000	8	7200	-1	-1	-1	-1	-1
20404	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	2	11	42000	8	3600	-1	-1	-1	-1	-1
20405	玛雅女神	灭世之战大胜排名奖励	敬爱的玛雅大陆守护者，为嘉奖你在灭世之战中伤害排名第（{0}）名的英勇表现，并感谢您对守护玛雅大陆做出的努力；恭喜您获得如下奖励，请在附件中提取！	99999	23181	1	11	36000	8	2880	-1	-1	-1	-1	-1
