INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
60217	60217	2	3	5	70043	200	360	60218	103	1	101	3	301	5	-1	-1	1	25	50	5000	10217	18	15	18	20	1
60218	60218	2	4	5	70043	300	480	60219	103	1	101	3	301	5	-1	-1	1	25	50	5000	10218	18	15	18	40	1
60219	60219	2	5	5	70043	-1	600	-1	103	1	101	3	301	5	-1	-1	1	25	50	5000	10219	18	15	18	80	1
60220	60220	0	1	5	70044	50	120	60221	102	1	201	3	106	5	-1	-1	1	25	50	5000	10220	18	13	10	5	1
60221	60221	0	2	5	70044	100	240	60222	102	1	201	3	106	5	-1	-1	1	25	50	5000	10221	18	13	10	10	1
60222	60222	0	3	5	70044	200	360	60223	102	1	201	3	106	5	-1	-1	1	25	50	5000	10222	18	13	10	20	1
60223	60223	0	4	5	70044	300	480	60224	102	1	201	3	106	5	-1	-1	1	25	50	5000	10223	18	13	10	40	1
60224	60224	0	5	5	70044	-1	600	-1	102	1	201	3	106	5	-1	-1	1	25	50	5000	10224	18	13	10	80	1
60225	60225	0	1	5	70045	50	120	60226	202	1	104	3	304	5	-1	-1	1	25	50	5000	10225	13	18	15	5	1
60226	60226	0	2	5	70045	100	240	60227	202	1	104	3	304	5	-1	-1	1	25	50	5000	10226	13	18	15	10	1
60227	60227	0	3	5	70045	200	360	60228	202	1	104	3	304	5	-1	-1	1	25	50	5000	10227	13	18	15	20	1
60228	60228	0	4	5	70045	300	480	60229	202	1	104	3	304	5	-1	-1	1	25	50	5000	10228	13	18	15	40	1
60229	60229	0	5	5	70045	-1	600	-1	202	1	104	3	304	5	-1	-1	1	25	50	5000	10229	13	18	15	80	1
60230	60230	0	1	5	70046	50	120	60231	105	1	403	3	305	5	-1	-1	1	25	50	5000	10230	18	13	10	5	1
60231	60231	0	2	5	70046	100	240	60232	105	1	403	3	305	5	-1	-1	1	25	50	5000	10231	18	13	10	10	1
60232	60232	0	3	5	70046	200	360	60233	105	1	403	3	305	5	-1	-1	1	25	50	5000	10232	18	13	10	20	1
60233	60233	0	4	5	70046	300	480	60234	105	1	403	3	305	5	-1	-1	1	25	50	5000	10233	18	13	10	40	1
60234	60234	0	5	5	70046	-1	600	-1	105	1	403	3	305	5	-1	-1	1	25	50	5000	10234	18	13	10	80	1
60235	60235	0	1	5	70047	50	120	60236	103	1	100	3	402	5	-1	-1	1	25	50	5000	10235	13	16	18	5	1
60236	60236	0	2	5	70047	100	240	60237	103	1	100	3	402	5	-1	-1	1	25	50	5000	10236	13	16	18	10	1
60237	60237	0	3	5	70047	200	360	60238	103	1	100	3	402	5	-1	-1	1	25	50	5000	10237	13	16	18	20	1
60238	60238	0	4	5	70047	300	480	60239	103	1	100	3	402	5	-1	-1	1	25	50	5000	10238	13	16	18	40	1
60239	60239	0	5	5	70047	-1	600	-1	103	1	100	3	402	5	-1	-1	1	25	50	5000	10239	13	16	18	80	1
60240	60240	5	1	5	70048	50	120	60241	203	1	102	3	401	5	-1	-1	1	25	50	5000	10240	15	16	18	5	1
60241	60241	5	2	5	70048	100	240	60242	203	1	102	3	401	5	-1	-1	1	25	50	5000	10241	15	16	18	10	1
60242	60242	5	3	5	70048	200	360	60243	203	1	102	3	401	5	-1	-1	1	25	50	5000	10242	15	16	18	20	1
60243	60243	5	4	5	70048	300	480	60244	203	1	102	3	401	5	-1	-1	1	25	50	5000	10243	15	16	18	40	1
60244	60244	5	5	5	70048	-1	600	-1	203	1	102	3	401	5	-1	-1	1	25	50	5000	10244	15	16	18	80	1
60245	60245	5	1	5	70049	50	120	60246	101	1	302	3	102	5	-1	-1	1	25	50	5000	10245	15	16	18	5	0
60246	60246	5	2	5	70049	100	240	60247	101	1	302	3	102	5	-1	-1	1	25	50	5000	10246	15	16	18	10	0
60247	60247	5	3	5	70049	200	360	60248	101	1	302	3	102	5	-1	-1	1	25	50	5000	10247	15	16	18	20	0
60248	60248	5	4	5	70049	300	480	60249	101	1	302	3	102	5	-1	-1	1	25	50	5000	10248	15	16	18	40	0
60249	60249	5	5	5	70049	-1	600	-1	101	1	302	3	102	5	-1	-1	1	25	50	5000	10249	15	16	18	80	0
60250	60250	2	1	5	70050	50	120	60251	106	1	100	3	402	5	-1	-1	1	25	50	5000	10250	15	16	18	5	1
60251	60251	2	2	5	70050	100	240	60252	106	1	100	3	402	5	-1	-1	1	25	50	5000	10251	15	16	18	10	1
60252	60252	2	3	5	70050	200	360	60253	106	1	100	3	402	5	-1	-1	1	25	50	5000	10252	15	16	18	20	1
60253	60253	2	4	5	70050	300	480	60254	106	1	100	3	402	5	-1	-1	1	25	50	5000	10253	15	16	18	40	1
60254	60254	2	5	5	70050	-1	600	-1	106	1	100	3	402	5	-1	-1	1	25	50	5000	10254	15	16	18	80	1
60255	60255	0	1	5	70051	50	120	60256	203	1	305	3	105	5	-1	-1	1	25	50	5000	10255	15	11	13	5	1
60256	60256	0	2	5	70051	100	240	60257	203	1	305	3	105	5	-1	-1	1	25	50	5000	10256	15	11	13	10	1
60257	60257	0	3	5	70051	200	360	60258	203	1	305	3	105	5	-1	-1	1	25	50	5000	10257	15	11	13	20	1
60258	60258	0	4	5	70051	300	480	60259	203	1	305	3	105	5	-1	-1	1	25	50	5000	10258	15	11	13	40	1
60259	60259	0	5	5	70051	-1	600	-1	203	1	305	3	105	5	-1	-1	1	25	50	5000	10259	15	11	13	80	1
60260	60260	2	1	5	70052	50	120	60261	100	1	400	3	300	5	-1	-1	1	25	50	5000	10260	10	16	18	5	1
60261	60261	2	2	5	70052	100	240	60262	100	1	400	3	300	5	-1	-1	1	25	50	5000	10261	10	16	18	10	1
60262	60262	2	3	5	70052	200	360	60263	100	1	400	3	300	5	-1	-1	1	25	50	5000	10262	10	16	18	20	1
60263	60263	2	4	5	70052	300	480	60264	100	1	400	3	300	5	-1	-1	1	25	50	5000	10263	10	16	18	40	1
60264	60264	2	5	5	70052	-1	600	-1	100	1	400	3	300	5	-1	-1	1	25	50	5000	10264	10	15	18	80	1
60265	60265	5	1	5	70053	50	120	60266	203	1	101	3	403	5	-1	-1	1	25	50	5000	10265	15	15	18	5	1
60266	60266	5	2	5	70053	100	240	60267	203	1	101	3	403	5	-1	-1	1	25	50	5000	10266	15	15	18	10	1
60267	60267	5	3	5	70053	200	360	60268	203	1	101	3	403	5	-1	-1	1	25	50	5000	10267	15	15	18	20	1
60268	60268	5	4	5	70053	300	480	60269	203	1	101	3	403	5	-1	-1	1	25	50	5000	10268	15	15	18	40	1
60269	60269	5	5	5	70053	-1	600	-1	203	1	101	3	403	5	-1	-1	1	25	50	5000	10269	15	18	18	80	1
60270	60270	1	1	5	70054	50	120	60271	103	1	304	3	105	5	-1	-1	1	25	50	5000	10270	10	18	18	5	1
60271	60271	1	2	5	70054	100	240	60272	103	1	304	3	105	5	-1	-1	1	25	50	5000	10271	10	18	18	10	1
60272	60272	1	3	5	70054	200	360	60273	103	1	304	3	105	5	-1	-1	1	25	50	5000	10272	10	18	18	20	1
60273	60273	1	4	5	70054	300	480	60274	103	1	304	3	105	5	-1	-1	1	25	50	5000	10273	10	18	18	40	1
60274	60274	1	5	5	70054	-1	600	-1	103	1	304	3	105	5	-1	-1	1	25	50	5000	10274	10	18	15	80	1
60275	60275	1	1	5	70055	50	120	60276	105	1	300	3	103	5	-1	-1	1	25	50	5000	10275	15	18	15	5	1
60276	60276	1	2	5	70055	100	240	60277	105	1	300	3	103	5	-1	-1	1	25	50	5000	10276	15	18	15	10	1
60277	60277	1	3	5	70055	200	360	60278	105	1	300	3	103	5	-1	-1	1	25	50	5000	10277	15	18	15	20	1
60278	60278	1	4	5	70055	300	480	60279	105	1	300	3	103	5	-1	-1	1	25	50	5000	10278	15	18	15	40	1
60279	60279	1	5	5	70055	-1	600	-1	105	1	300	3	103	5	-1	-1	1	25	50	5000	10279	15	13	10	80	1
60280	60280	1	1	5	70056	50	120	60281	301	1	401	3	105	5	-1	-1	1	25	50	5000	10280	10	13	10	5	1
60281	60281	1	2	5	70056	100	240	60282	301	1	401	3	105	5	-1	-1	1	25	50	5000	10281	10	13	10	10	1
60282	60282	1	3	5	70056	200	360	60283	301	1	401	3	105	5	-1	-1	1	25	50	5000	10282	10	13	10	20	1
60283	60283	1	4	5	70056	300	480	60284	301	1	401	3	105	5	-1	-1	1	25	50	5000	10283	10	13	10	40	1
60284	60284	1	5	5	70056	-1	600	-1	301	1	401	3	105	5	-1	-1	1	25	50	5000	10284	10	18	18	80	1
60285	60285	1	1	5	70057	50	120	60286	100	1	205	3	301	5	-1	-1	1	25	50	5000	10285	18	18	18	5	1
60286	60286	1	2	5	70057	100	240	60287	100	1	205	3	301	5	-1	-1	1	25	50	5000	10286	18	18	18	10	1
60287	60287	1	3	5	70057	200	360	60288	100	1	205	3	301	5	-1	-1	1	25	50	5000	10287	18	18	18	20	1
60288	60288	1	4	5	70057	300	480	60289	100	1	205	3	301	5	-1	-1	1	25	50	5000	10288	18	18	18	40	1
60289	60289	1	5	5	70057	-1	600	-1	100	1	205	3	301	5	-1	-1	1	25	50	5000	10289	18	16	18	80	1
60290	60290	1	1	5	70058	50	120	60291	103	1	400	3	106	5	-1	-1	1	25	50	5000	10290	18	16	18	5	1
60291	60291	1	2	5	70058	100	240	60292	103	1	400	3	106	5	-1	-1	1	25	50	5000	10291	18	16	18	10	1
60292	60292	1	3	5	70058	200	360	60293	103	1	400	3	106	5	-1	-1	1	25	50	5000	10292	18	16	18	20	1
60293	60293	1	4	5	70058	300	480	60294	103	1	400	3	106	5	-1	-1	1	25	50	5000	10293	18	16	18	40	1
60294	60294	1	5	5	70058	-1	600	-1	103	1	400	3	106	5	-1	-1	1	25	50	5000	10294	18	13	13	80	1
60295	60295	0	1	5	70059	50	120	60296	101	1	300	3	206	5	-1	-1	1	25	50	5000	10295	18	13	13	5	1
60296	60296	0	2	5	70059	100	240	60297	101	1	300	3	206	5	-1	-1	1	25	50	5000	10296	18	13	13	10	1
60297	60297	0	3	5	70059	200	360	60298	101	1	300	3	206	5	-1	-1	1	25	50	5000	10297	18	13	13	20	1
60298	60298	0	4	5	70059	300	480	60299	101	1	300	3	206	5	-1	-1	1	25	50	5000	10298	18	13	13	40	1
60299	60299	0	5	5	70059	-1	600	-1	101	1	300	3	206	5	-1	-1	1	25	50	5000	10299	18	13	10	80	1
60300	60300	1	1	5	70060	50	120	60301	305	1	301	3	400	5	-1	-1	1	25	50	5000	10300	18	13	10	5	0
60301	60301	1	2	5	70060	100	240	60302	305	1	301	3	400	5	-1	-1	1	25	50	5000	10301	18	13	10	10	0
60302	60302	1	3	5	70060	200	360	60303	305	1	301	3	400	5	-1	-1	1	25	50	5000	10302	18	13	10	20	0
60303	60303	1	4	5	70060	300	480	60304	305	1	301	3	400	5	-1	-1	1	25	50	5000	10303	18	13	10	40	0
60304	60304	1	5	5	70060	-1	600	-1	305	1	301	3	400	5	-1	-1	1	25	50	5000	10304	18	13	13	80	0
60305	60305	1	1	5	70061	50	120	60306	301	1	106	3	401	5	-1	-1	1	25	50	5000	10305	13	13	13	5	0
60306	60306	1	2	5	70061	100	240	60307	301	1	106	3	401	5	-1	-1	1	25	50	5000	10306	13	13	13	10	0
60307	60307	1	3	5	70061	200	360	60308	301	1	106	3	401	5	-1	-1	1	25	50	5000	10307	13	13	13	20	0
60308	60308	1	4	5	70061	300	480	60309	301	1	106	3	401	5	-1	-1	1	25	50	5000	10308	13	13	13	40	0
60309	60309	1	5	5	70061	-1	600	-1	301	1	106	3	401	5	-1	-1	1	25	50	5000	10309	13	13	13	80	0
60310	60310	1	1	5	70062	50	120	60311	402	1	207	3	303	5	-1	-1	1	25	50	5000	10310	18	13	13	5	0
60311	60311	1	2	5	70062	100	240	60312	402	1	207	3	303	5	-1	-1	1	25	50	5000	10311	18	13	13	10	0
60312	60312	1	3	5	70062	200	360	60313	402	1	207	3	303	5	-1	-1	1	25	50	5000	10312	18	13	13	20	0
60313	60313	1	4	5	70062	300	480	60314	402	1	207	3	303	5	-1	-1	1	25	50	5000	10313	18	13	13	40	0
60314	60314	1	5	5	70062	-1	600	-1	402	1	207	3	303	5	-1	-1	1	25	50	5000	10314	18	13	14	80	0
