INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING
507	死亡漩涡-精英	0	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3054	3054	-1	-1	-1	10	-1	180000	给你一个善意的提醒，永远不要盯着我的眼睛，那会让你跌入无尽的深渊，直至死亡，才能让你获得解脱。——深海魔后赫卡忒	1	100016	2	100025	5	100007	20309	100029	544	-1	453	454	455	507	-1	12	-1	-1	-1	-1	-1	1	-1	5070	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
508	死亡漩涡	0	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2014	2017	-1	-1	-1	10	-1	220000	给你一个善意的提醒，永远不要盯着我的眼睛，那会让你跌入无尽的深渊，直至死亡，才能让你获得解脱。——深海魔后赫卡忒	1	100017	2	100026	5	100008	20309	100029	544	-1	456	457	458	508	-1	13	-1	-1	-1	-1	-1	1	-1	5080	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
509	沙城魔域	0	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2017	2019	-1	-1	-1	10	-1	779000	黑暗将一点点的将你们吞噬，滋润这片土地生长更多的邪恶，而你们终将化作这里的风沙。——沙魔阿卡门农	1	100033	2	100034	5	100032	20310	100035	545	-1	760	761	762	509	-1	15	-1	-1	-1	-1	-1	1	-1	5090	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
1000	要塞	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	10	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1001	竞技场	3	14	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	10	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1001	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1010	贪财地精	1	24	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	2017	2017	-1	-1	-1	10	-1	10000	不好！地精要携带玛雅大陆的财富逃跑！一定要拦截住他们！	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	445	-1	-1	1010	-1	-1	-1	-1	-1	-1	-1	0	-1	3000	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1015	贪财地精	1	24	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	99993	-1	-1	-1	10	-1	10000	不好！地精要携带玛雅大陆的财富逃跑！一定要拦截住他们！	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	445	-1	-1	1010	-1	-1	-1	-1	-1	-1	-1	0	-1	3000	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1019	守卫大陆	1	25	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	323	323	-1	-1	-1	10	-1	10000	魔域大举入侵玛雅大陆，请勇者们尽快的击杀这些怪物，可获得大量的经验奖励。	1	92000	-1	-1	-1	-1	-1	-1	-1	-1	446	-1	-1	1019	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	0	-1	1	1	-1	-1	-1	-1	-1	-1	89005|89006|89007|1290018|89008|89009|89010|1290019|89011|89012|89013|1290020|89014|89015|89016|1290021
1020	守卫大陆	1	25	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	45100	45100	-1	-1	-1	10	-1	10000	魔域大举入侵玛雅大陆，请勇者们尽快的击杀这些怪物，可获得大量的经验奖励。	1	92000	-1	-1	-1	-1	-1	-1	-1	-1	446	-1	-1	1020	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	0	-1	1	1	-1	-1	-1	-1	-1	-1	90005|90006|90007|1300018|90008|90009|90010|1300019|90011|90012|90013|1300020|90014|90015|90016|1300021
1021	守卫大陆	1	25	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	45101	45101	-1	-1	-1	10	-1	10000	魔域大举入侵玛雅大陆，请勇者们尽快的击杀这些怪物，可获得大量的经验奖励。	1	92010	-1	-1	-1	-1	-1	-1	-1	-1	446	-1	-1	1021	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	0	-1	1	1	-1	-1	-1	-1	-1	-1	90017|90018|90019|1300034|90020|90021|90022|1300035|90023|90024|90025|1300036|90026|90027|90028|1300037
1022	守卫大陆	1	25	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	45102	45102	-1	-1	-1	10	-1	10000	魔域大举入侵玛雅大陆，请勇者们尽快的击杀这些怪物，可获得大量的经验奖励。	1	92020	-1	-1	-1	-1	-1	-1	-1	-1	446	-1	-1	1022	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	0	-1	1	1	-1	-1	-1	-1	-1	-1	90029|90030|90031|1300050|90032|90033|90034|1300051|90035|90036|90037|1300052|90038|90039|90040|1300053
1023	守卫大陆	1	25	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	45103	45103	-1	-1	-1	10	-1	10000	魔域大举入侵玛雅大陆，请勇者们尽快的击杀这些怪物，可获得大量的经验奖励。	1	92030	-1	-1	-1	-1	-1	-1	-1	-1	446	-1	-1	1023	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	0	-1	1	1	-1	-1	-1	-1	-1	-1	90041|90042|90043|1300066|90044|90045|90046|1300067|90047|90048|90049|1300068|90050|90051|90052|1300069
1030	守卫大陆	1	25	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	99992	-1	-1	-1	10	-1	10000	魔域大举入侵玛雅大陆，请勇者们尽快的击杀这些怪物，可获得大量的经验奖励。	1	92030	-1	-1	-1	-1	-1	-1	-1	-1	446	-1	-1	1023	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	0	-1	1	1	-1	-1	-1	-1	-1	-1	90041|90042|90043|1300066|90044|90045|90046|1300067|90047|90048|90049|1300068|90050|90051|90052|1300069
1050	多人守卫大陆	1	23	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	2015	2015	-1	-1	-1	10	-1	10000	魔域不死心，居然积攒了更多的力量想要进攻大陆。\n恐怕凭借你一人之力难以应付，多叫上几个朋友一起守卫玛雅大陆！\n（据说黑市商人可能在此出没）	1	91016	2	91000	22066	91020	-1	-1	491	-1	447	-1	-1	1050	-1	120	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	1	-1	1	1	90	2500	-1	-1	-1	-1	-1
1060	多人守卫大陆	1	23	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	99994	-1	-1	-1	10	-1	10000	魔域不死心，居然积攒了更多的力量想要进攻大陆。\n恐怕凭借你一人之力难以应付，多叫上几个朋友一起守卫玛雅大陆！\n（据说黑市商人可能在此出没）	1	91016	2	91000	22066	91020	-1	-1	491	-1	447	-1	-1	1050	-1	120	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	2	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1
2000	神魔斗场	3	9	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49005	49005	2030	60	-1	10	-1	3000	神魔之战危险重重，摧毁敌方防线，击败对方的首领，\n夺得属于你的胜利！\n每天晚上20点-22点参与还有额外奖励！	11	10000	1	156000	2	31500	-1	-1	478	479	311	546	310	2000	547	6	-1	101007	101014	101000	101021	1	2	6000	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2001	神魔斗场	3	10	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49006	49006	2030	60	-1	10	-1	5000	神魔之战危险重重，摧毁敌方防线，击败对方的首领，\n夺得属于你的胜利！\n每天晚上20点-22点参与还有额外奖励！	11	15000	1	231000	2	61875	-1	-1	478	479	311	546	310	2001	547	7	-1	101008	101015	101001	101022	1	2	6001	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2002	神魔斗场	3	11	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49007	49007	2030	60	-1	10	-1	30000	神魔之战危险重重，摧毁敌方防线，击败对方的首领，\n夺得属于你的胜利！\n每天晚上20点-22点参与还有额外奖励！	11	20000	1	321000	2	91125	-1	-1	478	479	311	546	310	2002	547	8	-1	101009	101016	101002	101023	1	2	6002	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2003	神魔斗场	3	12	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49008	49008	2030	60	-1	10	-1	50000	神魔之战危险重重，摧毁敌方防线，击败对方的首领，\n夺得属于你的胜利！\n每天晚上20点-22点参与还有额外奖励！	11	25000	1	426000	2	124875	-1	-1	478	479	311	546	310	2003	547	9	-1	101010	101017	101003	101024	1	2	6003	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2004	神魔斗场	3	13	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49009	49009	2030	60	-1	10	-1	80000	神魔之战危险重重，摧毁敌方防线，击败对方的首领，\n夺得属于你的胜利！\n每天晚上20点-22点参与还有额外奖励！	11	30000	1	546000	2	164250	-1	-1	478	479	311	546	310	2004	547	10	-1	101011	101018	101004	101025	1	2	6004	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2100	冰域征战	3	15	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49505	49505	2030	60	-1	20	-1	3000	占领战场据点，获取积分奖励，磨练团队意志。\n占领更多的据点可以更快速获得积分，离胜利也就越近！\n每天晚上20点-22点参与还有额外奖励！	11	10000	1	156000	2	31500	-1	-1	478	479	438	548	439	2100	549	300	-1	102007	102014	102000	102021	1	2	6500	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2101	冰域征战	3	16	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49506	49506	2030	60	-1	20	-1	5000	占领战场据点，获取积分奖励，磨练团队意志。\n占领更多的据点可以更快速获得积分，离胜利也就越近！\n每天晚上20点-22点参与还有额外奖励！	11	15000	1	231000	2	61875	-1	-1	478	479	438	548	439	2101	549	301	-1	102008	102015	102001	102022	1	2	6500	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2102	冰域征战	3	17	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49507	49507	2030	60	-1	20	-1	30000	占领战场据点，获取积分奖励，磨练团队意志。\n占领更多的据点可以更快速获得积分，离胜利也就越近！\n每天晚上20点-22点参与还有额外奖励！	11	20000	1	321000	2	91125	-1	-1	478	479	438	548	439	2102	549	302	-1	102009	102016	102002	102023	1	2	6500	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2103	冰域征战	3	18	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49508	49508	2030	60	-1	20	-1	50000	占领战场据点，获取积分奖励，磨练团队意志。\n占领更多的据点可以更快速获得积分，离胜利也就越近！\n每天晚上20点-22点参与还有额外奖励！	11	25000	1	426000	2	124875	-1	-1	478	479	438	548	439	2103	549	303	-1	102010	102017	102003	102024	1	2	6500	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
2104	冰域征战	3	19	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49509	49509	2030	60	-1	20	-1	80000	占领战场据点，获取积分奖励，磨练团队意志。\n占领更多的据点可以更快速获得积分，离胜利也就越近！\n每天晚上20点-22点参与还有额外奖励！	11	30000	1	546000	2	164250	-1	-1	478	479	438	548	439	2104	549	304	-1	102011	102018	102004	102025	1	2	6500	-1	0	0	0	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
3000	恶魔回廊第一层	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	5	-1	3000	恶魔回廊中游荡着各种各样的怪物	1	1000	2	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	3000	-1	-1	0	1000	1000	6	-1	1	-1	-1	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3001	恶魔回廊第二层	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	5	-1	3000	恶魔回廊中游荡着各种各样的怪物	1	1000	2	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	3001	-1	-1	0	1000	1000	6	-1	1	-1	-1	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3002	恶魔回廊第三层	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	5	-1	3000	恶魔回廊中游荡着各种各样的怪物	1	1000	2	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	3002	-1	-1	0	1000	1000	6	-1	1	-1	-1	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3003	恶魔回廊第四层	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	5	-1	3000	恶魔回廊中游荡着各种各样的怪物	1	1000	2	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	3003	-1	-1	0	1000	1000	6	-1	1	-1	-1	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3004	恶魔回廊第五层	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	5	-1	3000	恶魔回廊中游荡着各种各样的怪物	1	1000	2	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	3004	-1	-1	0	1000	1000	6	-1	1	-1	-1	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4000	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45000	45000	-1	-1	-1	10	-1	10500	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。	2	90000	22018	5	-1	-1	-1	-1	-1	-1	299	-1	301	4000	-1	100	-1	3000000	240000	1000401	-1	0	0	1999	-1	1	1200000	600000	2	1	1	-1	-1	73	0	-1	-1	-1	-1	-1
4001	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45002	45002	-1	2	2	10	-1	10500	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]1-99级	2	90000	22018	6	-1	-1	-1	-1	-1	-1	299	-1	301	4001	-1	101	-1	3000000	240000	1000402	-1	0	0	2009	-1	1	1200000	600000	2	1	1	-1	-1	74	2500	-1	-1	-1	-1	-1
4002	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45003	45003	-1	2	2	10	-1	61000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]100-149级	2	180000	22018	8	-1	-1	-1	-1	-1	-1	299	-1	301	4002	-1	102	-1	6000000	360000	1000403	-1	0	0	2019	-1	1	2400000	1200000	2	1	1	-1	-1	75	2500	-1	-1	-1	-1	-1
4003	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45004	45004	-1	2	2	10	-1	132000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]150-199级	2	315000	22018	10	-1	-1	-1	-1	-1	-1	299	-1	301	4003	-1	103	-1	12000000	630000	1000404	-1	0	0	2029	-1	1	7680000	3840000	2	1	1	-1	-1	76	2500	-1	-1	-1	-1	-1
4004	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45005	45005	-1	2	2	10	-1	208000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]200-249级	2	495000	22018	12	-1	-1	-1	-1	-1	-1	299	-1	301	4004	-1	104	-1	12000000	990000	1000405	-1	0	0	2039	-1	1	10560000	5280000	2	1	1	-1	-1	77	2500	-1	-1	-1	-1	-1
4005	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45006	45006	-1	2	2	10	-1	395000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]250-299级	2	720000	22018	15	-1	-1	-1	-1	-1	-1	299	-1	301	4005	-1	105	-1	16000000	1440000	1000406	-1	0	0	2049	-1	1	13440000	6720000	2	1	1	-1	-1	78	2500	-1	-1	-1	-1	-1
4006	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45007	45007	-1	2	2	10	-1	580000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]300-349级	2	990000	22018	18	-1	-1	-1	-1	-1	-1	299	-1	301	4006	-1	106	-1	18000000	1980000	1000407	-1	0	0	2059	-1	1	16320000	8160000	2	1	1	-1	-1	79	2500	-1	-1	-1	-1	-1
4007	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	45008	45008	-1	2	2	10	-1	800000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]350-399级	2	1305000	22018	20	-1	-1	-1	-1	-1	-1	299	-1	301	4007	-1	107	-1	20000000	2610000	1000408	-1	0	0	2069	-1	1	19200000	9600000	2	1	1	-1	-1	80	2500	-1	-1	-1	-1	-1
4100	亡灵城堡	1	5	3	-1	-1	2	-1	22015	1	-1	-1	-1	-1	0	99999	-1	2	2	10	-1	800000	攻入亡灵建造的城堡，粉碎亡灵传送阵，彻底摧毁亡灵进攻玛雅大陆的阴谋诡计！\n城堡中的魔物十分凶恶，建议组队前往。\n（据说黑市商人可能在此出没）	2	1305000	22018	25	-1	-1	-1	-1	-1	-1	299	-1	301	4007	-1	107	-1	20000000	2610000	1000408	-1	0	0	2069	-1	1	19200000	9600000	2	1	1	-1	-1	80	2500	-1	-1	-1	-1	-1
5000	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45001	45001	-1	-1	-1	10	-1	6100	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。	22017	30	23198	1	-1	-1	-1	-1	-1	-1	300	-1	302	5000	-1	110	-1	2750000	0	1000301	-1	0	1	999	-1	1	1160000	580000	2	1	1	-1	-1	81	0	-1	-1	-1	-1	-1
5001	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45009	45009	-1	2	2	10	-1	6100	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]1-99级	22017	35	23198	1	-1	-1	-1	-1	-1	-1	300	-1	302	5001	-1	111	-1	2750000	0	1000302	-1	0	1	1009	-1	1	1160000	580000	2	1	1	-1	-1	82	2500	-1	-1	-1	-1	-1
5002	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45010	45010	-1	2	2	10	-1	61000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]100-149级	22017	40	23198	2	-1	-1	-1	-1	-1	-1	300	-1	302	5002	-1	112	-1	5500000	0	1000303	-1	0	1	1019	-1	1	2320000	1160000	2	1	1	-1	-1	83	2500	-1	-1	-1	-1	-1
5003	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45011	45011	-1	2	2	10	-1	132000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]150-199级	22017	45	23198	2	-1	-1	-1	-1	-1	-1	300	-1	302	5003	-1	113	-1	11000000	0	1000304	-1	0	1	1029	-1	1	7040000	3520000	2	1	1	-1	-1	84	2500	-1	-1	-1	-1	-1
5004	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45012	45012	-1	2	2	10	-1	208000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]200-249级	22017	50	23198	3	-1	-1	-1	-1	-1	-1	300	-1	302	5004	-1	114	-1	11000000	0	1000305	-1	0	1	1039	-1	1	9440000	4720000	2	1	1	-1	-1	85	2500	-1	-1	-1	-1	-1
5005	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45013	45013	-1	2	2	10	-1	395000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]250-299级	22017	55	23198	3	-1	-1	-1	-1	-1	-1	300	-1	302	5005	-1	115	-1	11000000	0	1000306	-1	0	1	1049	-1	1	11840000	5920000	2	1	1	-1	-1	86	2500	-1	-1	-1	-1	-1
5006	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45014	45014	-1	2	2	10	-1	580000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]300-349级	22017	60	23198	4	-1	-1	-1	-1	-1	-1	300	-1	302	5006	-1	116	-1	13000000	0	1000307	-1	0	1	1059	-1	1	14240000	7120000	2	1	1	-1	-1	87	2500	-1	-1	-1	-1	-1
5007	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	45015	45015	-1	2	2	10	-1	800000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）\n[FFD700]限制等级：[-]350-399级	22017	70	23198	4	-1	-1	-1	-1	-1	-1	300	-1	302	5007	-1	117	-1	15000000	0	1000308	-1	0	1	1069	-1	1	16640000	8320000	2	1	1	-1	-1	88	2500	-1	-1	-1	-1	-1
5100	地狱监牢	1	4	3	-1	-1	2	-1	22012	1	-1	-1	-1	-1	0	99999	-1	2	2	10	-1	800000	清理囚禁恶魔的监牢，重现玛雅勇者的荣耀！\n监牢中有大量的魔物，建议组队前往。\n（据说黑市商人可能在此出没）	22017	80	23198	4	-1	-1	-1	-1	-1	-1	300	-1	302	5007	-1	117	-1	17000000	0	1000308	-1	0	1	1069	-1	1	16640000	8320000	2	1	1	-1	-1	88	2500	-1	-1	-1	-1	-1
6000	世界魔王	1	6	3	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	2007	2007	1210|2130	12	2	10	-1	-1	警告！警告！火龙王再次来袭！玛雅大陆即将陷入危机！\n被圣光笼罩的勇士们啊！鼓起你们的勇气！拿起你们的武器！守护玛雅女神！消灭火龙王！(每天可参加两次)	22017	10	22018	5	-1	-1	-1	-1	-1	-1	27	-1	-1	6000	-1	200	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6010	世界魔王	1	6	3	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	0	99997	1210|2130	12	2	10	-1	-1	警告！警告！火龙王再次来袭！玛雅大陆即将陷入危机！\n被圣光笼罩的勇士们啊！鼓起你们的勇气！拿起你们的武器！守护玛雅女神！消灭火龙王！(每天可参加两次)	22017	10	22018	5	-1	-1	-1	-1	-1	-1	27	-1	-1	6000	-1	200	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6100	冰封神迹	4	20	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	2014	2014	-1	-1	-1	10	-1	-1	魔域想要抢夺遗迹！防御塔支撑不了多久，请勇者们一同前往守卫。\n在此活动中，守住的塔越多，评价星级就越高，获得的奖励也就越多喔！\n（据说黑市商人可能在此出没）	2	103000	7	103001	-1	-1	-1	-1	-1	-1	449	-1	-1	6100	-1	14	-1	-1	-1	-1	-1	0	1	8000	-1	1	6000000	3000000	2	1	-1	1	1	89	2500	-1	-1	-1	-1	-1
6105	冰封神迹	4	20	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	99988	-1	-1	-1	10	-1	-1	魔域想要抢夺遗迹！防御塔支撑不了多久，请勇者们一同前往守卫。\n在此活动中，守住的塔越多，评价星级就越高，获得的奖励也就越多喔！\n（据说黑市商人可能在此出没）	2	103000	7	103001	-1	-1	-1	-1	-1	-1	449	-1	-1	6100	-1	14	-1	-1	-1	-1	-1	0	1	8000	-1	1	6000000	3000000	2	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1
6110	灭世之战I:侵袭	4	33	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2002	-1	-1	-1	1	30	-1	320000	狂风肆虐，风沙撕裂天空，魔主的先锋部队兵分三路，直奔玛雅大陆的玛雅圣坛，防御塔即将破碎，勇士们为人类而战!	2	1000	2	1000	2	1000	2	1000	-1	1	-1	-1	-1	6110	-1	-1	-1	-1	-1	-1	-1	1	1	12001	-1	1	6000000	3000000	1	1	-1	1	1	-1	-1	225008	-1	  1.报名阶段:玩家可提升炮台等级.提升后炮塔血量及攻击技能强度增加，并且每次提升可获得道具礼包以及贡献值.\n  2.战斗阶段,4波怪物从三个方向攻击炮台及圣坛.\n  3.清空前三波怪物才出现第4波魔王,击杀魔王可获得宝箱奖励,有几率开出稀有道具.\n  4.战斗胜利时,炮台剩余数量越多,全服奖励越多(奖励通过邮件发送).\n  5.如果在倒计时结束前没有击杀所有BOSS会视为灭世失败.\n  6.灭世失败会导致全服玩家获得称号惩罚：[FF3A3A]劫后余生[-].\n  7.每场灭世战役中伤害最高的玩家会获得专属称号：[FFFF00]玛雅战神[-]，并被永久载入《救世英雄录》	1	226018|226000|226001|226002|226003|226004|226005
