INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
5190	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	13500	3300	3600	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5191	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	14000	11000	12000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5192	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	14500	11000	12000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5193	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	15000	25000	28000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5194	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	15500	25000	28000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5195	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	16000	32000	40000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5196	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	16500	32000	40000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5197	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	13000	3300	3600	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5198	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	13500	3300	3600	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5199	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	14000	11000	12000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5200	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	14500	11000	12000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5201	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	15000	25000	28000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5202	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	15500	25000	28000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5203	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	16000	32000	40000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5204	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	16500	32000	40000	0	1	-1	3	1	13	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5205	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5206	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5207	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	100	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5208	0	1005	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5209	0	1003	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5210	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5211	0	1005	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5212	0	1003	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5213	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	300	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5214	0	1005	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5215	0	1003	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5216	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	400	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5217	0	1005	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5218	0	1003	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5219	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	500	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5220	0	1005	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5221	0	1003	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	40	60	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5222	0	502	-1	2000	0	6	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	9	3	-1	3	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5223	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5224	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5225	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	20	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5226	0	0	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	3	-1	0	0	4	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5227	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5228	0	502	-1	2000	0	6	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	9	3	-1	3	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5229	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5230	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5231	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	20	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5232	0	0	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	3	-1	0	0	4	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5233	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5234	0	502	-1	2000	0	6	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	9	3	-1	3	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5235	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5236	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5237	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	20	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5238	0	0	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	3	-1	0	0	4	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5239	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5240	0	502	-1	2000	0	6	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	9	3	-1	3	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5241	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5242	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5243	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	20	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5244	0	0	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	3	-1	0	0	4	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5245	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5246	0	1125	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	100	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5247	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5248	0	-1	-1	2000	0	1	1	0	1	1	-1	-1	-1	-1	-1	2	3	-1	25	25	-3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5249	0	1106	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5250	1	-1	-1	4000	0	1	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-6000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5251	0	1125	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	100	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5252	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	300	750	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5253	0	-1	-1	2000	0	1	1	0	1	1	-1	-1	-1	-1	-1	2	3	-1	25	25	-3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5254	0	1106	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5255	1	-1	-1	4000	0	1	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-6000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5256	0	1125	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	100	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5257	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	400	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5258	0	-1	-1	2000	0	1	1	0	1	1	-1	-1	-1	-1	-1	2	3	-1	25	25	-3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5259	0	1106	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5260	1	-1	-1	4000	0	1	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-6000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5261	0	1125	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	100	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5262	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	500	1250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5263	0	-1	-1	2000	0	1	1	0	1	1	-1	-1	-1	-1	-1	2	3	-1	25	25	-3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5264	0	1106	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5265	1	-1	-1	4000	0	1	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-6000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5266	0	1125	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	100	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5267	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	500	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5268	0	-1	-1	2000	0	1	1	0	1	1	-1	-1	-1	-1	-1	2	3	-1	25	25	-3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5269	0	1106	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5270	1	-1	-1	4000	0	1	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-6000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5271	0	-1	-1	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-4000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5272	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5273	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5274	0	-1	-1	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-4000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5275	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5276	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5277	0	-1	-1	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-4000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5278	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5279	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5280	0	-1	-1	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	2	3	-1	25	25	-4000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5281	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5282	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4000	200	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
