INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	FLOAT
1205	15012	13	1206	5	5250	22066	10	105	41057	10	16422	11	16422	13	492687	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1206	15012	13	1207	6	5340	22066	10	105	41507	10	16603	11	16603	13	498093	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1207	15012	13	1208	7	5430	22066	10	105	41961	10	16784	11	16784	13	503532	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1208	15012	13	1209	8	5520	22066	10	105	42416	10	16966	11	16966	13	509002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1209	15012	13	1210	9	5610	22066	10	105	42875	10	17150	11	17150	13	514506	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1210	15012	13	1211	10	5690	22066	10	105	43336	10	17334	11	17334	13	520042	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1211	15012	13	1212	11	5790	22066	10	105	43800	10	17520	11	17520	13	525610	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1212	15012	13	1213	12	5880	22066	10	105	44267	10	17707	11	17707	13	531211	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1213	15012	13	-1	13	5970	22066	10	105	44737	10	17894	11	17894	13	536845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
10001	15013	14	-1	1	-1	15013	1	105	447	10	111	11	111	13	3725	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3000	1	99999
10002	15014	15	-1	1	-1	15014	1	105	897	10	224	11	224	13	7475	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3500	1	99999
10003	15015	16	-1	1	-1	15015	1	105	1497	10	374	11	374	13	12475	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4000	1	99999
10004	15016	17	-1	1	-1	15016	1	105	1920	10	480	11	480	13	16000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4500	1	99999
10005	15017	18	-1	1	-1	15017	1	105	2385	10	596	11	596	13	19875	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5000	1	99999
10006	15018	19	-1	1	-1	15018	1	105	2997	10	749	11	749	13	24975	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5500	1	99999
10007	15019	20	-1	1	-1	15019	1	105	4470	10	1117	11	1117	13	37250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	6000	1	99999
10008	15020	21	-1	1	-1	15020	1	105	8985	10	2246	11	2246	13	74875	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	6500	1	99999
