INT	STRING	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT
394	主线:恐怖木乃伊	0	304	0	-1	85	7	57.47	108.78	0	7	79	107	-1	1	1083	80	-1	85	7	57.47	108.78	395	-1	1	10605772	2	211550	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2604	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
395	主线:打不死的小强	0	305	0	-1	85	7	57.47	108.78	0	7	107	107	-1	1	1084	80	-1	85	7	57.47	108.78	396	-1	1	10666824	2	212200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
396	主线:复活了	0	306	0	-1	85	7	57.47	108.78	0	7	57	109	-1	0	79	-1	-1	79	7	41.87	88.92	397	-1	1	10728142	2	212850	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2606	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
397	主线:遗迹探索	0	307	0	-1	79	7	41.87	88.92	0	7	102	110	-1	3	1500	10050	-1	79	7	41.87	88.92	398	-1	1	10789729	2	213502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2607	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
398	主线:已咒破咒	0	308	0	-1	79	7	41.87	88.92	0	7	42	89	-1	21	207	1	-1	79	7	41.87	88.92	822	-1	1	10851584	2	214154	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2608	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
399	主线:达到285级	0	733	0	-1	79	7	41.87	88.92	1	13	3	-1	-1	18	46	285	-1	79	7	41.87	88.92	500	-1	1	11356196	2	219410	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2609	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
400	主线:战前准备	0	414	0	-1	79	7	41.87	88.92	0	7	42	89	-1	0	76	-1	-1	76	7	29	42	401	-1	1	12765887	2	233512	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2610	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
401	主线:藏身处	0	311	0	-1	76	7	29	42	0	7	19	71	-1	0	80	-1	-1	80	7	17.5	70.3	402	-1	1	12836178	2	234194	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2611	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
402	主线:沙城密道	0	312	0	-1	80	7	17.5	70.3	0	7	9	70	-1	0	79	-1	-1	79	7	41.87	88.92	403	-1	1	12906764	2	234878	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2612	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
403	主线:赫卡权杖	0	313	0	-1	79	7	41.87	88.92	0	7	90	23	-1	4	25557	30	1074	79	7	41.87	88.92	404	-1	1	12977644	2	235562	-1	-1	25557	5000	1074	-1	-1	-1	-1	-1	2613	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
404	主线:万斯权杖	0	314	0	-1	79	7	41.87	88.92	0	7	145	81	-1	4	25558	30	1076	79	7	41.87	88.92	405	-1	1	13048820	2	236248	-1	-1	25558	5000	1076	-1	-1	-1	-1	-1	2614	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
405	主线:圣心护符	0	315	0	-1	79	7	41.87	88.92	0	7	39	66	-1	4	25559	30	1078	79	7	41.87	88.92	406	-1	1	13120292	2	236934	-1	-1	25559	5000	1078	-1	-1	-1	-1	-1	2615	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
406	主线:连枷权杖	0	316	0	-1	79	7	41.87	88.92	0	7	50	117	-1	4	25560	30	1080	79	7	41.87	88.92	407	-1	1	13192062	2	237622	-1	-1	25560	5000	1080	-1	-1	-1	-1	-1	2616	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
407	主线:亚提夫王冠	0	317	0	-1	79	7	41.87	88.92	0	7	119	46	-1	4	25561	20	1082	79	7	41.87	88.92	408	-1	1	13264129	2	238310	-1	-1	25561	5000	1082	-1	-1	-1	-1	-1	2617	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
408	主线:咒语	0	318	0	-1	79	7	41.87	88.92	0	7	93	107	-1	4	25562	20	1084	79	7	41.87	88.92	409	-1	1	13336496	2	239000	-1	-1	25562	5000	1084	-1	-1	-1	-1	-1	2618	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
409	主线:开启密道	0	319	0	-1	79	7	41.87	88.92	0	7	45	107	-1	3	1500	10051	-1	84	7	30	93.75	410	-1	1	13409162	2	239690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2619	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
410	主线:吞噬沙城	0	320	0	-1	84	7	30	93.75	1	25	6	0	-1	7	18	1	-1	84	7	30	93.75	844	-1	1	13482129	2	240382	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2620	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
411	主线:羽翼丰满	0	52	0	-1	28	3	47.26	82.55	0	3	57	80	-1	0	0	-1	-1	28	3	47.26	82.55	121	-1	1	4356	2	3470	22000	1	-1	-1	-1	-1	-1	-1	-1	-1	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
412	主线:许愿女神	0	323	0	-1	25	3	40.53	94.16	1	60	1	-1	-1	7	1019	1	-1	28	3	47.26	82.55	-1	-1	1	6669	22066	4	15000	1	-1	6000	-1	-1	-1	-1	-1	-1	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
413	主线:守护女神	0	119	0	-1	25	3	40.53	94.16	1	13	3	-1	-1	18	46	85	-1	28	3	47.26	82.55	412	-1	1	18990	2	7222	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	226	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
414	主线:学习回收	0	324	0	-1	42	3	42.03	101.61	0	3	42	99	-1	0	42	-1	-1	42	3	42.03	101.61	143	-1	1	48558	2	3614	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	227	-1	-1	-1	-1	-1	209201	1	-1	-1	309201	1	-1	-1	409201	1	-1	-1	-1	0	0	-1	-1	-1	-1
415	主线:残剑	0	104	0	-1	51	2	47.2	25.3	0	2	83	106	-1	4	25555	20	1029	51	2	47.2	25.3	416	-1	1	45661	2	9400	-1	-1	25555	6000	1029	-1	-1	-1	-1	-1	270	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
416	主线:箭矢	0	325	0	-1	51	2	47.2	25.3	0	2	33	105	-1	4	25555	20	1026	51	2	47.2	25.3	417	-1	1	21364	2	9530	-1	-1	25555	6000	1026	-1	-1	-1	-1	-1	271	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
417	主线:武器缺乏	0	326	0	-1	51	2	47.2	25.3	0	2	60	111	-1	0	47	-1	-1	47	2	58.8	110.7	418	-1	1	22757	2	9662	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	272	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
418	主线:锻造武器	0	327	0	-1	47	2	58.8	110.7	0	2	64	114	-1	3	1500	10055	-1	51	2	47.2	25.3	419	-1	1	20755	2	9794	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	273	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
419	主线:达到120级	0	328	0	-1	51	2	47.2	25.3	1	13	3	-1	-1	18	46	120	-1	51	2	47.2	25.3	212	-1	1	39919	2	9928	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	274	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
420	主线:装备破损	0	207	0	-1	54	2	110.62	67.16	0	2	110	43	-1	4	25551	30	1025	54	2	110.62	67.16	421	-1	1	47705	2	12050	-1	-1	25551	7000	1025	-1	-1	-1	-1	-1	275	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
421	主线:恶心的虫子	0	330	0	-1	54	2	110.62	67.16	0	2	83	67	-1	1	1023	30	-1	54	2	110.62	67.16	422	-1	1	24640	2	12200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	276	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
422	主线:材料	0	331	0	-1	54	2	110.62	67.16	0	2	124	43	-1	4	25548	30	1028	54	2	110.62	67.16	423	-1	1	48477	2	12350	-1	-1	25548	7000	1028	-1	-1	-1	-1	-1	277	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
423	主线:报告	0	332	0	-1	54	2	110.62	67.16	0	2	48	40	-1	0	51	-1	-1	51	2	47.2	25.3	528	-1	1	24647	2	12502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	278	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
424	主线:达到130级	0	446	0	-1	51	2	47.2	25.3	1	13	3	-1	-1	18	46	130	-1	54	2	110.62	67.16	234	-1	1	53727	2	13910	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	279	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
425	主线:上报战况	0	223	0	-1	53	2	111.49	70.84	0	2	80	76	-1	0	46	-1	-1	46	2	94.2	101.3	426	-1	1	54617	2	16792	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	280	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
426	主线:收集毒素（1）	0	335	0	-1	46	2	94.2	101.3	0	2	90	64	-1	4	25549	30	1023	46	2	94.2	101.3	427	-1	1	54978	2	16970	-1	-1	25549	7000	1023	-1	-1	-1	-1	-1	281	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
427	主线:收集毒素（2）	0	336	0	-1	46	2	94.2	101.3	0	2	98	28	-1	4	25549	30	1031	46	2	94.2	101.3	428	-1	1	60579	2	17150	-1	-1	25549	7000	1031	-1	-1	-1	-1	-1	282	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
428	主线:秘密武器	0	337	0	-1	46	2	94.2	101.3	0	2	109	70	-1	0	53	-1	-1	53	2	111.49	70.84	545	-1	1	39824	2	17330	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	283	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
429	主线:达到140级	0	463	0	-1	53	2	111.49	70.84	1	13	3	-1	-1	18	46	140	-1	53	2	111.49	70.84	226	-1	1	68157	2	19000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	284	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
430	主线:准备	0	105	0	-1	25	3	40.53	94.16	0	5	103	82	-1	0	31	103	82	31	5	112.2	64.7	431	-1	1	57019	2	22374	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	285	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
431	主线:秘密武器	0	340	0	-1	31	5	112.2	64.7	0	2	109	70	-1	0	53	-1	-1	53	2	111.49	70.84	432	-1	1	97761	2	22582	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	286	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
432	主线:试验	0	341	0	-1	53	2	111.49	70.84	0	2	109	70	-1	5	118	-1	-1	53	2	111.49	70.84	518	-1	1	87934	2	22790	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	287	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
433	主线:北方的阴影	0	101	0	-1	53	2	111.49	70.84	0	2	79	76	-1	0	46	-1	-1	46	2	94.2	101.3	561	-1	1	37284	2	23422	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	288	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
434	主线:达到150级	0	480	0	-1	46	2	94.2	101.3	1	13	3	-1	-1	18	46	150	-1	46	2	94.2	101.3	250	-1	1	274354	2	25592	22064	1	-1	-1	-1	-1	-1	-1	-1	-1	289	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
435	主线:教训巫师	0	131	0	-1	59	4	60	89.1	0	4	70	98	-1	1	1035	80	-1	59	4	60	89.1	436	-1	1	326007	2	28562	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	290	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
436	主线:奇怪的石头	0	345	0	-1	59	4	60	89.1	0	4	93	66	-1	0	66	-1	-1	66	4	89.8	22.9	437	-1	1	330264	2	28798	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	291	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
437	主线:同伴	0	346	0	-1	66	4	89.8	22.9	0	4	69	57	-1	1	1037	80	-1	66	4	89.8	22.9	438	-1	1	334564	2	29034	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	292	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
438	主线:好奇心	0	347	0	-1	66	4	89.8	22.9	0	4	59	86	-1	0	59	-1	-1	59	4	60	89.1	575	-1	1	338906	2	29272	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	293	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
439	主线:达到160级	0	490	0	-1	59	4	60	89.1	1	13	3	-1	-1	18	46	160	-1	59	4	60	89.1	257	-1	1	365864	2	30718	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	294	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
440	主线:残忍的魔鬼	0	139	0	-1	63	4	81	73	0	4	70	70	-1	1	1037	80	-1	63	4	81	73	441	-1	1	435109	2	34232	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	295	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
441	主线:集结	0	350	0	-1	63	4	81	73	0	4	19	44	-1	0	67	-1	-1	67	4	16.64	42.47	442	-1	1	440411	2	34490	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	296	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
442	主线:先知的预言	0	351	0	-1	67	4	16.64	42.47	0	4	92	27	-1	0	62	-1	-1	62	4	89.31	26.92	443	-1	1	445762	2	34750	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	297	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
443	主线:厄运降临	0	352	0	-1	62	4	89.31	26.92	0	4	82	100	-1	4	25504	30	1035	63	4	81	73	585	-1	1	451163	2	35010	-1	-1	25504	3000	1035	-1	-1	-1	-1	-1	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
444	主线:达到170级	0	500	0	-1	63	4	81	73	1	13	3	-1	-1	18	46	170	-1	63	4	81	73	265	-1	1	484625	2	36594	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	299	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
445	主线:培训	0	146	0	-1	60	4	93.6	58.4	0	4	63	27	-1	0	61	-1	-1	61	4	64.3	25.6	446	-1	1	563622	2	40150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1950	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
446	主线:抗毒技巧	0	355	0	-1	61	4	64.3	25.6	0	4	44	32	-1	1	1034	80	-1	61	4	64.3	25.6	447	-1	1	570083	2	40430	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1951	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
447	主线:魔鬼来袭	0	356	0	-1	61	4	64.3	25.6	0	4	69	57	-1	1	1037	80	-1	61	4	64.3	25.6	448	-1	1	576600	2	40712	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1952	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
448	主线:完成训练	0	357	0	-1	61	4	64.3	25.6	0	4	92	60	-1	0	60	-1	-1	60	4	93.6	58.4	595	-1	1	583174	2	40994	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1953	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
449	主线:达到180级	0	510	0	-1	60	4	93.6	58.4	1	13	3	-1	-1	18	46	180	-1	60	4	93.6	58.4	272	-1	1	623833	2	42710	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1954	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
450	主线:收集方法	0	158	0	-1	66	4	89.8	22.9	0	1	127	80	-1	0	15	-1	-1	15	1	112.03	57.24	451	-1	1	719369	2	46552	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1955	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
451	主线:工具	0	360	0	-1	15	1	112.03	57.24	0	1	22	58	-1	3	1500	10008	-1	15	1	112.03	57.24	452	-1	1	727157	2	46854	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1956	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
452	主线:凝魂法阵	0	361	0	-1	15	1	112.03	57.24	0	4	93	22	-1	0	66	-1	-1	66	4	89.8	22.9	453	-1	1	735009	2	47158	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1957	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
453	主线:完成	0	362	0	-1	66	4	89.8	22.9	0	4	80	36	-1	1	1039	50	-1	66	4	89.8	22.9	605	-1	1	742927	2	47462	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1958	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
454	主线:到达190级	0	520	0	-1	66	4	89.8	22.9	1	13	3	-1	-1	18	46	190	-1	66	4	89.8	22.9	279	-1	1	791814	2	49310	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1959	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
455	支:劳瑞斯的线索	1	167	0	-1	22	3	81.9	90.7	0	4	92	27	-1	0	62	-1	-1	62	4	89.31	26.92	456	-1	1	829075	2	84521	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1960	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
456	支:古遗迹海域地图	1	365	0	-1	62	4	89.31	26.92	0	4	67	11	-1	4	25504	1	1038	62	4	89.31	26.92	457	-1	1	465661	2	103241	-1	-1	25504	500	1038	-1	-1	-1	-1	-1	1961	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
457	支:气息魔法	1	366	0	-1	62	4	89.31	26.92	0	4	91	85	-1	4	25520	25	1036	62	4	89.31	26.92	458	-1	1	941934	2	95625	-1	-1	25520	4000	1036	-1	-1	-1	-1	-1	1962	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
458	支:精灵赐福	1	367	0	-1	62	4	89.31	26.92	0	5	124	72	-1	0	20	-1	-1	30	5	124.3	73.3	459	-1	1	563327	2	35415	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1963	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
459	主线:达到200级	1	99999	0	-1	30	5	124.3	73.3	1	13	3	-1	-1	18	46	200	-1	30	5	124.3	73.3	301	-1	1	2897439	2	125645	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1964	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
460	主线:人鱼的秘密	0	178	0	-1	70	6	66.4	26.9	0	6	38	43	-1	4	25531	25	1041	70	6	66.4	26.9	461	-1	1	1230222	2	63962	-1	-1	25531	3000	1041	-1	-1	-1	-1	-1	1965	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
461	主线:无法呼吸	0	370	0	-1	70	6	66.4	26.9	0	6	15	70	-1	0	69	15	70	69	6	12.96	73.44	462	-1	1	1241976	2	64318	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1966	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
462	主线:可怜的海兽	0	371	0	-1	69	6	12.96	73.44	0	6	13	47	-1	4	25546	25	1040	70	6	66.4	26.9	463	-1	1	1253818	2	64674	-1	-1	25546	3000	1040	-1	-1	-1	-1	-1	1967	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
463	主线:恢复活力	0	372	0	-1	70	6	66.4	26.9	0	6	21	19	-1	3	1500	10056	-1	70	6	66.4	26.9	464	-1	1	1265745	2	65032	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1968	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
464	主线:达到210级	0	373	0	-1	70	6	66.4	26.9	1	13	3	-1	-1	18	46	210	-1	70	6	66.4	26.9	309	-1	1	1277760	2	65390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1969	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
465	主线:鬼面海怪	0	185	0	-1	70	6	66.4	26.9	0	6	94	32	-1	1	1042	80	-1	70	6	66.4	26.9	466	-1	1	1565005	2	73530	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1970	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
466	主线:相同的饰品	0	375	0	-1	70	6	66.4	26.9	0	6	45	56	-1	0	74	-1	-1	74	6	45.2	58.5	467	-1	1	1579145	2	73912	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1971	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
467	主线:人鱼公主的推测	0	376	0	-1	74	6	45.2	58.5	0	6	93	33	-1	4	25531	35	1042	74	6	45.2	58.5	468	-1	1	1593384	2	74294	-1	-1	25531	3000	1042	-1	-1	-1	-1	-1	1972	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
468	主线:饰品的来历	0	377	0	-1	74	6	45.2	58.5	0	6	27	80	-1	0	72	-1	-1	72	6	25.5	83.5	650	-1	1	1607721	2	74678	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1973	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
