INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2517	-1	-1	-1	-1	-1	-1	10000	2517	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2518	-1	-1	-1	-1	-1	-1	10000	2518	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2534	-1	-1	-1	-1	-1	-1	10000	2534	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2535	-1	-1	-1	-1	-1	-1	10000	2535	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2536	-1	-1	-1	-1	-1	-1	10000	2536	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2537	-1	-1	-1	-1	-1	-1	10000	2537	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3000	-1	-1	-1	-1	-1	1	10000	3000	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3001	-1	-1	-1	-1	-1	1	10000	3001	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3002	-1	-1	-1	-1	-1	1	10000	3002	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3003	-1	-1	-1	-1	-1	1	10000	3003	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3004	-1	-1	-1	-1	-1	1	10000	3004	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3005	-1	-1	-1	-1	-1	1	10000	3005	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9894	-1	-1	-1	-1	-1	1	10000	9890	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9895	-1	-1	-1	-1	-1	1	10000	3005	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9896	-1	-1	-1	-1	-1	1	10000	9899	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9897	-1	-1	-1	-1	-1	-1	10000	9892	1	1	-1	10000	9893	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9898	-1	-1	-1	-1	-1	-1	10000	9894	1	1	-1	10000	9895	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9899	-1	-1	-1	-1	-1	-1	10000	9896	1	1	-1	10000	9897	1	1	-1	10000	9898	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9900	-1	-1	573	15	9896	-1	10000	9900	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9901	-1	-1	-1	-1	-1	1	10000	9901	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9902	-1	-1	-1	-1	-1	1	10000	9902	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9903	-1	-1	-1	-1	-1	1	10000	9903	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9904	-1	-1	-1	-1	-1	1	10000	9904	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9999	-1	-1	-1	-1	-1	1	10000	9999	1	1	2	10000	9998	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10000	-1	-1	-1	-1	-1	0	1000	10000	1	1	0	8000	10001	1	1	0	1000	10002	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10001	-1	-1	-1	-1	-1	0	6000	10001	1	1	0	4000	10002	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10002	-1	-1	-1	-1	-1	0	4000	10001	1	1	0	5500	10002	1	1	0	500	10003	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10003	-1	-1	-1	-1	-1	0	9000	10002	1	1	0	1000	10003	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10004	-1	-1	-1	-1	-1	0	7000	10002	1	1	0	2500	10003	1	1	0	500	10004	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10005	-1	-1	-1	-1	-1	0	9000	10003	1	1	0	1000	10004	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10010	-1	-1	-1	-1	-1	0	1000	10000	1	1	0	8000	10001	1	1	0	1000	10002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10011	-1	-1	-1	-1	-1	0	6000	10001	1	1	0	4000	10002	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10012	-1	-1	-1	-1	-1	0	4000	10001	1	1	0	5900	10002	1	1	0	100	10003	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10013	-1	-1	-1	-1	-1	0	9000	10002	1	1	0	1000	10003	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10100	-1	-1	-1	-1	-1	-1	10000	10100	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10101	-1	-1	-1	-1	-1	-1	10000	10101	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20000	-1	-1	-1	-1	-1	-1	10000	20000	1	1	-1	5000	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1	-1	0	20000	1	1
20001	-1	-1	-1	-1	-1	-1	10000	20001	1	1	-1	5000	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1	-1	0	20001	1	1
20002	-1	-1	-1	-1	-1	-1	10000	20002	1	1	-1	6666	20002	1	1	-1	3333	20002	1	1	-1	0	20002	1	1	-1	0	20002	1	1	-1	0	20002	1	1	-1	0	20002	1	1	-1	0	20002	1	1	-1	0	20002	1	1	-1	0	20002	1	1
20003	-1	-1	-1	-1	-1	-1	10000	20003	1	1	-1	6666	20003	1	1	-1	3333	20003	1	1	-1	0	20003	1	1	-1	0	20003	1	1	-1	0	20003	1	1	-1	0	20003	1	1	-1	0	20003	1	1	-1	0	20003	1	1	-1	0	20003	1	1
20004	-1	-1	-1	-1	-1	-1	10000	20004	1	1	-1	7500	20004	1	1	-1	5000	20004	1	1	-1	2500	20004	1	1	-1	0	20004	1	1	-1	0	20004	1	1	-1	0	20004	1	1	-1	0	20004	1	1	-1	0	20004	1	1	-1	0	20004	1	1
20005	-1	-1	-1	-1	-1	-1	10000	20005	1	1	-1	7500	20005	1	1	-1	5000	20005	1	1	-1	2500	20005	1	1	-1	0	20005	1	1	-1	0	20005	1	1	-1	0	20005	1	1	-1	0	20005	1	1	-1	0	20005	1	1	-1	0	20005	1	1
20006	-1	-1	-1	-1	-1	-1	10000	20006	1	1	-1	7500	20006	1	1	-1	5000	20006	1	1	-1	2500	20006	1	1	-1	0	20006	1	1	-1	0	20006	1	1	-1	0	20006	1	1	-1	0	20006	1	1	-1	0	20006	1	1	-1	0	20006	1	1
20007	-1	-1	-1	-1	-1	-1	10000	20007	1	1	-1	10000	20007	1	1	-1	6666	20007	1	1	-1	3333	20007	1	1	-1	0	20007	1	1	-1	0	20007	1	1	-1	0	20007	1	1	-1	0	20007	1	1	-1	0	20007	1	1	-1	0	20007	1	1
20008	-1	-1	-1	-1	-1	-1	10000	20008	1	1	-1	10000	20008	1	1	-1	6666	20008	1	1	-1	3333	20008	1	1	-1	0	20008	1	1	-1	0	20008	1	1	-1	0	20008	1	1	-1	0	20008	1	1	-1	0	20008	1	1	-1	0	20008	1	1
20009	-1	-1	-1	-1	-1	-1	10000	20009	1	1	-1	10000	20009	1	1	-1	6666	20009	1	1	-1	3333	20009	1	1	-1	0	20009	1	1	-1	0	20009	1	1	-1	0	20009	1	1	-1	0	20009	1	1	-1	0	20009	1	1	-1	0	20009	1	1
20010	-1	-1	-1	-1	-1	-1	10000	20010	1	1	-1	5000	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1	-1	0	20010	1	1
20011	-1	-1	-1	-1	-1	-1	10000	20011	1	1	-1	5000	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1	-1	0	20011	1	1
20012	-1	-1	-1	-1	-1	-1	10000	20012	1	1	-1	6666	20012	1	1	-1	3333	20012	1	1	-1	0	20012	1	1	-1	0	20012	1	1	-1	0	20012	1	1	-1	0	20012	1	1	-1	0	20012	1	1	-1	0	20012	1	1	-1	0	20012	1	1
20013	-1	-1	-1	-1	-1	-1	10000	20013	1	1	-1	6666	20013	1	1	-1	3333	20013	1	1	-1	0	20013	1	1	-1	0	20013	1	1	-1	0	20013	1	1	-1	0	20013	1	1	-1	0	20013	1	1	-1	0	20013	1	1	-1	0	20013	1	1
20014	-1	-1	-1	-1	-1	-1	10000	20014	1	1	-1	7500	20014	1	1	-1	5000	20014	1	1	-1	2500	20014	1	1	-1	0	20014	1	1	-1	0	20014	1	1	-1	0	20014	1	1	-1	0	20014	1	1	-1	0	20014	1	1	-1	0	20014	1	1
20015	-1	-1	-1	-1	-1	-1	10000	20015	1	1	-1	7500	20015	1	1	-1	5000	20015	1	1	-1	2500	20015	1	1	-1	0	20015	1	1	-1	0	20015	1	1	-1	0	20015	1	1	-1	0	20015	1	1	-1	0	20015	1	1	-1	0	20015	1	1
20016	-1	-1	-1	-1	-1	-1	10000	20016	1	1	-1	7500	20016	1	1	-1	5000	20016	1	1	-1	2500	20016	1	1	-1	0	20016	1	1	-1	0	20016	1	1	-1	0	20016	1	1	-1	0	20016	1	1	-1	0	20016	1	1	-1	0	20016	1	1
20017	-1	-1	-1	-1	-1	-1	10000	20017	1	1	-1	10000	20017	1	1	-1	6666	20017	1	1	-1	3333	20017	1	1	-1	0	20017	1	1	-1	0	20017	1	1	-1	0	20017	1	1	-1	0	20017	1	1	-1	0	20017	1	1	-1	0	20017	1	1
20018	-1	-1	-1	-1	-1	-1	10000	20018	1	1	-1	10000	20018	1	1	-1	6666	20018	1	1	-1	3333	20018	1	1	-1	0	20018	1	1	-1	0	20018	1	1	-1	0	20018	1	1	-1	0	20018	1	1	-1	0	20018	1	1	-1	0	20018	1	1
20019	-1	-1	-1	-1	-1	-1	10000	20019	1	1	-1	10000	20019	1	1	-1	6666	20019	1	1	-1	3333	20019	1	1	-1	0	20019	1	1	-1	0	20019	1	1	-1	0	20019	1	1	-1	0	20019	1	1	-1	0	20019	1	1	-1	0	20019	1	1
20020	-1	-1	-1	-1	-1	-1	10000	20020	1	1	-1	5000	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1	-1	0	20020	1	1
20021	-1	-1	-1	-1	-1	-1	10000	20021	1	1	-1	5000	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1	-1	0	20021	1	1
20022	-1	-1	-1	-1	-1	-1	10000	20022	1	1	-1	6666	20022	1	1	-1	3333	20022	1	1	-1	0	20022	1	1	-1	0	20022	1	1	-1	0	20022	1	1	-1	0	20022	1	1	-1	0	20022	1	1	-1	0	20022	1	1	-1	0	20022	1	1
20023	-1	-1	-1	-1	-1	-1	10000	20023	1	1	-1	6666	20023	1	1	-1	3333	20023	1	1	-1	0	20023	1	1	-1	0	20023	1	1	-1	0	20023	1	1	-1	0	20023	1	1	-1	0	20023	1	1	-1	0	20023	1	1	-1	0	20023	1	1
20024	-1	-1	-1	-1	-1	-1	10000	20024	1	1	-1	7500	20024	1	1	-1	5000	20024	1	1	-1	2500	20024	1	1	-1	0	20024	1	1	-1	0	20024	1	1	-1	0	20024	1	1	-1	0	20024	1	1	-1	0	20024	1	1	-1	0	20024	1	1
20025	-1	-1	-1	-1	-1	-1	10000	20025	1	1	-1	7500	20025	1	1	-1	5000	20025	1	1	-1	2500	20025	1	1	-1	0	20025	1	1	-1	0	20025	1	1	-1	0	20025	1	1	-1	0	20025	1	1	-1	0	20025	1	1	-1	0	20025	1	1
20026	-1	-1	-1	-1	-1	-1	10000	20026	1	1	-1	7500	20026	1	1	-1	5000	20026	1	1	-1	2500	20026	1	1	-1	0	20026	1	1	-1	0	20026	1	1	-1	0	20026	1	1	-1	0	20026	1	1	-1	0	20026	1	1	-1	0	20026	1	1
20027	-1	-1	-1	-1	-1	-1	10000	20027	1	1	-1	10000	20027	1	1	-1	6666	20027	1	1	-1	3333	20027	1	1	-1	0	20027	1	1	-1	0	20027	1	1	-1	0	20027	1	1	-1	0	20027	1	1	-1	0	20027	1	1	-1	0	20027	1	1
20028	-1	-1	-1	-1	-1	-1	10000	20028	1	1	-1	10000	20028	1	1	-1	6666	20028	1	1	-1	3333	20028	1	1	-1	0	20028	1	1	-1	0	20028	1	1	-1	0	20028	1	1	-1	0	20028	1	1	-1	0	20028	1	1	-1	0	20028	1	1
20029	-1	-1	-1	-1	-1	-1	10000	20029	1	1	-1	10000	20029	1	1	-1	6666	20029	1	1	-1	3333	20029	1	1	-1	0	20029	1	1	-1	0	20029	1	1	-1	0	20029	1	1	-1	0	20029	1	1	-1	0	20029	1	1	-1	0	20029	1	1
20030	-1	-1	-1	-1	-1	-1	10000	20030	1	1	-1	5000	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1	-1	0	20030	1	1
20031	-1	-1	-1	-1	-1	-1	10000	20031	1	1	-1	5000	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1	-1	0	20031	1	1
20032	-1	-1	-1	-1	-1	-1	10000	20032	1	1	-1	6666	20032	1	1	-1	3333	20032	1	1	-1	0	20032	1	1	-1	0	20032	1	1	-1	0	20032	1	1	-1	0	20032	1	1	-1	0	20032	1	1	-1	0	20032	1	1	-1	0	20032	1	1
20033	-1	-1	-1	-1	-1	-1	10000	20033	1	1	-1	6666	20033	1	1	-1	3333	20033	1	1	-1	0	20033	1	1	-1	0	20033	1	1	-1	0	20033	1	1	-1	0	20033	1	1	-1	0	20033	1	1	-1	0	20033	1	1	-1	0	20033	1	1
20034	-1	-1	-1	-1	-1	-1	10000	20034	1	1	-1	7500	20034	1	1	-1	5000	20034	1	1	-1	2500	20034	1	1	-1	0	20034	1	1	-1	0	20034	1	1	-1	0	20034	1	1	-1	0	20034	1	1	-1	0	20034	1	1	-1	0	20034	1	1
20035	-1	-1	-1	-1	-1	-1	10000	20035	1	1	-1	7500	20035	1	1	-1	5000	20035	1	1	-1	2500	20035	1	1	-1	0	20035	1	1	-1	0	20035	1	1	-1	0	20035	1	1	-1	0	20035	1	1	-1	0	20035	1	1	-1	0	20035	1	1
20036	-1	-1	-1	-1	-1	-1	10000	20036	1	1	-1	7500	20036	1	1	-1	5000	20036	1	1	-1	2500	20036	1	1	-1	0	20036	1	1	-1	0	20036	1	1	-1	0	20036	1	1	-1	0	20036	1	1	-1	0	20036	1	1	-1	0	20036	1	1
20037	-1	-1	-1	-1	-1	-1	10000	20037	1	1	-1	10000	20037	1	1	-1	6666	20037	1	1	-1	3333	20037	1	1	-1	0	20037	1	1	-1	0	20037	1	1	-1	0	20037	1	1	-1	0	20037	1	1	-1	0	20037	1	1	-1	0	20037	1	1
20038	-1	-1	-1	-1	-1	-1	10000	20038	1	1	-1	10000	20038	1	1	-1	6666	20038	1	1	-1	3333	20038	1	1	-1	0	20038	1	1	-1	0	20038	1	1	-1	0	20038	1	1	-1	0	20038	1	1	-1	0	20038	1	1	-1	0	20038	1	1
20039	-1	-1	-1	-1	-1	-1	10000	20039	1	1	-1	10000	20039	1	1	-1	6666	20039	1	1	-1	3333	20039	1	1	-1	0	20039	1	1	-1	0	20039	1	1	-1	0	20039	1	1	-1	0	20039	1	1	-1	0	20039	1	1	-1	0	20039	1	1
20040	-1	-1	-1	-1	-1	-1	10000	20040	1	1	-1	5000	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1	-1	0	20040	1	1
20041	-1	-1	-1	-1	-1	-1	10000	20041	1	1	-1	5000	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1	-1	0	20041	1	1
20042	-1	-1	-1	-1	-1	-1	10000	20042	1	1	-1	6666	20042	1	1	-1	3333	20042	1	1	-1	0	20042	1	1	-1	0	20042	1	1	-1	0	20042	1	1	-1	0	20042	1	1	-1	0	20042	1	1	-1	0	20042	1	1	-1	0	20042	1	1
20043	-1	-1	-1	-1	-1	-1	10000	20043	1	1	-1	6666	20043	1	1	-1	3333	20043	1	1	-1	0	20043	1	1	-1	0	20043	1	1	-1	0	20043	1	1	-1	0	20043	1	1	-1	0	20043	1	1	-1	0	20043	1	1	-1	0	20043	1	1
20044	-1	-1	-1	-1	-1	-1	10000	20044	1	1	-1	7500	20044	1	1	-1	5000	20044	1	1	-1	2500	20044	1	1	-1	0	20044	1	1	-1	0	20044	1	1	-1	0	20044	1	1	-1	0	20044	1	1	-1	0	20044	1	1	-1	0	20044	1	1
20045	-1	-1	-1	-1	-1	-1	10000	20045	1	1	-1	7500	20045	1	1	-1	5000	20045	1	1	-1	2500	20045	1	1	-1	0	20045	1	1	-1	0	20045	1	1	-1	0	20045	1	1	-1	0	20045	1	1	-1	0	20045	1	1	-1	0	20045	1	1
20046	-1	-1	-1	-1	-1	-1	10000	20046	1	1	-1	7500	20046	1	1	-1	5000	20046	1	1	-1	2500	20046	1	1	-1	0	20046	1	1	-1	0	20046	1	1	-1	0	20046	1	1	-1	0	20046	1	1	-1	0	20046	1	1	-1	0	20046	1	1
20047	-1	-1	-1	-1	-1	-1	10000	20047	1	1	-1	10000	20047	1	1	-1	6666	20047	1	1	-1	3333	20047	1	1	-1	0	20047	1	1	-1	0	20047	1	1	-1	0	20047	1	1	-1	0	20047	1	1	-1	0	20047	1	1	-1	0	20047	1	1
20048	-1	-1	-1	-1	-1	-1	10000	20048	1	1	-1	10000	20048	1	1	-1	6666	20048	1	1	-1	3333	20048	1	1	-1	0	20048	1	1	-1	0	20048	1	1	-1	0	20048	1	1	-1	0	20048	1	1	-1	0	20048	1	1	-1	0	20048	1	1
20049	-1	-1	-1	-1	-1	-1	10000	20049	1	1	-1	10000	20049	1	1	-1	6666	20049	1	1	-1	3333	20049	1	1	-1	0	20049	1	1	-1	0	20049	1	1	-1	0	20049	1	1	-1	0	20049	1	1	-1	0	20049	1	1	-1	0	20049	1	1
20050	-1	-1	-1	-1	-1	-1	10000	20050	1	1	-1	5000	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1	-1	0	20050	1	1
20051	-1	-1	-1	-1	-1	-1	10000	20051	1	1	-1	5000	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1	-1	0	20051	1	1
20052	-1	-1	-1	-1	-1	-1	10000	20052	1	1	-1	6666	20052	1	1	-1	3333	20052	1	1	-1	0	20052	1	1	-1	0	20052	1	1	-1	0	20052	1	1	-1	0	20052	1	1	-1	0	20052	1	1	-1	0	20052	1	1	-1	0	20052	1	1
20053	-1	-1	-1	-1	-1	-1	10000	20053	1	1	-1	6666	20053	1	1	-1	3333	20053	1	1	-1	0	20053	1	1	-1	0	20053	1	1	-1	0	20053	1	1	-1	0	20053	1	1	-1	0	20053	1	1	-1	0	20053	1	1	-1	0	20053	1	1
20054	-1	-1	-1	-1	-1	-1	10000	20054	1	1	-1	7500	20054	1	1	-1	5000	20054	1	1	-1	2500	20054	1	1	-1	0	20054	1	1	-1	0	20054	1	1	-1	0	20054	1	1	-1	0	20054	1	1	-1	0	20054	1	1	-1	0	20054	1	1
20055	-1	-1	-1	-1	-1	-1	10000	20055	1	1	-1	7500	20055	1	1	-1	5000	20055	1	1	-1	2500	20055	1	1	-1	0	20055	1	1	-1	0	20055	1	1	-1	0	20055	1	1	-1	0	20055	1	1	-1	0	20055	1	1	-1	0	20055	1	1
