INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2033	-1	-1	-1	2032	2	-1	-1	3	-1	112	2170	20097	20098	20099	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20108
2034	-1	-1	-1	2035	2	-1	-1	3	-1	112	2171	20100	20101	20102	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20108
2035	-1	-1	-1	-1	-1	-1	-1	2	-1	112	2172	20107	20108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20108
3000	-1	-1	-1	-1	-1	-1	-1	1	-1	204	2173	30000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20200
3001	-1	-1	-1	3003	2	-1	-1	3	-1	204	2174	30003	30004	30005	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20200
3002	-1	-1	-1	3000	1	-1	-1	3	-1	204	2175	30006	30007	30008	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20200
3003	-1	-1	-1	-1	-1	-1	-1	2	-1	204	2176	30009	30010	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20200
3004	-1	-1	-1	-1	-1	-1	-1	3	-1	205	2177	30012	30013	30014	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20201
3005	-1	-1	-1	-1	-1	-1	-1	2	-1	205	2178	30015	30016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20201
3006	-1	-1	-1	3005	2	-1	-1	3	-1	205	2179	30017	30018	30019	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20201
3007	-1	-1	-1	3004	3	-1	-1	3	-1	205	2180	30023	30024	30025	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20201
3008	-1	-1	-1	-1	-1	-1	-1	2	-1	206	2181	30030	30038	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20202
3009	-1	-1	-1	-1	-1	-1	-1	2	-1	206	2182	30031	30032	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20202
3010	-1	-1	-1	3008	2	-1	-1	3	-1	206	2183	30033	30034	30035	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20202
3011	-1	-1	-1	3009	2	-1	-1	2	-1	206	2184	30036	30037	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20202
3012	-1	-1	-1	-1	-1	-1	-1	3	-1	207	2185	30039	30040	30041	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20206
3013	-1	-1	-1	3012	3	-1	-1	1	-1	207	2186	30045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20206
3014	-1	-1	-1	3015	2	-1	-1	3	-1	207	2187	30046	30047	30048	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20206
3015	-1	-1	-1	-1	-1	-1	-1	2	-1	207	2188	30049	30050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20206
3016	-1	-1	-1	-1	-1	-1	-1	2	-1	208	2189	30051	30052	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20205
3017	-1	-1	-1	-1	-1	-1	-1	3	-1	208	2190	30053	30054	30055	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20205
3018	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	30055	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
3019	-1	-1	-1	3018	1	-1	-1	1	-1	-1	-1	30106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
3020	-1	-1	-1	3021	3	-1	-1	1	-1	209	2191	30056	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20203
3021	-1	-1	-1	-1	-1	-1	-1	3	-1	209	2192	30058	30059	30060	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20203
3022	-1	-1	-1	-1	-1	-1	-1	3	-1	209	2193	30061	30062	30063	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20203
3023	-1	-1	-1	3022	3	-1	-1	1	-1	209	2194	30064	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20203
3024	-1	-1	-1	3025	3	-1	-1	1	-1	210	2195	30067	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20207
3025	-1	-1	-1	-1	-1	-1	-1	3	-1	210	2196	30073	30074	30075	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20207
3026	-1	-1	-1	-1	-1	-1	-1	2	-1	210	2197	30076	30077	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20207
3027	-1	-1	-1	3026	2	-1	-1	2	-1	210	2198	30079	30080	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20207
3028	-1	-1	-1	3031	1	-1	-1	3	-1	211	2199	30082	30083	30084	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20204
3029	-1	-1	-1	-1	-1	-1	-1	1	-1	211	2200	30085	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20204
3030	-1	-1	-1	3029	1	-1	-1	1	-1	211	2201	30091	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20204
3031	-1	-1	-1	-1	-1	-1	-1	1	-1	211	2202	30092	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20204
3032	-1	-1	-1	3033	2	-1	-1	2	-1	212	2203	30095	30096	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20208
3033	-1	-1	-1	-1	-1	-1	-1	2	-1	212	2204	30098	30099	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20208
3034	-1	-1	-1	-1	-1	-1	-1	2	-1	212	2205	30101	30102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20208
3035	-1	-1	-1	3034	2	-1	-1	2	-1	212	2206	30104	30105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20208
3036	-1	-1	-1	3017	1	-1	-1	2	-1	208	2207	30106	30107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20205
3037	-1	-1	-1	3016	1	-1	-1	1	-1	208	2208	30108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20205
