INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT
110109	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	1	1	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110110	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	1	1	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110111	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	1	1	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110112	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	2	2	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110113	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	2	2	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110114	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	2	2	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
110115	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	2	2	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110116	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	2	2	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110117	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	2	2	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110118	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	3	3	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110119	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	3	3	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110120	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	3	3	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
110121	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	3	3	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110122	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	3	3	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110123	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	3	3	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110124	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	4	4	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110125	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	4	4	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110126	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	4	4	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
110127	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	4	4	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110128	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	4	4	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110129	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	4	4	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110130	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	5	5	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110131	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	5	5	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110132	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	5	5	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
110133	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	5	5	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110134	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	5	5	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110135	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	5	5	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110136	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	6	6	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110137	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	6	6	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110138	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	6	6	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
110139	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	6	6	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110140	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	6	6	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110141	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	6	6	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110200	累计消费980钻石可购买(价值1200钻)		1	1	-1	16	-1	-1	-1	3	380	0	0	7	-1	-1	-1		980	16	-1	-1	1	22000,5|23212,1|24515,1|22007,1	22000,5|23212,1|24515,1|22007,1	22000,5|23212,1|24515,1|22007,1	-1	-1	-1	-1
110201	累计消费1980钻石可购买(价值2700钻)		1	1	-1	16	-1	-1	-1	3	880	0	0	7	-1	-1	-1		1980	16	-1	-1	1	22000,10|23212,3|22017,20|22018,10|22056,1	22000,10|23212,3|22017,20|22018,10|22056,1	22000,10|23212,3|22017,20|22018,10|22056,1	-1	-1	-1	-1
110202	累计消费3280钻石可购买(价值5400钻)		1	1	-1	16	-1	-1	-1	3	1680	0	0	7	-1	-1	-1		3280	16	-1	-1	1	22000,20|23212,5|22001,10|22084,1|36004,80	22000,20|23212,5|22001,10|22084,1|36004,80	22000,20|23212,5|22001,10|22084,1|36004,80	-1	-1	-1	-1
110203	累计消费6480钻石可购买(价值7000钻)		1	1	-1	16	-1	-1	-1	3	2380	0	0	7	-1	-1	-1		6480	16	-1	-1	1	22000,30|12,20000|22085,1|80404,1|80405,1	22000,30|12,20000|22085,1|80404,1|80405,1	22000,30|12,20000|22085,1|80404,1|80405,1	-1	-1	-1	-1
110204	累计消费10880钻石可购买(价值12000钻)		1	1	-1	16	-1	-1	-1	3	3280	0	0	7	-1	-1	-1		10880	16	-1	-1	1	7,20000|26930,1|22085,1|22007,1|40201,1	7,20000|26930,1|22085,1|22007,1|40201,1	7,20000|26930,1|22085,1|22007,1|40201,1	-1	-1	-1	-1
110205	累计消费19980钻石可购买(价值25000钻)		1	1	-1	16	-1	-1	-1	3	6880	0	0	7	-1	-1	-1		19980	16	-1	-1	1	22085,3|22086,2|22091,1|22007,1|15018,1	22085,3|22086,2|22091,1|22007,1|15018,1	22085,3|22086,2|22091,1|22007,1|15018,1	-1	-1	-1	-1
120000	战斗力排行榜第1名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		0	-1	-1	-1	1	450079,1|2,10000000|22007,3|22001,20	450084,1|2,10000000|22007,3|22001,20	450089,1|2,10000000|22007,3|22001,20	-1	-1	-1	-1
120001	战斗力排行榜第2名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		1	-1	-1	-1	1	450049,1|2,8000000|22007,2|22001,15	450054,1|2,8000000|22007,2|22001,15	450059,1|2,8000000|22007,2|22001,15	-1	-1	-1	-1
120002	战斗力排行榜第3名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		2	-1	-1	-1	1	450049,1|2,7500000|22007,1|22001,15	450054,1|2,7500000|22007,1|22001,15	450059,1|2,7500000|22007,1|22001,15	-1	-1	-1	-1
120003	战斗力排行榜第4名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		3	-1	-1	-1	1	450064,1|2,7000000|22007,1|22001,15	450069,1|2,7000000|22007,1|22001,15	450074,1|2,7000000|22007,1|22001,15	-1	-1	-1	-1
120004	战斗力排行榜第5名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		4	-1	-1	-1	1	450064,1|2,6500000|22007,1|22001,15	450069,1|2,6500000|22007,1|22001,15	450074,1|2,6500000|22007,1|22001,15	-1	-1	-1	-1
120005	战斗力排行榜第6名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		5	-1	-1	-1	1	450064,1|2,6000000|22007,1|22001,10	450069,1|2,6000000|22007,1|22001,10	450074,1|2,6000000|22007,1|22001,10	-1	-1	-1	-1
120006	战斗力排行榜第7名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		6	-1	-1	-1	1	450064,1|2,5500000|22007,1|22001,10	450069,1|2,5500000|22007,1|22001,10	450074,1|2,5500000|22007,1|22001,10	-1	-1	-1	-1
120007	战斗力排行榜第8名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		7	-1	-1	-1	1	450064,1|2,5000000|22007,1|22001,10	450069,1|2,5000000|22007,1|22001,10	450074,1|2,5000000|22007,1|22001,10	-1	-1	-1	-1
120008	战斗力排行榜第9名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		8	-1	-1	-1	1	450064,1|2,4500000|22007,1|22001,10	450069,1|2,4500000|22007,1|22001,10	450074,1|2,4500000|22007,1|22001,10	-1	-1	-1	-1
120009	战斗力排行榜第10名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		9	-1	-1	-1	1	450064,1|2,4000000|22007,1|22001,10	450069,1|2,4000000|22007,1|22001,10	450074,1|2,4000000|22007,1|22001,10	-1	-1	-1	-1
120010	战斗力排行榜第11名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		10	-1	-1	-1	1	450034,1|2,3500000|22007,1|22001,5	450039,1|2,3500000|22007,1|22001,5	450044,1|2,3500000|22007,1|22001,5	-1	-1	-1	-1
120011	战斗力排行榜第12名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		11	-1	-1	-1	1	450034,1|2,3500000|22007,1|22001,5	450039,1|2,3500000|22007,1|22001,5	450044,1|2,3500000|22007,1|22001,5	-1	-1	-1	-1
120012	战斗力排行榜第13名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		12	-1	-1	-1	1	450034,1|2,3000000|22007,1|22001,5	450039,1|2,3000000|22007,1|22001,5	450044,1|2,3000000|22007,1|22001,5	-1	-1	-1	-1
120013	战斗力排行榜第14名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		13	-1	-1	-1	1	450034,1|2,3000000|22007,1|22001,5	450039,1|2,3000000|22007,1|22001,5	450044,1|2,3000000|22007,1|22001,5	-1	-1	-1	-1
120014	战斗力排行榜第15名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		14	-1	-1	-1	1	450034,1|2,2500000|22007,1|22001,5	450039,1|2,2500000|22007,1|22001,5	450044,1|2,2500000|22007,1|22001,5	-1	-1	-1	-1
120015	战斗力排行榜第16名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		15	-1	-1	-1	1	450034,1|2,2500000|22007,1|22001,3	450039,1|2,2500000|22007,1|22001,3	450044,1|2,2500000|22007,1|22001,3	-1	-1	-1	-1
120016	战斗力排行榜第17名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		16	-1	-1	-1	1	450034,1|2,2500000|22007,1|22001,3	450039,1|2,2500000|22007,1|22001,3	450044,1|2,2500000|22007,1|22001,3	-1	-1	-1	-1
120017	战斗力排行榜第18名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		17	-1	-1	-1	1	450034,1|2,2000000|22007,1|22001,3	450039,1|2,2000000|22007,1|22001,3	450044,1|2,2000000|22007,1|22001,3	-1	-1	-1	-1
120018	战斗力排行榜第19名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		18	-1	-1	-1	1	450034,1|2,2000000|22007,1|22001,3	450039,1|2,2000000|22007,1|22001,3	450044,1|2,2000000|22007,1|22001,3	-1	-1	-1	-1
120019	战斗力排行榜第20名		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		19	-1	-1	-1	1	450034,1|2,2000000|22007,1|22001,3	450039,1|2,2000000|22007,1|22001,3	450044,1|2,2000000|22007,1|22001,3	-1	-1	-1	-1
120020	战斗力达到60000		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		-1	60000	-1	-1	1	2,2000000|22001,5	2,2000000|22001,5	2,2000000|22001,5	-1	-1	-1	-1
120021	战斗力达到30000		1	1	-1	99	-1	-1	-1	-1	0	0	0	8	-1	-1	-1		-1	30000	-1	-1	1	2,2000000|22001,3	2,2000000|22001,3	2,2000000|22001,3	-1	-1	-1	-1
120062	充值排行榜第3名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		2	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120063	充值排行榜第4名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		3	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120064	充值排行榜第5名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		4	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120065	充值排行榜第6名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		5	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120066	充值排行榜第7名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		6	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120067	充值排行榜第8名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		7	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120068	充值排行榜第9名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		8	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120069	充值排行榜第10名		1	1	-1	100	-1	-1	-1	-1	0	0	0	14	-1	-1	-1		9	-1	-1	-1	1	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	2,4000000|22000,150|22003,200|22001,200|81000,32	-1	-1	-1	-1
120100	灵兽排行榜第1名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		0	-1	-1	-1	1	450081,1|2,10000000|7,10000	450086,1|2,10000000|7,10000	450091,1|2,10000000|7,10000	-1	-1	-1	-1
120101	灵兽排行榜第2名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		1	-1	-1	-1	1	450051,1|2,8000000|7,9000	450056,1|2,8000000|7,9000	450061,1|2,8000000|7,9000	-1	-1	-1	-1
120102	灵兽排行榜第3名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		2	-1	-1	-1	1	450051,1|2,7500000|7,8000	450056,1|2,7500000|7,8000	450061,1|2,7500000|7,8000	-1	-1	-1	-1
120103	灵兽排行榜第4名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		3	-1	-1	-1	1	450066,1|2,7000000|7,7000	450071,1|2,7000000|7,7000	450076,1|2,7000000|7,7000	-1	-1	-1	-1
120104	灵兽排行榜第5名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		4	-1	-1	-1	1	450066,1|2,6500000|7,6000	450071,1|2,6500000|7,6000	450076,1|2,6500000|7,6000	-1	-1	-1	-1
120105	灵兽排行榜第6名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		5	-1	-1	-1	1	450066,1|2,6000000|7,5000	450071,1|2,6000000|7,5000	450076,1|2,6000000|7,5000	-1	-1	-1	-1
120106	灵兽排行榜第7名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		6	-1	-1	-1	1	450066,1|2,5500000|7,4500	450071,1|2,5500000|7,4500	450076,1|2,5500000|7,4500	-1	-1	-1	-1
120107	灵兽排行榜第8名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		7	-1	-1	-1	1	450066,1|2,5000000|7,4000	450071,1|2,5000000|7,4000	450076,1|2,5000000|7,4000	-1	-1	-1	-1
120108	灵兽排行榜第9名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		8	-1	-1	-1	1	450066,1|2,4500000|7,3500	450071,1|2,4500000|7,3500	450076,1|2,4500000|7,3500	-1	-1	-1	-1
120109	灵兽排行榜第10名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		9	-1	-1	-1	1	450066,1|2,4000000|7,3000	450071,1|2,4000000|7,3000	450076,1|2,4000000|7,3000	-1	-1	-1	-1
120110	灵兽排行榜第11名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		10	-1	-1	-1	1	450036,1|2,3500000|7,2500	450041,1|2,3500000|7,2500	450046,1|2,3500000|7,2500	-1	-1	-1	-1
120111	灵兽排行榜第12名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		11	-1	-1	-1	1	450036,1|2,3500000|7,2500	450041,1|2,3500000|7,2500	450046,1|2,3500000|7,2500	-1	-1	-1	-1
120112	灵兽排行榜第13名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		12	-1	-1	-1	1	450036,1|2,3000000|7,2000	450041,1|2,3000000|7,2000	450046,1|2,3000000|7,2000	-1	-1	-1	-1
120113	灵兽排行榜第14名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		13	-1	-1	-1	1	450036,1|2,3000000|7,2000	450041,1|2,3000000|7,2000	450046,1|2,3000000|7,2000	-1	-1	-1	-1
120114	灵兽排行榜第15名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		14	-1	-1	-1	1	450036,1|2,2500000|7,1500	450041,1|2,2500000|7,1500	450046,1|2,2500000|7,1500	-1	-1	-1	-1
120115	灵兽排行榜第16名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		15	-1	-1	-1	1	450036,1|2,2500000|7,1500	450041,1|2,2500000|7,1500	450046,1|2,2500000|7,1500	-1	-1	-1	-1
120116	灵兽排行榜第17名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		16	-1	-1	-1	1	450036,1|2,2500000|7,1500	450041,1|2,2500000|7,1500	450046,1|2,2500000|7,1500	-1	-1	-1	-1
120117	灵兽排行榜第18名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		17	-1	-1	-1	1	450036,1|2,2000000|7,1000	450041,1|2,2000000|7,1000	450046,1|2,2000000|7,1000	-1	-1	-1	-1
120118	灵兽排行榜第19名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		18	-1	-1	-1	1	450036,1|2,2000000|7,1000	450041,1|2,2000000|7,1000	450046,1|2,2000000|7,1000	-1	-1	-1	-1
120119	灵兽排行榜第20名		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		19	-1	-1	-1	1	450036,1|2,2000000|7,1000	450041,1|2,2000000|7,1000	450046,1|2,2000000|7,1000	-1	-1	-1	-1
120120	灵兽战斗力达到10000		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		-1	10000	-1	-1	1	2,2000000|7,3000	2,2000000|7,3000	2,2000000|7,3000	-1	-1	-1	-1
120121	灵兽战斗力达到5000		1	1	-1	53	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		-1	5000	-1	-1	1	2,1000000|7,2000	2,1000000|7,2000	2,1000000|7,2000	-1	-1	-1	-1
120200	翅膀排行榜第1名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		0	-1	-1	-1	1	450080,1|2,10000000|22017,50|22018,20	450085,1|2,10000000|22017,50|22018,20	450090,1|2,10000000|22017,50|22018,20	-1	-1	-1	-1
120201	翅膀排行榜第2名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		1	-1	-1	-1	1	450050,1|2,8000000|22017,40|22018,17	450055,1|2,8000000|22017,40|22018,17	450060,1|2,8000000|22017,40|22018,17	-1	-1	-1	-1
120202	翅膀排行榜第3名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		2	-1	-1	-1	1	450050,1|2,7500000|22017,30|22018,15	450055,1|2,7500000|22017,30|22018,15	450060,1|2,7500000|22017,30|22018,15	-1	-1	-1	-1
120203	翅膀排行榜第4名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		3	-1	-1	-1	1	450065,1|2,7000000|22017,24|22018,13	450070,1|2,7000000|22017,24|22018,13	450075,1|2,7000000|22017,24|22018,13	-1	-1	-1	-1
120204	翅膀排行榜第5名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		4	-1	-1	-1	1	450065,1|2,6500000|22017,18|22018,11	450070,1|2,6500000|22017,18|22018,11	450075,1|2,6500000|22017,18|22018,11	-1	-1	-1	-1
120205	翅膀排行榜第6名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		5	-1	-1	-1	1	450065,1|2,6000000|22017,16|22018,11	450070,1|2,6000000|22017,16|22018,11	450075,1|2,6000000|22017,16|22018,11	-1	-1	-1	-1
120206	翅膀排行榜第7名		1	1	-1	52	-1	-1	-1	-1	0	0	0	6	-1	-1	-1		6	-1	-1	-1	1	450065,1|2,5500000|22017,14|22018,9	450070,1|2,5500000|22017,14|22018,9	450075,1|2,5500000|22017,14|22018,9	-1	-1	-1	-1
